Date,CTX
2018-02-06,1850.030029
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,
2018-03-14,
2018-03-15,1869.199951
2018-03-16,1868.0999760000002
2018-03-19,1873.77002
2018-03-20,1871.089966
2018-03-21,1885.469971
2018-03-22,1876.280029
2018-03-23,1862.449951
2018-03-26,1879.319946
2018-03-27,1880.800049
2018-03-28,1880.180054
2018-03-29,1884.569946
2018-04-02,
2018-04-03,1871.949951
2018-04-04,1866.300049
2018-04-05,1886.660034
2018-04-06,1886.819946
2018-04-09,1889.709961
2018-04-10,1896.77002
2018-04-11,1898.810059
2018-04-12,1905.459961
2018-04-13,1914.3499760000002
2018-04-16,1929.0
2018-04-17,1911.540039
2018-04-18,1912.319946
2018-04-19,1907.0999760000002
2018-04-20,1876.609985
2018-04-23,1869.709961
2018-04-24,1876.290039
2018-04-25,1858.0
2018-04-26,1852.680054
2018-04-27,1850.280029
2018-04-30,1833.060059
2018-05-01,
2018-05-02,1812.040039
2018-05-03,1808.839966
2018-05-04,1780.959961
2018-05-07,1799.6700440000002
2018-05-08,1799.6700440000002
2018-05-09,1756.180054
2018-05-10,1773.7600100000002
2018-05-11,1801.630005
2018-05-14,1802.1700440000002
2018-05-15,1784.089966
2018-05-16,1775.060059
2018-05-17,1778.540039
2018-05-18,1764.8499760000002
2018-05-21,1753.1500239999998
2018-05-22,1757.0799559999998
2018-05-23,1731.130005
2018-05-24,1743.130005
2018-05-25,1707.540039
2018-05-29,1665.390015
2018-05-30,1682.890015
2018-05-31,1688.380005
2018-06-01,1699.089966
2018-06-04,1707.609985
2018-06-05,1698.5799559999998
2018-06-06,1712.2600100000002
2018-06-07,1728.180054
2018-06-08,1709.199951
2018-06-11,1725.8299559999998
2018-06-12,1726.540039
2018-06-13,1724.839966
2018-06-14,1698.0
2018-06-15,1694.0999760000002
2018-06-18,1676.719971
2018-06-19,1663.699951
2018-06-20,1667.869995
2018-06-21,1662.339966
2018-06-22,1669.410034
2018-06-25,1675.410034
