Date,EGC
2017-12-26,5.81
2017-12-27,5.68
2017-12-28,5.75
2017-12-29,5.74
2018-01-02,6.16
2018-01-03,6.46
2018-01-04,6.69
2018-01-05,6.43
2018-01-08,6.3
2018-01-09,6.31
2018-01-10,6.45
2018-01-11,7.5
2018-01-12,7.53
2018-01-16,7.01
2018-01-17,7.07
2018-01-18,7.0
2018-01-19,6.97
2018-01-22,6.995
2018-01-23,7.49
2018-01-24,7.36
2018-01-25,7.31
2018-01-26,7.28
2018-01-29,7.05
2018-01-30,6.74
2018-01-31,6.71
2018-02-01,6.81
2018-02-02,6.28
2018-02-05,6.01
2018-02-06,5.98
2018-02-07,5.66
2018-02-08,5.28
2018-02-09,5.06
2018-02-12,5.79
2018-02-13,5.58
2018-02-14,5.5
2018-02-15,5.55
2018-02-16,5.53
2018-02-20,5.54
2018-02-21,5.46
2018-02-22,5.45
2018-02-23,5.64
2018-02-26,5.88
2018-02-27,5.89
2018-02-28,5.25
2018-03-01,5.31
2018-03-02,5.43
2018-03-05,5.71
2018-03-06,5.69
2018-03-07,5.75
2018-03-08,5.77
2018-03-09,6.02
2018-03-12,6.37
2018-03-13,5.79
2018-03-14,5.61
2018-03-15,5.41
2018-03-16,4.08
2018-03-19,4.1
2018-03-20,3.88
2018-03-21,3.95
2018-03-22,3.79
2018-03-23,3.91
2018-03-26,3.82
2018-03-27,3.49
2018-03-28,3.685
2018-03-29,3.84
2018-04-02,3.745
2018-04-03,3.795
2018-04-04,3.83
2018-04-05,3.98
2018-04-06,3.71
2018-04-09,3.72
2018-04-10,4.07
2018-04-11,4.75
2018-04-12,4.8
2018-04-13,5.54
2018-04-16,5.77
2018-04-17,5.53
2018-04-18,5.9
2018-04-19,5.86
2018-04-20,5.99
2018-04-23,5.85
2018-04-24,5.62
2018-04-25,5.71
2018-04-26,5.68
2018-04-27,5.6
2018-04-30,5.78
2018-05-01,5.78
2018-05-02,6.3
2018-05-03,6.52
2018-05-04,6.57
2018-05-07,7.02
2018-05-08,7.19
2018-05-09,7.48
2018-05-10,6.88
2018-05-11,6.73
2018-05-14,7.2
2018-05-15,7.84
2018-05-16,7.48
2018-05-17,7.76
2018-05-18,7.54
2018-05-21,7.9
2018-05-22,8.01
2018-05-23,8.03
2018-05-24,7.59
2018-05-25,7.09
2018-05-29,6.92
2018-05-30,7.31
2018-05-31,7.52
2018-06-01,7.4
2018-06-04,6.98
2018-06-05,7.24
2018-06-06,7.37
2018-06-07,7.9
2018-06-08,7.77
2018-06-11,7.94
2018-06-12,7.89
2018-06-13,7.84
2018-06-14,7.48
2018-06-15,7.49
2018-06-18,8.94
2018-06-19,8.97
2018-06-20,8.97
2018-06-21,8.95
2018-06-22,9.04
2018-06-25,8.98
2018-06-26,8.97
2018-06-27,8.85
2018-06-28,8.95
2018-06-29,8.84
2018-07-02,8.97
2018-07-03,9.0
2018-07-05,9.0
2018-07-06,9.0
2018-07-09,9.03
2018-07-10,8.98
2018-07-11,8.97
2018-07-12,9.01
2018-07-13,8.94
2018-07-16,8.95
2018-07-17,8.96
2018-07-18,8.95
2018-07-19,8.97
2018-07-20,8.99
2018-07-23,8.95
2018-07-24,8.95
2018-07-25,8.97
2018-07-26,8.95
2018-07-27,8.92
2018-07-30,8.89
2018-07-31,8.95
2018-08-01,8.98
2018-08-02,9.0
2018-08-03,9.01
2018-08-06,9.0
2018-08-07,9.01
2018-08-08,9.0
2018-08-09,8.99
2018-08-10,8.99
2018-08-13,8.98
2018-08-14,8.97
2018-08-15,8.98
2018-08-16,9.04
2018-08-17,9.03
2018-08-20,9.0
2018-08-21,9.01
2018-08-22,9.02
2018-08-23,9.01
2018-08-24,9.03
2018-08-27,9.02
2018-08-28,9.06
2018-08-29,9.04
2018-08-30,9.03
2018-08-31,9.05
2018-09-04,9.04
2018-09-05,9.04
2018-09-06,9.075
2018-09-07,9.1
2018-09-10,8.52
2018-09-11,8.73
2018-09-12,8.29
2018-09-13,8.02
2018-09-14,8.26
2018-09-17,7.85
2018-09-18,7.6
2018-09-19,6.63
2018-09-20,6.18
2018-09-21,7.87
2018-09-24,7.86
2018-09-25,7.81
2018-09-26,8.02
2018-09-27,8.1
2018-09-28,8.36
2018-10-01,8.27
2018-10-02,7.77
2018-10-03,8.01
2018-10-04,7.86
2018-10-05,7.9
2018-10-08,7.88
2018-10-09,7.63
2018-10-10,7.99
2018-10-11,7.96
2018-10-12,8.15
2018-10-15,8.4
2018-10-16,8.38
2018-10-17,8.32
2018-10-18,9.1
2018-10-19,9.1
2018-10-22,9.1
2018-10-23,9.1
2018-10-24,9.1
2018-10-25,9.1
2018-10-26,9.1
2018-10-29,
2018-10-30,
2018-10-31,
2018-11-01,
2018-11-02,
2018-11-05,
2018-11-06,
2018-11-07,
2018-11-08,
2018-11-09,
2018-11-12,
2018-11-13,
2018-11-14,
2018-11-15,
2018-11-16,
2018-11-19,
2018-11-20,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-27,
2018-11-28,
2018-11-29,
2018-11-30,
2018-12-03,
2018-12-04,
2018-12-06,
2018-12-07,
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-24,
2018-12-26,
2018-12-27,
2018-12-28,
2018-12-31,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-04,
2019-02-05,
2019-02-06,
2019-02-07,
2019-02-08,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-05,
2019-04-08,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-29,
2019-04-30,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-12,
