Date,STOR
2014-11-18,19.5
2014-11-19,19.780001000000002
2014-11-20,19.860001
2014-11-21,19.85
2014-11-24,19.98
2014-11-25,20.0
2014-11-26,20.59
2014-11-28,20.860001
2014-12-01,20.35
2014-12-02,20.5
2014-12-03,20.129998999999998
2014-12-04,20.27
2014-12-05,20.299999
2014-12-08,20.120001000000002
2014-12-09,20.51
2014-12-10,20.24
2014-12-11,20.42
2014-12-12,20.4
2014-12-15,20.57
2014-12-16,20.57
2014-12-17,21.190001000000002
2014-12-18,21.389999
2014-12-19,21.059998999999998
2014-12-22,21.48
2014-12-23,21.52
2014-12-24,21.58
2014-12-26,21.799999
2014-12-29,21.780001000000002
2014-12-30,22.040001
2014-12-31,21.610001
2015-01-02,21.43
2015-01-05,21.48
2015-01-06,21.200001
2015-01-07,21.940001000000002
2015-01-08,21.950001
2015-01-09,21.870001000000002
2015-01-12,22.049999
2015-01-13,22.09
2015-01-14,22.76
2015-01-15,22.799999
2015-01-16,23.129998999999998
2015-01-20,22.690001000000002
2015-01-21,22.440001000000002
2015-01-22,22.91
2015-01-23,22.969998999999998
2015-01-26,23.200001
2015-01-27,23.27
2015-01-28,23.209999
2015-01-29,23.540001
2015-01-30,22.959999
2015-02-02,22.48
2015-02-03,23.35
2015-02-04,22.93
2015-02-05,23.07
2015-02-06,22.200001
2015-02-09,22.15
2015-02-10,22.16
2015-02-11,22.299999
2015-02-12,22.67
2015-02-13,22.4
2015-02-17,22.67
2015-02-18,22.84
2015-02-19,22.34
2015-02-20,22.299999
2015-02-23,22.610001
2015-02-24,22.059998999999998
2015-02-25,22.209999
2015-02-26,22.25
2015-02-27,22.639999
2015-03-02,22.6
2015-03-03,22.08
2015-03-04,21.85
2015-03-05,22.040001
2015-03-06,21.290001
2015-03-09,21.440001000000002
2015-03-10,21.280001000000002
2015-03-11,21.49
2015-03-12,21.76
2015-03-13,21.58
2015-03-16,22.01
2015-03-17,21.83
2015-03-18,22.370001000000002
2015-03-19,22.67
2015-03-20,23.549999
2015-03-23,23.540001
2015-03-24,23.16
2015-03-25,22.799999
2015-03-26,22.92
2015-03-27,23.18
2015-03-30,23.42
2015-03-31,23.35
2015-04-01,23.34
2015-04-02,23.5
2015-04-06,23.77
2015-04-07,23.549999
2015-04-08,23.67
2015-04-09,23.23
2015-04-10,23.360001
2015-04-13,23.379998999999998
2015-04-14,23.43
2015-04-15,23.360001
2015-04-16,23.290001
2015-04-17,22.790001
2015-04-20,22.709999
2015-04-21,22.790001
2015-04-22,22.4
2015-04-23,21.879998999999998
2015-04-24,21.959999
2015-04-27,21.790001
2015-04-28,21.690001000000002
2015-04-29,21.33
2015-04-30,21.0
2015-05-01,21.0
2015-05-04,21.1
2015-05-05,20.790001
2015-05-06,20.719998999999998
2015-05-07,21.02
2015-05-08,21.57
2015-05-11,21.469998999999998
2015-05-12,21.49
2015-05-13,21.43
2015-05-14,21.75
2015-05-15,22.02
2015-05-18,22.15
2015-05-19,21.83
2015-05-20,21.620001000000002
2015-05-21,21.49
2015-05-22,21.610001
2015-05-26,21.48
2015-05-27,21.530001000000002
2015-05-28,21.26
2015-05-29,20.860001
2015-06-01,21.040001
2015-06-02,20.98
2015-06-03,20.370001000000002
2015-06-04,20.700001
2015-06-05,20.799999
2015-06-08,20.620001000000002
2015-06-09,20.35
2015-06-10,20.469998999999998
2015-06-11,20.75
2015-06-12,20.860001
2015-06-15,20.83
2015-06-16,20.85
2015-06-17,21.01
2015-06-18,21.360001
2015-06-19,21.26
2015-06-22,21.040001
2015-06-23,20.65
2015-06-24,20.559998999999998
2015-06-25,20.469998999999998
2015-06-26,20.5
2015-06-29,20.26
2015-06-30,20.1
2015-07-01,20.379998999999998
2015-07-02,20.16
2015-07-06,20.35
2015-07-07,20.57
2015-07-08,20.58
2015-07-09,20.5
2015-07-10,20.719998999999998
2015-07-13,20.690001000000002
2015-07-14,20.76
2015-07-15,20.860001
2015-07-16,20.969998999999998
2015-07-17,21.120001000000002
2015-07-20,21.030001000000002
2015-07-21,20.950001
2015-07-22,21.1
2015-07-23,20.91
2015-07-24,20.780001000000002
2015-07-27,20.870001000000002
2015-07-28,20.969998999999998
2015-07-29,21.209999
2015-07-30,20.959999
2015-07-31,21.0
2015-08-03,21.440001000000002
2015-08-04,21.49
2015-08-05,21.1
2015-08-06,21.200001
2015-08-07,21.309998999999998
2015-08-10,20.969998999999998
2015-08-11,21.299999
2015-08-12,21.35
2015-08-13,21.780001000000002
2015-08-14,21.76
2015-08-17,21.84
2015-08-18,21.66
2015-08-19,21.559998999999998
2015-08-20,21.35
2015-08-21,21.059998999999998
2015-08-24,20.26
2015-08-25,20.129998999999998
2015-08-26,20.23
2015-08-27,20.59
2015-08-28,20.629998999999998
2015-08-31,20.16
2015-09-01,19.790001
2015-09-02,19.98
2015-09-03,20.110001
2015-09-04,19.82
2015-09-08,20.309998999999998
2015-09-09,19.860001
2015-09-10,20.139999
2015-09-11,20.4
2015-09-14,20.48
2015-09-15,20.459999
2015-09-16,21.08
2015-09-17,21.4
2015-09-18,21.58
2015-09-21,21.530001000000002
2015-09-22,21.33
2015-09-23,21.52
2015-09-24,21.309998999999998
2015-09-25,21.18
2015-09-28,20.559998999999998
2015-09-29,20.77
2015-09-30,20.66
2015-10-01,20.700001
2015-10-02,20.93
2015-10-05,21.16
2015-10-06,21.309998999999998
2015-10-07,21.540001
2015-10-08,21.57
2015-10-09,21.620001000000002
2015-10-12,21.709999
2015-10-13,21.6
2015-10-14,21.370001000000002
2015-10-15,21.57
2015-10-16,22.08
2015-10-19,22.24
2015-10-20,22.26
2015-10-21,22.139999
2015-10-22,22.629998999999998
2015-10-23,22.51
2015-10-26,22.639999
2015-10-27,22.879998999999998
2015-10-28,23.049999
2015-10-29,22.780001000000002
2015-10-30,22.67
2015-11-02,22.83
2015-11-03,22.82
2015-11-04,22.549999
2015-11-05,22.450001
2015-11-06,21.75
2015-11-09,21.32
2015-11-10,21.5
2015-11-11,21.66
2015-11-12,21.82
2015-11-13,21.65
2015-11-16,21.780001000000002
2015-11-17,21.870001000000002
2015-11-18,21.950001
2015-11-19,21.93
2015-11-20,22.25
2015-11-23,22.530001000000002
2015-11-24,22.540001
2015-11-25,22.73
2015-11-27,22.9
2015-11-30,22.76
2015-12-01,23.049999
2015-12-02,22.75
2015-12-03,22.440001000000002
2015-12-04,22.76
2015-12-07,22.940001000000002
2015-12-08,23.0
2015-12-09,22.9
2015-12-10,22.719998999999998
2015-12-11,22.67
2015-12-14,22.48
2015-12-15,22.450001
2015-12-16,22.940001000000002
2015-12-17,22.950001
2015-12-18,22.889999
2015-12-21,22.809998999999998
2015-12-22,22.790001
2015-12-23,23.040001
2015-12-24,22.91
2015-12-28,23.040001
2015-12-29,23.290001
2015-12-30,23.32
2015-12-31,23.200001
2016-01-04,22.76
2016-01-05,23.16
2016-01-06,22.99
2016-01-07,22.74
2016-01-08,22.709999
2016-01-11,22.98
2016-01-12,23.030001000000002
2016-01-13,22.450001
