Date,TYIDF
2009-02-13,21.4
2009-02-17,21.0
2009-02-18,21.65
2009-02-19,22.27
2009-02-20,22.0
2009-02-23,21.32
2009-02-24,22.799999
2009-02-25,22.450001
2009-02-26,21.4
2009-02-27,20.85
2009-03-02,20.0
2009-03-03,20.35
2009-03-04,20.799999
2009-03-05,20.4
2009-03-06,20.35
2009-03-09,20.450001
2009-03-10,20.66
2009-03-11,21.15
2009-03-12,20.530001000000002
2009-03-13,21.0
2009-03-16,21.9
2009-03-17,21.799999
2009-03-18,22.6
2009-03-19,22.25
2009-03-20,22.0
2009-03-23,22.450001
2009-03-24,22.379998999999998
2009-03-25,22.6
2009-03-26,23.049999
2009-03-27,23.049999
2009-03-30,21.950001
2009-03-31,21.459999
2009-04-01,22.209999
2009-04-02,23.610001
2009-04-03,24.6
2009-04-06,23.85
2009-04-07,23.85
2009-04-08,23.85
2009-04-09,25.530001000000002
2009-04-13,25.299999
2009-04-14,26.1
2009-04-15,26.1
2009-04-16,24.92
2009-04-17,25.85
2009-04-20,25.85
2009-04-21,25.950001
2009-04-22,26.58
2009-04-23,27.209999
2009-04-24,27.4
2009-04-27,27.299999
2009-04-28,26.0
2009-04-29,26.700001
2009-04-30,26.700001
2009-05-01,26.450001
2009-05-04,26.450001
2009-05-05,27.0
2009-05-06,27.450001
2009-05-07,26.58
2009-05-08,27.85
2009-05-11,25.959999
2009-05-12,26.5
2009-05-13,26.25
2009-05-14,24.950001
2009-05-15,25.85
2009-05-18,25.85
2009-05-19,25.85
2009-05-20,26.299999
2009-05-21,25.950001
2009-05-22,25.450001
2009-05-26,25.85
2009-05-27,24.540001
2009-05-28,25.4
2009-05-29,25.950001
2009-06-01,25.549999
2009-06-02,25.4
2009-06-03,25.25
2009-06-04,25.219998999999998
2009-06-05,25.4
2009-06-08,25.65
2009-06-09,25.9
2009-06-10,25.65
2009-06-11,26.0
2009-06-12,26.0
2009-06-15,25.25
2009-06-16,24.6
2009-06-17,24.85
2009-06-18,24.6
2009-06-19,24.200001
2009-06-22,24.9
2009-06-23,24.25
2009-06-24,24.200001
2009-06-25,23.9
2009-06-26,24.799999
2009-06-29,24.799999
2009-06-30,25.0
2009-07-01,25.1
2009-07-02,24.450001
2009-07-06,24.4
2009-07-07,24.75
2009-07-08,24.75
2009-07-09,23.799999
2009-07-10,23.65
2009-07-13,23.120001000000002
2009-07-14,24.049999
2009-07-15,24.15
2009-07-16,24.35
2009-07-17,23.299999
2009-07-20,23.75
2009-07-21,24.75
2009-07-22,24.9
2009-07-23,25.4
2009-07-24,25.25
2009-07-27,25.35
2009-07-28,24.85
2009-07-29,26.049999
2009-07-30,26.049999
2009-07-31,26.049999
2009-08-03,27.5
2009-08-04,27.0
2009-08-05,26.25
2009-08-06,26.299999
2009-08-07,26.35
2009-08-10,26.799999
2009-08-11,26.799999
2009-08-12,26.139999
2009-08-13,26.85
2009-08-14,27.5
2009-08-17,26.75
2009-08-18,26.950001
2009-08-19,26.950001
2009-08-20,26.9
2009-08-21,26.15
2009-08-24,27.1
2009-08-25,26.82
2009-08-26,26.950001
2009-08-27,26.809998999999998
2009-08-28,27.5
2009-08-31,27.5
2009-09-01,26.799999
2009-09-02,27.049999
2009-09-03,27.049999
2009-09-04,27.049999
2009-09-08,27.75
2009-09-09,27.84
2009-09-10,28.75
2009-09-11,29.0
2009-09-14,29.049999
2009-09-15,27.9
2009-09-16,27.9
2009-09-17,27.9
2009-09-18,28.4
2009-09-21,28.4
2009-09-22,29.4
2009-09-23,28.5
2009-09-24,28.450001
2009-09-25,28.450001
2009-09-28,27.700001
2009-09-29,27.25
2009-09-30,27.549999
2009-10-01,27.549999
2009-10-02,26.200001
2009-10-05,25.75
2009-10-06,25.950001
2009-10-07,25.950001
2009-10-08,26.65
2009-10-09,26.65
2009-10-12,26.700001
2009-10-13,27.0
2009-10-14,27.0
2009-10-15,27.0
2009-10-16,26.950001
2009-10-19,26.950001
2009-10-20,26.52
2009-10-21,26.52
2009-10-22,26.049999
2009-10-23,25.41
2009-10-26,27.6
2009-10-27,26.799999
2009-10-28,27.049999
2009-10-29,26.5
2009-10-30,27.0
2009-11-02,27.0
2009-11-03,27.0
2009-11-04,27.5
2009-11-05,27.200001
2009-11-06,26.85
2009-11-09,26.85
2009-11-10,27.1
2009-11-11,26.9
2009-11-12,26.9
2009-11-13,27.0
2009-11-16,27.1
