Date,NAVI
2014-04-17,16.99
2014-04-21,16.82
2014-04-22,16.799999
2014-04-23,16.780001000000002
2014-04-24,16.629998999999998
2014-04-25,16.889999
2014-04-28,16.67
2014-04-29,16.68
2014-04-30,16.549999
2014-05-01,17.0
2014-05-02,16.950001
2014-05-05,16.809998999999998
2014-05-06,16.34
2014-05-07,16.6
2014-05-08,16.450001
2014-05-09,16.280001000000002
2014-05-12,15.95
2014-05-13,15.85
2014-05-14,15.74
2014-05-15,15.74
2014-05-16,15.86
2014-05-19,16.02
2014-05-20,15.94
2014-05-21,15.93
2014-05-22,15.97
2014-05-23,16.07
2014-05-27,15.98
2014-05-28,15.68
2014-05-29,15.68
2014-05-30,15.8
2014-06-02,15.81
2014-06-03,15.83
2014-06-04,15.89
2014-06-05,16.67
2014-06-06,16.67
2014-06-09,16.809998999999998
2014-06-10,16.799999
2014-06-11,16.879998999999998
2014-06-12,16.74
2014-06-13,16.67
2014-06-16,16.780001000000002
2014-06-17,16.84
2014-06-18,17.059998999999998
2014-06-19,17.190001000000002
2014-06-20,17.459999
2014-06-23,17.68
2014-06-24,17.655001000000002
2014-06-25,17.610001
2014-06-26,17.67
2014-06-27,17.84
2014-06-30,17.709999
2014-07-01,17.771998999999997
2014-07-02,17.77
2014-07-03,17.700001
2014-07-07,17.65
2014-07-08,17.6
2014-07-09,17.719998999999998
2014-07-10,17.780001000000002
2014-07-11,17.889999
2014-07-14,18.0
2014-07-15,17.700001
2014-07-16,17.82
2014-07-17,17.700001
2014-07-18,17.690001000000002
2014-07-21,17.860001
2014-07-22,17.969998999999998
2014-07-23,17.98
2014-07-24,17.969998999999998
2014-07-25,17.870001000000002
2014-07-28,17.99
2014-07-29,17.700001
2014-07-30,17.58
2014-07-31,17.200001
2014-08-01,17.34
2014-08-04,17.17
2014-08-05,16.950001
2014-08-06,16.99
2014-08-07,16.860001
2014-08-08,17.280001000000002
2014-08-11,17.1
2014-08-12,17.1
2014-08-13,17.17
2014-08-14,17.15
2014-08-15,17.02
2014-08-18,17.379998999999998
2014-08-19,17.32
2014-08-20,17.5
2014-08-21,17.459999
2014-08-22,17.450001
2014-08-25,17.629998999999998
2014-08-26,17.610001
2014-08-27,17.709999
2014-08-28,17.719998999999998
2014-08-29,17.940001000000002
2014-09-02,17.98
2014-09-03,17.98
2014-09-04,17.959999
2014-09-05,17.790001
2014-09-08,17.690001000000002
2014-09-09,17.48
2014-09-10,17.35
2014-09-11,17.459999
2014-09-12,17.620001000000002
2014-09-15,17.360001
2014-09-16,17.5
2014-09-17,17.82
2014-09-18,17.85
2014-09-19,17.860001
2014-09-22,17.82
2014-09-23,17.6
2014-09-24,17.91
2014-09-25,17.73
2014-09-26,17.68
2014-09-29,17.65
2014-09-30,17.709999
2014-10-01,17.440001000000002
2014-10-02,17.4
2014-10-03,17.43
2014-10-06,17.57
2014-10-07,17.299999
2014-10-08,17.34
2014-10-09,17.26
2014-10-10,17.125
2014-10-13,17.299999
