Date,SLCA
2012-02-01,16.0
2012-02-02,16.0
2012-02-03,16.120001000000002
2012-02-06,16.35
2012-02-07,17.34
2012-02-08,17.200001
2012-02-09,17.25
2012-02-10,17.049999
2012-02-13,17.25
2012-02-14,16.85
2012-02-15,16.66
2012-02-16,16.790001
2012-02-17,16.540001
2012-02-21,16.75
2012-02-22,17.0
2012-02-23,17.01
2012-02-24,17.43
2012-02-27,17.4
2012-02-28,17.049999
2012-02-29,16.92
2012-03-01,17.09
2012-03-02,16.940001000000002
2012-03-05,16.24
2012-03-06,16.25
2012-03-07,16.450001
2012-03-08,16.559998999999998
2012-03-09,17.059998999999998
2012-03-12,17.34
2012-03-13,17.469998999999998
2012-03-14,18.299999
2012-03-15,19.33
2012-03-16,19.940001000000002
2012-03-19,19.809998999999998
2012-03-20,21.09
2012-03-21,21.4
2012-03-22,20.129998999999998
2012-03-23,20.620001000000002
2012-03-26,21.690001000000002
2012-03-27,21.870001000000002
2012-03-28,20.940001000000002
2012-03-29,20.719998999999998
2012-03-30,20.940001000000002
2012-04-02,21.110001
2012-04-03,21.209999
2012-04-04,20.42
2012-04-05,20.01
2012-04-09,19.719998999999998
2012-04-10,19.09
2012-04-11,18.75
2012-04-12,18.790001
2012-04-13,18.0
2012-04-16,17.629998999999998
2012-04-17,17.469998999999998
2012-04-18,16.879998999999998
2012-04-19,16.75
2012-04-20,16.559998999999998
2012-04-23,16.280001000000002
2012-04-24,16.83
2012-04-25,17.120001000000002
2012-04-26,17.84
2012-04-27,18.190001000000002
2012-04-30,18.120001000000002
2012-05-01,18.120001000000002
2012-05-02,18.52
2012-05-03,18.48
2012-05-04,17.780001000000002
2012-05-07,17.68
2012-05-08,15.58
2012-05-09,15.15
2012-05-10,14.85
2012-05-11,14.02
2012-05-14,13.11
2012-05-15,12.67
2012-05-16,11.94
2012-05-17,11.94
2012-05-18,11.71
2012-05-21,11.67
2012-05-22,12.05
2012-05-23,12.08
2012-05-24,12.05
2012-05-25,12.01
2012-05-29,11.99
2012-05-30,11.38
2012-05-31,12.17
2012-06-01,10.95
2012-06-04,10.17
2012-06-05,10.1
2012-06-06,11.04
2012-06-07,11.57
2012-06-08,11.3
2012-06-11,11.03
2012-06-12,11.1
2012-06-13,11.75
2012-06-14,11.85
2012-06-15,12.19
2012-06-18,12.5
2012-06-19,12.61
2012-06-20,12.11
2012-06-21,11.37
2012-06-22,11.8
2012-06-25,10.87
2012-06-26,10.64
2012-06-27,10.71
2012-06-28,10.89
2012-06-29,11.26
2012-07-02,11.1
2012-07-03,11.23
2012-07-05,11.45
2012-07-06,11.52
2012-07-09,10.94
2012-07-10,10.54
2012-07-11,10.16
2012-07-12,10.29
2012-07-13,11.08
2012-07-16,11.03
2012-07-17,10.93
2012-07-18,11.19
2012-07-19,10.91
2012-07-20,11.07
2012-07-23,10.68
2012-07-24,10.19
2012-07-25,10.17
2012-07-26,9.5
2012-07-27,9.74
2012-07-30,9.54
2012-07-31,10.35
2012-08-01,10.14
2012-08-02,9.78
2012-08-03,10.6
2012-08-06,10.57
2012-08-07,10.78
2012-08-08,10.82
2012-08-09,10.84
2012-08-10,10.37
2012-08-13,10.12
2012-08-14,10.57
2012-08-15,11.82
2012-08-16,12.92
2012-08-17,12.44
2012-08-20,12.38
2012-08-21,12.48
2012-08-22,12.41
2012-08-23,12.44
2012-08-24,12.03
2012-08-27,11.56
2012-08-28,11.67
2012-08-29,11.86
2012-08-30,11.7
2012-08-31,11.9
2012-09-04,12.14
2012-09-05,12.15
2012-09-06,12.29
2012-09-07,12.37
2012-09-10,12.7
2012-09-11,13.81
2012-09-12,14.62
2012-09-13,14.77
2012-09-14,14.62
2012-09-17,15.17
2012-09-18,14.61
2012-09-19,14.09
2012-09-20,14.23
2012-09-21,14.0
2012-09-24,14.35
2012-09-25,14.1
2012-09-26,13.75
2012-09-27,13.62
2012-09-28,13.56
2012-10-01,14.43
2012-10-02,13.9
2012-10-03,13.91
2012-10-04,14.23
2012-10-05,13.72
2012-10-08,13.51
2012-10-09,13.15
2012-10-10,13.4
2012-10-11,13.17
2012-10-12,13.17
2012-10-15,13.03
2012-10-16,13.05
2012-10-17,13.51
2012-10-18,13.45
2012-10-19,13.4
2012-10-22,13.39
2012-10-23,13.12
2012-10-24,13.12
2012-10-25,13.25
2012-10-26,12.9
2012-10-31,12.8
2012-11-01,12.87
2012-11-02,14.25
2012-11-05,14.52
2012-11-06,15.58
2012-11-07,15.54
2012-11-08,15.4
2012-11-09,14.98
2012-11-12,15.06
2012-11-13,14.63
2012-11-14,14.65
2012-11-15,15.09
2012-11-16,15.45
2012-11-19,16.73
2012-11-20,16.49
2012-11-21,16.07
2012-11-23,15.31
2012-11-26,16.25
2012-11-27,15.93
2012-11-28,14.82
2012-11-29,14.95
2012-11-30,14.52
2012-12-03,15.01
2012-12-04,14.84
2012-12-05,14.31
2012-12-06,14.43
2012-12-07,14.98
2012-12-10,14.86
2012-12-11,15.56
2012-12-12,16.24
2012-12-13,15.99
2012-12-14,16.08
2012-12-17,15.99
2012-12-18,16.309998999999998
2012-12-19,17.0
2012-12-20,16.99
2012-12-21,16.530001000000002
2012-12-24,16.5
2012-12-26,16.370001000000002
2012-12-27,15.98
2012-12-28,15.83
2012-12-31,16.73
2013-01-02,17.450001
2013-01-03,16.530001000000002
2013-01-04,17.15
2013-01-07,18.99
2013-01-08,18.59
2013-01-09,19.209999
2013-01-10,18.110001
2013-01-11,17.959999
2013-01-14,18.85
2013-01-15,18.67
2013-01-16,18.85
2013-01-17,18.9
2013-01-18,18.93
2013-01-22,18.85
2013-01-23,19.290001
2013-01-24,20.049999
2013-01-25,19.76
2013-01-28,19.99
2013-01-29,19.25
2013-01-30,19.780001000000002
2013-01-31,20.07
2013-02-01,20.040001
2013-02-04,19.620001000000002
2013-02-05,20.290001
2013-02-06,20.58
2013-02-07,20.41
2013-02-08,20.08
2013-02-11,21.0
2013-02-12,20.43
2013-02-13,20.18
2013-02-14,20.030001000000002
2013-02-15,19.950001
2013-02-19,20.0
2013-02-20,18.790001
2013-02-21,17.809998999999998
2013-02-22,18.280001000000002
2013-02-25,18.35
2013-02-26,21.620001000000002
2013-02-27,23.969998999999998
2013-02-28,24.59
2013-03-01,24.0
2013-03-04,24.41
2013-03-05,24.469998999999998
2013-03-06,25.57
2013-03-07,25.65
2013-03-08,26.43
2013-03-11,26.530001000000002
2013-03-12,24.469998999999998
2013-03-13,22.790001
2013-03-14,21.700001
2013-03-15,21.700001
2013-03-18,22.76
2013-03-19,22.700001
2013-03-20,23.870001000000002
2013-03-21,23.9
2013-03-22,23.76
2013-03-25,23.059998999999998
2013-03-26,22.190001000000002
2013-03-27,22.940001000000002
2013-03-28,23.58
2013-04-01,22.940001000000002
2013-04-02,22.309998999999998
2013-04-03,21.389999
2013-04-04,21.48
2013-04-05,22.59
2013-04-08,22.959999
2013-04-09,22.99
2013-04-10,23.57
2013-04-11,23.549999
2013-04-12,23.33
2013-04-15,20.65
2013-04-16,21.549999
2013-04-17,20.4
2013-04-18,19.799999
2013-04-19,20.200001
2013-04-22,20.68
2013-04-23,20.959999
2013-04-24,21.42
2013-04-25,20.540001
2013-04-26,20.16
2013-04-29,21.200001
2013-04-30,20.43
2013-05-01,20.01
2013-05-02,20.58
2013-05-03,21.91
2013-05-06,21.809998999999998
2013-05-07,21.75
2013-05-08,21.09
2013-05-09,21.27
2013-05-10,21.01
2013-05-13,20.700001
2013-05-14,20.23
2013-05-15,21.92
2013-05-16,22.01
