Date,ULTA
2008-10-22,9.38
2008-10-23,9.32
2008-10-24,8.97
2008-10-27,8.05
2008-10-28,9.15
2008-10-29,9.88
2008-10-30,9.28
2008-10-31,8.82
2008-11-03,9.0
2008-11-04,10.04
2008-11-05,8.84
2008-11-06,8.63
2008-11-07,8.74
2008-11-10,9.04
2008-11-11,8.5
2008-11-12,7.98
2008-11-13,8.05
2008-11-14,7.6
2008-11-17,7.79
2008-11-18,7.57
2008-11-19,7.53
2008-11-20,7.18
2008-11-21,7.42
2008-11-24,8.74
2008-11-25,7.03
2008-11-26,7.07
2008-11-28,7.18
2008-12-01,5.76
2008-12-02,6.28
2008-12-03,6.99
2008-12-04,7.6
2008-12-05,8.47
2008-12-08,9.78
2008-12-09,9.67
2008-12-10,8.49
2008-12-11,8.34
2008-12-12,9.21
2008-12-15,9.01
2008-12-16,9.67
2008-12-17,9.51
2008-12-18,9.88
2008-12-19,10.3
2008-12-22,9.67
2008-12-23,9.27
2008-12-24,9.13
2008-12-26,9.06
2008-12-29,7.7
2008-12-30,8.06
2008-12-31,8.28
2009-01-02,8.3
2009-01-05,8.75
2009-01-06,8.99
2009-01-07,8.78
2009-01-08,6.97
2009-01-09,6.91
2009-01-12,6.78
2009-01-13,6.8
2009-01-14,6.47
2009-01-15,6.11
2009-01-16,6.05
2009-01-20,5.94
2009-01-21,6.5
2009-01-22,6.54
2009-01-23,6.5
2009-01-26,6.51
2009-01-27,6.59
2009-01-28,6.89
2009-01-29,6.43
2009-01-30,5.83
2009-02-02,6.15
2009-02-03,6.1
2009-02-04,5.92
2009-02-05,6.17
2009-02-06,6.75
2009-02-09,6.69
2009-02-10,6.51
2009-02-11,6.18
2009-02-12,6.2
2009-02-13,6.3
2009-02-17,5.96
2009-02-18,6.34
2009-02-19,5.89
2009-02-20,5.51
2009-02-23,5.58
2009-02-24,5.89
2009-02-25,5.67
2009-02-26,5.37
2009-02-27,5.6
2009-03-02,5.47
2009-03-03,5.16
2009-03-04,4.92
2009-03-05,4.62
2009-03-06,4.4
2009-03-09,4.29
2009-03-10,4.51
2009-03-11,4.67
2009-03-12,5.45
2009-03-13,5.62
2009-03-16,5.55
2009-03-17,6.16
2009-03-18,6.45
2009-03-19,6.28
2009-03-20,6.27
2009-03-23,6.48
2009-03-24,6.29
2009-03-25,6.47
2009-03-26,6.97
2009-03-27,6.95
2009-03-30,6.62
2009-03-31,6.62
2009-04-01,6.72
2009-04-02,6.63
2009-04-03,7.02
2009-04-06,6.93
2009-04-07,6.58
2009-04-08,6.8
2009-04-09,7.13
2009-04-13,7.94
2009-04-14,7.47
2009-04-15,7.57
2009-04-16,7.69
2009-04-17,8.03
2009-04-20,7.68
2009-04-21,8.21
2009-04-22,8.55
2009-04-23,8.36
2009-04-24,8.35
2009-04-27,8.19
2009-04-28,8.27
2009-04-29,8.56
2009-04-30,8.75
2009-05-01,8.56
2009-05-04,8.85
2009-05-05,8.92
2009-05-06,8.84
2009-05-07,8.36
2009-05-08,8.84
2009-05-11,8.93
2009-05-12,8.72
2009-05-13,8.36
2009-05-14,8.51
2009-05-15,8.52
2009-05-18,9.02
2009-05-19,8.9
2009-05-20,9.02
2009-05-21,8.87
2009-05-22,8.58
2009-05-26,8.94
2009-05-27,8.65
2009-05-28,8.4
2009-05-29,8.56
2009-06-01,9.04
2009-06-02,9.65
2009-06-03,9.7
2009-06-04,9.6
2009-06-05,11.52
2009-06-08,11.56
2009-06-09,10.34
2009-06-10,10.18
2009-06-11,9.8
2009-06-12,10.46
2009-06-15,9.77
2009-06-16,9.78
2009-06-17,9.75
2009-06-18,9.31
2009-06-19,9.37
2009-06-22,9.63
2009-06-23,9.34
2009-06-24,9.52
2009-06-25,9.96
2009-06-26,10.52
2009-06-29,10.93
2009-06-30,11.12
2009-07-01,11.37
2009-07-02,10.63
