Date,KS
2007-03-01,3.185
2007-03-02,3.165
2007-03-05,3.15
2007-03-06,3.225
2007-03-07,3.22
2007-03-08,3.26
2007-03-09,3.39
2007-03-12,3.315
2007-03-13,3.275
2007-03-14,3.21
2007-03-15,3.25
2007-03-16,3.275
2007-03-19,3.245
2007-03-20,3.23
2007-03-21,3.275
2007-03-22,3.25
2007-03-23,3.24
2007-03-26,3.21
2007-03-27,3.23
2007-03-28,3.225
2007-03-29,3.24
2007-03-30,3.3
2007-04-02,3.325
2007-04-03,3.35
2007-04-04,3.375
2007-04-05,3.38
2007-04-09,3.4
2007-04-10,3.385
2007-04-11,3.35
2007-04-12,3.365
2007-04-13,3.385
2007-04-16,3.36
2007-04-17,3.395
2007-04-18,3.395
2007-04-19,3.39
2007-04-20,3.395
2007-04-23,3.385
2007-04-24,3.36
2007-04-25,3.305
2007-04-26,3.325
2007-04-27,3.28
2007-04-30,3.26
2007-05-01,3.21
2007-05-02,3.215
2007-05-03,3.275
2007-05-04,3.265
2007-05-07,3.26
2007-05-08,3.275
2007-05-09,3.315
2007-05-10,3.445
2007-05-11,3.435
2007-05-14,3.445
2007-05-15,3.435
2007-05-16,3.43
2007-05-17,3.445
2007-05-18,3.435
2007-05-21,3.485
2007-05-22,3.5
2007-05-23,3.58
2007-05-24,3.585
2007-05-25,3.635
2007-05-29,3.85
2007-05-30,3.7
2007-05-31,3.85
2007-06-01,3.895
2007-06-04,3.86
2007-06-05,3.85
2007-06-06,3.825
2007-06-07,3.725
2007-06-08,3.75
2007-06-11,3.75
2007-06-12,3.75
2007-06-13,3.73
2007-06-14,3.73
2007-06-15,3.735
2007-06-18,3.825
2007-06-19,3.825
2007-06-20,3.825
2007-06-21,3.825
2007-06-22,3.845
2007-06-25,3.83
2007-06-26,3.775
2007-06-27,3.8
2007-06-28,3.8
2007-06-29,3.795
2007-07-02,3.795
2007-07-03,3.775
2007-07-05,3.75
2007-07-06,3.795
2007-07-09,3.745
2007-07-10,3.725
2007-07-11,3.7
2007-07-12,3.76
2007-07-13,3.85
2007-07-16,3.835
2007-07-17,3.83
2007-07-18,3.865
2007-07-19,3.86
2007-07-20,3.875
2007-07-23,3.845
2007-07-24,3.78
2007-07-25,3.785
2007-07-26,3.67
2007-07-27,3.635
2007-07-30,3.685
2007-07-31,3.645
2007-08-01,3.505
2007-08-02,3.44
2007-08-03,3.4
2007-08-06,3.26
2007-08-07,3.29
2007-08-08,3.08
2007-08-09,3.195
2007-08-10,3.19
2007-08-13,3.235
2007-08-14,3.2
2007-08-15,3.235
2007-08-16,3.2
2007-08-17,3.42
2007-08-20,3.355
2007-08-21,3.32
2007-08-22,3.415
2007-08-23,3.5
2007-08-24,3.51
2007-08-27,3.52
2007-08-28,3.4
2007-08-29,3.48
2007-08-30,3.46
2007-08-31,3.435
2007-09-04,3.535
2007-09-05,3.59
2007-09-06,3.58
2007-09-07,3.575
2007-09-10,3.52
2007-09-11,3.47
2007-09-12,3.47
2007-09-13,3.45
2007-09-14,3.36
2007-09-17,3.4
2007-09-18,3.46
2007-09-19,3.49
2007-09-20,3.46
2007-09-21,3.48
2007-09-24,3.475
2007-09-25,3.535
2007-09-26,3.515
2007-09-27,3.515
2007-09-28,3.59
2007-10-01,3.445
2007-10-02,3.535
2007-10-03,3.555
2007-10-04,3.58
2007-10-05,3.605
2007-10-08,3.545
2007-10-09,3.57
2007-10-10,3.57
2007-10-11,3.55
2007-10-12,3.555
2007-10-15,3.545
2007-10-16,3.5
2007-10-17,3.505
2007-10-18,3.54
2007-10-19,3.525
2007-10-22,3.525
2007-10-23,3.575
2007-10-24,3.545
2007-10-25,3.51
2007-10-26,3.565
2007-10-29,3.5
2007-10-30,3.525
2007-10-31,3.5
2007-11-01,3.585
2007-11-02,3.605
2007-11-05,3.64
2007-11-06,3.685
2007-11-07,3.62
2007-11-08,3.625
2007-11-09,3.575
2007-11-12,3.52
2007-11-13,3.54
2007-11-14,3.55
2007-11-15,3.555
2007-11-16,3.6
2007-11-19,3.63
2007-11-20,3.66
2007-11-21,3.625
2007-11-23,3.61
2007-11-26,3.7
2007-11-27,3.625
2007-11-28,3.57
2007-11-29,3.59
2007-11-30,3.445
2007-12-03,3.625
2007-12-04,3.55
2007-12-05,3.625
2007-12-06,3.605
2007-12-07,3.605
2007-12-10,3.61
2007-12-11,3.565
2007-12-12,3.505
2007-12-13,3.475
2007-12-14,3.57
2007-12-17,3.515
2007-12-18,3.485
2007-12-19,3.45
2007-12-20,3.36
2007-12-21,3.395
2007-12-24,3.365
2007-12-26,3.35
2007-12-27,3.4
2007-12-28,3.395
2007-12-31,3.5
2008-01-02,3.49
2008-01-03,3.35
2008-01-04,3.3
2008-01-07,3.27
2008-01-08,3.3
2008-01-09,3.285
2008-01-10,3.285
2008-01-11,3.295
2008-01-14,3.345
2008-01-15,3.26
2008-01-16,3.25
2008-01-17,3.2
2008-01-18,3.215
2008-01-22,3.215
2008-01-23,3.18
2008-01-24,3.2
2008-01-25,3.175
2008-01-28,3.155
2008-01-29,3.23
2008-01-30,3.18
2008-01-31,3.225
2008-02-01,3.205
2008-02-04,3.35
2008-02-05,3.275
2008-02-06,3.23
2008-02-07,3.25
2008-02-08,3.33
2008-02-11,3.37
2008-02-12,3.395
2008-02-13,3.35
2008-02-14,3.34
2008-02-15,3.28
2008-02-19,3.265
2008-02-20,3.195
2008-02-21,3.22
2008-02-22,3.235
2008-02-25,3.2
2008-02-26,3.2
2008-02-27,3.285
2008-02-28,3.19
2008-02-29,3.325
2008-03-03,3.245
2008-03-04,3.195
2008-03-05,3.2
2008-03-06,3.19
2008-03-07,3.175
2008-03-10,3.165
2008-03-11,3.2
2008-03-12,3.225
2008-03-13,3.17
2008-03-14,3.155
2008-03-17,3.25
2008-03-18,3.275
2008-03-19,3.225
2008-03-20,3.305
2008-03-24,3.265
2008-03-25,3.285
2008-03-26,3.3
2008-03-27,3.315
2008-03-28,3.265
2008-03-31,3.31
2008-04-01,3.295
2008-04-02,3.27
2008-04-03,3.205
2008-04-04,3.25
2008-04-07,3.505
2008-04-08,3.48
2008-04-09,3.46
2008-04-10,3.45
2008-04-11,3.425
2008-04-14,3.375
2008-04-15,3.39
2008-04-16,3.425
2008-04-17,3.455
2008-04-18,3.505
2008-04-21,3.48
2008-04-22,3.51
2008-04-23,3.51
2008-04-24,3.5
2008-04-25,3.5
2008-04-28,3.45
2008-04-29,3.45
2008-04-30,3.44
2008-05-01,3.47
2008-05-02,3.48
2008-05-05,3.45
2008-05-06,3.435
2008-05-07,3.425
2008-05-08,3.345
2008-05-09,3.37
2008-05-12,3.4
2008-05-13,3.44
2008-05-14,3.5
2008-05-15,3.5
2008-05-16,3.495
2008-05-19,3.565
2008-05-20,3.56
2008-05-21,3.555
2008-05-22,3.59
2008-05-23,3.555
2008-05-27,3.575
2008-05-28,3.545
2008-05-29,3.54
2008-05-30,3.565
2008-06-02,3.54
2008-06-03,3.545
2008-06-04,3.545
2008-06-05,3.54
2008-06-06,3.48
2008-06-09,3.5
2008-06-10,3.5
2008-06-11,3.49
2008-06-12,3.495
2008-06-13,3.53
