Date,DELL
2016-08-17,23.809525
2016-08-18,23.671097
2016-08-19,24.086378
2016-08-22,24.169435999999997
2016-08-23,24.916943
2016-08-24,25.24917
2016-08-25,25.143964999999998
2016-08-26,25.332226000000002
2016-08-29,25.636766
2016-08-30,25.0
2016-08-31,24.739756
2016-09-01,24.086378
2016-09-02,23.79845
2016-09-06,25.166113
2016-09-07,26.578073999999997
2016-09-08,27.857143
2016-09-09,27.176078999999998
2016-09-12,27.353268
2016-09-13,26.854929
2016-09-14,26.771872
2016-09-15,27.070875
2016-09-16,26.838316
2016-09-19,26.998891999999998
2016-09-20,26.982281
2016-09-21,26.810631
2016-09-22,26.594685
2016-09-23,26.583610999999998
2016-09-26,26.517164
2016-09-27,26.461794
2016-09-28,26.500553000000004
2016-09-29,26.339977
2016-09-30,26.467331
2016-10-03,26.539314
2016-10-04,26.500553000000004
2016-10-05,26.838316
2016-10-06,26.79402
2016-10-07,26.616833000000003
2016-10-10,26.312292
2016-10-11,26.101882999999997
2016-10-12,26.085272
2016-10-13,26.096346
2016-10-14,26.157253
2016-10-17,26.240311
2016-10-18,26.400887
2016-10-19,26.417498
2016-10-20,26.411960999999998
2016-10-21,26.157253
2016-10-24,26.544851
2016-10-25,26.018826
2016-10-26,25.869324
2016-10-27,26.760797999999998
2016-10-28,27.059801
2016-10-31,27.181618
2016-11-01,26.838316
2016-11-02,27.131783000000002
2016-11-03,27.004429
2016-11-04,26.921373
2016-11-07,27.419712
2016-11-08,27.508307000000002
2016-11-09,27.336655
2016-11-10,27.275746999999996
2016-11-11,27.214840000000002
2016-11-14,27.126245
2016-11-15,27.72979
2016-11-16,28.045403999999998
2016-11-17,28.682171000000004
2016-11-18,28.787374
2016-11-21,29.036545
2016-11-22,28.842746999999996
2016-11-23,28.538206
2016-11-25,28.898117
2016-11-28,28.870432
2016-11-29,29.496124
2016-11-30,29.6567
2016-12-01,28.726467
2016-12-02,29.208195
2016-12-05,29.379845
2016-12-06,29.551495000000003
2016-12-07,29.844960999999998
2016-12-08,29.856035
2016-12-09,29.88372
2016-12-12,29.844960999999998
2016-12-13,29.77298
2016-12-14,30.016610999999997
2016-12-15,31.428571999999996
2016-12-16,31.251385
2016-12-19,31.2237
2016-12-20,31.589147999999998
2016-12-21,31.722038
2016-12-22,30.919159000000004
2016-12-23,31.057586999999998
2016-12-27,31.035436999999998
2016-12-28,30.642303000000002
2016-12-29,30.598007
2016-12-30,30.437431
2017-01-03,30.215946000000002
2017-01-04,30.454041999999998
2017-01-05,30.603544
2017-01-06,31.445183
2017-01-09,31.27907
2017-01-10,31.555925
2017-01-11,31.882614
2017-01-12,31.915836
2017-01-13,32.209301
2017-01-17,32.081947
