Date,UNVR
2015-06-17,22.0
2015-06-18,25.4
2015-06-19,27.25
2015-06-22,26.75
2015-06-23,27.0
2015-06-24,26.15
2015-06-25,26.33
2015-06-26,26.49
2015-06-29,25.99
2015-06-30,26.030001000000002
2015-07-01,25.959999
2015-07-02,25.940001000000002
2015-07-06,25.309998999999998
2015-07-07,25.41
2015-07-08,24.860001
2015-07-09,24.91
2015-07-10,24.9
2015-07-13,25.059998999999998
2015-07-14,24.91
2015-07-15,24.99
2015-07-16,24.91
2015-07-17,25.01
2015-07-20,24.540001
2015-07-21,24.48
2015-07-22,24.5
2015-07-23,24.5
2015-07-24,24.360001
2015-07-27,23.65
2015-07-28,22.84
2015-07-29,22.129998999999998
2015-07-30,23.940001000000002
2015-07-31,23.9
2015-08-03,22.709999
2015-08-04,22.91
2015-08-05,23.469998999999998
2015-08-06,23.42
2015-08-07,23.43
2015-08-10,23.209999
2015-08-11,22.65
2015-08-12,22.209999
2015-08-13,22.82
2015-08-14,22.040001
2015-08-17,22.200001
2015-08-18,22.370001000000002
2015-08-19,22.52
2015-08-20,22.459999
2015-08-21,22.030001000000002
2015-08-24,21.49
2015-08-25,21.15
2015-08-26,21.57
2015-08-27,22.120001000000002
2015-08-28,22.27
2015-08-31,22.639999
2015-09-01,22.5
2015-09-02,22.620001000000002
2015-09-03,23.07
2015-09-04,22.49
2015-09-08,22.799999
2015-09-09,22.48
2015-09-10,22.879998999999998
2015-09-11,22.99
2015-09-14,22.74
2015-09-15,22.700001
2015-09-16,23.0
2015-09-17,22.59
2015-09-18,20.77
2015-09-21,20.370001000000002
2015-09-22,20.379998999999998
2015-09-23,20.33
2015-09-24,20.65
2015-09-25,20.469998999999998
2015-09-28,19.09
2015-09-29,19.120001000000002
2015-09-30,18.15
2015-10-01,17.540001
2015-10-02,17.18
2015-10-05,18.030001000000002
2015-10-06,18.129998999999998
2015-10-07,18.139999
2015-10-08,18.74
2015-10-09,19.379998999999998
2015-10-12,19.18
2015-10-13,19.02
2015-10-14,18.73
2015-10-15,19.07
2015-10-16,18.610001
2015-10-19,18.450001
2015-10-20,18.68
2015-10-21,18.4
2015-10-22,18.549999
2015-10-23,17.99
2015-10-26,17.98
2015-10-27,18.0
2015-10-28,17.700001
2015-10-29,17.620001000000002
2015-10-30,17.66
2015-11-02,18.27
2015-11-03,19.110001
2015-11-04,19.99
2015-11-05,19.32
2015-11-06,19.940001000000002
2015-11-09,18.950001
2015-11-10,18.370001000000002
2015-11-11,18.379998999999998
2015-11-12,18.309998999999998
2015-11-13,18.59
2015-11-16,18.870001000000002
2015-11-17,18.5
2015-11-18,19.01
2015-11-19,19.389999
2015-11-20,19.0
