Date,BOIVF
2010-10-15,2.1976
2010-10-18,2.1976
2010-10-19,2.1976
2010-10-20,2.1847
2010-10-21,2.2149
2010-10-22,2.2
2010-10-25,2.2
2010-10-26,2.2
2010-10-27,2.2
2010-10-28,2.2
2010-10-29,2.2
2010-11-01,2.2
2010-11-02,2.295
2010-11-03,2.295
2010-11-04,2.34
2010-11-05,2.34
2010-11-08,2.34
2010-11-09,2.34
2010-11-10,2.34
2010-11-11,2.34
2010-11-12,2.34
2010-11-15,2.34
2010-11-16,2.34
2010-11-17,2.3
2010-11-18,2.3
2010-11-19,2.3
2010-11-22,2.3
2010-11-23,2.18
2010-11-24,2.18
2010-11-26,2.18
2010-11-29,2.18
2010-11-30,2.18
2010-12-01,2.18
2010-12-02,2.18
2010-12-03,2.18
2010-12-06,2.18
2010-12-07,2.18
2010-12-08,2.18
2010-12-09,2.18
2010-12-10,2.18
2010-12-13,2.18
2010-12-14,2.18
2010-12-15,2.18
2010-12-16,2.18
2010-12-17,2.18
2010-12-20,2.18
2010-12-21,2.18
2010-12-22,2.18
2010-12-23,2.18
2010-12-27,2.18
2010-12-28,2.18
2010-12-29,2.18
2010-12-30,2.18
2010-12-31,2.18
2011-01-03,2.18
2011-01-04,2.18
2011-01-05,2.18
2011-01-06,2.18
2011-01-07,2.18
2011-01-10,2.18
2011-01-11,2.18
2011-01-12,2.18
2011-01-13,2.18
2011-01-14,2.18
2011-01-18,2.18
2011-01-19,2.18
2011-01-20,2.18
2011-01-21,2.18
2011-01-24,2.18
2011-01-25,2.18
2011-01-26,2.18
2011-01-27,2.18
2011-01-28,2.18
2011-01-31,2.18
2011-02-01,2.18
2011-02-02,2.18
2011-02-03,2.18
2011-02-04,2.18
2011-02-07,2.18
2011-02-08,2.18
2011-02-09,2.18
2011-02-10,2.18
2011-02-11,2.18
2011-02-14,2.18
2011-02-15,2.18
2011-02-16,2.18
2011-02-17,2.18
2011-02-18,2.18
2011-02-22,2.18
2011-02-23,2.18
2011-02-24,2.18
2011-02-25,2.18
2011-02-28,2.18
2011-03-01,2.18
2011-03-02,2.18
2011-03-03,2.18
2011-03-04,2.25
2011-03-07,2.25
2011-03-08,2.25
2011-03-09,2.25
2011-03-10,2.25
2011-03-11,2.25
2011-03-14,2.25
2011-03-15,2.25
2011-03-16,2.25
2011-03-17,2.25
2011-03-18,2.25
2011-03-21,2.25
2011-03-22,2.25
2011-03-23,2.25
2011-03-24,2.26
2011-03-25,2.26
2011-03-28,2.32
2011-03-29,2.32
2011-03-30,2.32
2011-03-31,2.32
2011-04-01,2.32
2011-04-04,2.32
2011-04-05,2.32
2011-04-06,2.32
2011-04-07,2.32
2011-04-08,2.32
2011-04-11,2.32
2011-04-12,2.32
2011-04-13,2.32
2011-04-14,2.32
2011-04-15,2.32
2011-04-18,2.32
2011-04-19,2.32
2011-04-20,2.32
2011-04-21,2.32
2011-04-25,2.32
2011-04-26,2.32
2011-04-27,2.32
2011-04-28,2.32
2011-04-29,2.32
2011-05-02,2.32
2011-05-03,2.32
2011-05-04,2.32
2011-05-05,2.32
2011-05-06,2.32
2011-05-09,2.32
2011-05-10,2.32
2011-05-11,2.4997
2011-05-12,2.5
2011-05-13,2.5
2011-05-16,2.45
2011-05-17,2.45
2011-05-18,2.45
2011-05-19,2.45
2011-05-20,2.47
2011-05-23,2.38
2011-05-24,2.38
2011-05-25,2.38
2011-05-26,2.38
2011-05-27,2.38
2011-05-31,2.38
2011-06-01,2.576
2011-06-02,2.576
2011-06-03,2.576
2011-06-06,2.576
2011-06-07,2.576
2011-06-08,2.576
2011-06-09,2.576
2011-06-10,2.576
2011-06-13,2.576
2011-06-14,2.576
2011-06-15,2.576
2011-06-16,2.576
2011-06-17,2.576
2011-06-20,2.576
2011-06-21,2.576
2011-06-22,2.576
2011-06-23,2.576
2011-06-24,2.576
2011-06-27,2.576
2011-06-28,2.576
2011-06-29,2.576
2011-06-30,2.576
2011-07-01,2.576
2011-07-05,2.576
2011-07-06,2.576
2011-07-07,2.576
2011-07-08,2.576
2011-07-11,2.576
2011-07-12,2.576
2011-07-13,2.576
2011-07-14,2.576
2011-07-15,2.576
2011-07-18,2.576
2011-07-19,2.576
2011-07-20,2.576
2011-07-21,2.576
2011-07-22,2.576
2011-07-25,2.576
2011-07-26,2.576
2011-07-27,2.576
2011-07-28,2.576
2011-07-29,2.576
2011-08-01,2.576
2011-08-02,2.576
2011-08-03,2.576
2011-08-04,2.576
2011-08-05,2.576
2011-08-08,2.576
2011-08-09,2.576
2011-08-10,2.576
2011-08-11,2.576
2011-08-12,2.576
2011-08-15,2.576
2011-08-16,2.576
2011-08-17,2.576
2011-08-18,2.576
2011-08-19,2.576
2011-08-22,2.576
2011-08-23,2.576
2011-08-24,2.576
2011-08-25,2.576
2011-08-26,2.576
2011-08-29,2.576
2011-08-30,2.576
2011-08-31,2.576
2011-09-01,2.576
2011-09-02,2.576
2011-09-06,2.576
2011-09-07,2.576
2011-09-08,2.576
2011-09-09,2.576
2011-09-12,2.576
2011-09-13,2.576
2011-09-14,2.28
2011-09-15,2.3
2011-09-16,2.43
2011-09-19,2.43
2011-09-20,2.355
2011-09-21,2.355
2011-09-22,2.2304
2011-09-23,2.23
2011-09-26,2.23
2011-09-27,2.23
2011-09-28,2.23
2011-09-29,2.23
2011-09-30,2.236
2011-10-03,2.236
2011-10-04,2.08
2011-10-05,2.08
2011-10-06,2.08
2011-10-07,2.08
2011-10-10,2.08
2011-10-11,2.28
2011-10-12,2.3055
2011-10-13,2.31
2011-10-14,2.3455
2011-10-17,2.3455
2011-10-18,2.2939
2011-10-19,2.34
2011-10-20,2.34
2011-10-21,2.34
2011-10-24,2.34
2011-10-25,2.3468
2011-10-26,2.3727
2011-10-27,2.435
2011-10-28,2.38
2011-10-31,2.38
2011-11-01,2.2005
2011-11-02,2.2005
2011-11-03,2.2847
2011-11-04,2.2847
2011-11-07,2.2847
2011-11-08,2.28
2011-11-09,2.28
2011-11-10,2.18
2011-11-11,2.18
2011-11-14,2.18
2011-11-15,2.1881
2011-11-16,2.1347
2011-11-17,2.15
2011-11-18,2.15
2011-11-21,2.15
2011-11-22,2.0882
2011-11-23,2.0425
2011-11-25,2.0425
2011-11-28,2.03
2011-11-29,2.03
2011-11-30,2.03
2011-12-01,2.1725
2011-12-02,2.179
2011-12-05,2.1776
2011-12-06,2.1776
2011-12-07,2.11
2011-12-08,2.11
2011-12-09,2.1099
2011-12-12,2.1099
2011-12-13,2.1099
2011-12-14,2.015
2011-12-15,2.015
2011-12-16,1.96
2011-12-19,1.96
2011-12-20,1.96
2011-12-21,2.001
2011-12-22,1.9766
2011-12-23,1.99
2011-12-27,1.985
2011-12-28,1.985
2011-12-29,1.97
2011-12-30,1.9815
2012-01-03,1.9815
2012-01-04,1.9815
2012-01-05,1.9815
2012-01-06,1.94
2012-01-09,1.945
2012-01-10,2.0
2012-01-11,2.0
2012-01-12,1.98
2012-01-13,1.95
2012-01-17,1.9889
2012-01-18,2.03
2012-01-19,2.03
2012-01-20,2.02
2012-01-23,2.065
2012-01-24,2.0314
2012-01-25,2.04
2012-01-26,2.0335
2012-01-27,2.07
2012-01-30,2.0266
2012-01-31,2.0266
2012-02-01,2.08
2012-02-02,2.1097
2012-02-03,2.0614
2012-02-06,2.0614
2012-02-07,2.0614
2012-02-08,2.1538
2012-02-09,2.11
2012-02-10,2.11
2012-02-13,2.087
2012-02-14,2.07
2012-02-15,2.07
2012-02-16,2.0717
2012-02-17,2.0795
2012-02-21,2.0795
2012-02-22,2.0961
2012-02-23,2.0961
2012-02-24,2.0961
2012-02-27,2.1122
2012-02-28,2.1122
2012-02-29,2.08
2012-03-01,2.086
2012-03-02,2.1086
2012-03-05,2.0644
2012-03-06,2.0644
2012-03-07,2.0644
2012-03-08,2.0644
2012-03-09,2.0425
2012-03-12,2.0425
2012-03-13,2.0425
2012-03-14,2.0425
2012-03-15,2.0425
2012-03-16,2.04
2012-03-19,2.0667
2012-03-20,2.08
2012-03-21,2.07
2012-03-22,2.0
2012-03-23,2.0
2012-03-26,2.13
2012-03-27,2.13
2012-03-28,2.08
2012-03-29,2.08
2012-03-30,2.08
2012-04-02,2.11
2012-04-03,2.2
2012-04-04,2.1242
2012-04-05,2.1242
2012-04-09,2.123
2012-04-10,2.123
2012-04-11,2.126
2012-04-12,2.126
2012-04-13,2.126
2012-04-16,2.126
2012-04-17,2.126
2012-04-18,2.126
2012-04-19,2.126
2012-04-20,2.126
2012-04-23,2.095
2012-04-24,2.095
2012-04-25,2.1665
2012-04-26,2.1665
2012-04-27,2.16
2012-04-30,2.16
2012-05-01,2.16
2012-05-02,2.139
2012-05-03,2.135
2012-05-04,2.135
2012-05-07,2.1286
2012-05-08,2.02
2012-05-09,2.02
2012-05-10,2.1005
2012-05-11,2.095
2012-05-14,2.095
2012-05-15,2.045
2012-05-16,2.045
2012-05-17,2.0
2012-05-18,2.0
2012-05-21,2.007
2012-05-22,2.007
2012-05-23,2.007
2012-05-24,2.007
2012-05-25,1.9958
2012-05-29,2.0
2012-05-30,2.0
2012-05-31,1.99
2012-06-01,2.04
2012-06-04,2.02
2012-06-05,2.02
2012-06-06,2.02
2012-06-07,2.02
2012-06-08,2.115
2012-06-11,2.115
2012-06-12,2.1
2012-06-13,2.175
2012-06-14,2.145
2012-06-15,2.15
2012-06-18,2.15
2012-06-19,2.17
2012-06-20,2.17
2012-06-21,2.135
2012-06-22,2.135
2012-06-25,2.04
2012-06-26,2.1078
2012-06-27,2.1078
2012-06-28,2.105
2012-06-29,2.105
2012-07-02,2.105
2012-07-03,2.105
2012-07-05,2.21
2012-07-06,2.21
2012-07-09,2.21
2012-07-10,2.21
2012-07-11,2.1928
2012-07-12,2.19
2012-07-13,2.1901
2012-07-16,2.22
2012-07-17,2.22
2012-07-18,2.205
2012-07-19,2.23
2012-07-20,2.175
2012-07-23,2.165
2012-07-24,2.1182
2012-07-25,2.18
2012-07-26,2.18
2012-07-27,2.25
2012-07-30,2.25
2012-07-31,2.237
2012-08-01,2.237
2012-08-02,2.237
2012-08-03,2.2575
2012-08-06,2.2575
2012-08-07,2.2575
2012-08-08,2.267
2012-08-09,2.25
2012-08-10,2.2245
2012-08-13,2.2245
2012-08-14,2.216
2012-08-15,2.216
2012-08-16,2.275
2012-08-17,2.247
2012-08-20,2.247
2012-08-21,2.25
2012-08-22,2.26
2012-08-23,2.26
2012-08-24,2.26
2012-08-27,2.2461
2012-08-28,2.222
2012-08-29,2.3
2012-08-30,2.3
2012-08-31,2.3
2012-09-04,2.3
2012-09-05,2.5
2012-09-06,2.49
2012-09-07,2.57
2012-09-10,2.5525
2012-09-11,2.54
2012-09-12,2.5944
2012-09-13,2.6
2012-09-14,2.6
2012-09-17,2.63
2012-09-18,2.63
2012-09-19,2.63
2012-09-20,2.63
2012-09-21,2.63
2012-09-24,2.63
2012-09-25,2.5642
2012-09-26,2.5642
2012-09-27,2.58
2012-09-28,2.61
2012-10-01,2.61
2012-10-02,2.6584
2012-10-03,2.6584
2012-10-04,2.7125
2012-10-05,2.688
2012-10-08,2.6646
2012-10-09,2.705
2012-10-10,2.705
2012-10-11,2.675
2012-10-12,2.63
2012-10-15,2.6787
2012-10-16,2.6787
2012-10-17,2.8
2012-10-18,2.91
2012-10-19,2.91
2012-10-22,2.91
2012-10-23,2.91
2012-10-24,2.85
2012-10-25,2.85
2012-10-26,2.85
2012-10-31,3.0
2012-11-01,3.0
2012-11-02,3.0
2012-11-05,3.0
2012-11-06,3.305
2012-11-07,3.2975
2012-11-08,3.19
2012-11-09,3.19
2012-11-12,3.23
2012-11-13,3.1958
2012-11-14,3.1958
2012-11-15,3.18
2012-11-16,3.2219
2012-11-19,3.28
2012-11-20,3.28
2012-11-21,3.28
2012-11-23,3.5005
2012-11-26,3.4292
2012-11-27,3.4
2012-11-28,3.425
2012-11-29,3.465
2012-11-30,3.43
2012-12-03,3.4725
2012-12-04,3.4725
2012-12-05,3.4725
2012-12-06,3.5587
2012-12-07,3.42
2012-12-10,3.4516
2012-12-11,3.2811
2012-12-12,3.2811
2012-12-13,3.2811
2012-12-14,3.4401
2012-12-17,3.4401
2012-12-18,3.465
2012-12-19,3.465
2012-12-20,3.46
2012-12-21,3.35
2012-12-24,3.35
2012-12-26,3.36
2012-12-27,3.41
2012-12-28,3.41
2012-12-31,3.41
2013-01-02,3.41
2013-01-03,3.41
2013-01-04,3.41
2013-01-07,3.4801
2013-01-08,3.4801
2013-01-09,3.56
2013-01-10,3.56
2013-01-11,3.62
2013-01-14,3.5834
2013-01-15,3.5834
2013-01-16,3.5834
2013-01-17,3.595
2013-01-18,3.65
2013-01-22,3.5825
2013-01-23,3.6225
2013-01-24,3.6205
2013-01-25,3.6205
2013-01-28,3.6205
2013-01-29,3.6205
2013-01-30,3.66
2013-01-31,3.66
2013-02-01,3.66
2013-02-04,3.5552
2013-02-05,3.603
2013-02-06,3.63
2013-02-07,3.63
2013-02-08,3.63
2013-02-11,3.63
2013-02-12,3.63
2013-02-13,3.6025
2013-02-14,3.6161
2013-02-15,3.8567
2013-02-19,4.0501
2013-02-20,3.981
2013-02-21,3.7932
2013-02-22,3.7932
2013-02-25,3.92
2013-02-26,3.92
2013-02-27,3.9312
2013-02-28,3.8701
2013-03-01,3.8972
2013-03-04,3.8595
2013-03-05,3.8805
2013-03-06,3.8805
2013-03-07,3.8935
2013-03-08,3.8935
2013-03-11,3.8611
2013-03-12,3.8611
2013-03-13,3.849
2013-03-14,3.875
2013-03-15,3.875
2013-03-18,3.875
2013-03-19,3.875
2013-03-20,3.8674
2013-03-21,3.8674
2013-03-22,4.0444
2013-03-25,4.0444
2013-03-26,4.0444
2013-03-27,3.85
2013-03-28,3.8417
2013-04-01,3.8417
2013-04-02,3.83
2013-04-03,3.83
2013-04-04,3.8415
2013-04-05,3.917
2013-04-08,3.917
2013-04-09,3.917
2013-04-10,3.917
2013-04-11,3.925
2013-04-12,3.8535
2013-04-15,3.7983
2013-04-16,3.7983
2013-04-17,3.731
2013-04-18,3.7587
2013-04-19,3.7587
2013-04-22,3.7587
2013-04-23,3.727
2013-04-24,3.7765
2013-04-25,3.835
2013-04-26,3.903
2013-04-29,3.903
2013-04-30,4.1375
2013-05-01,4.1375
2013-05-02,4.1375
2013-05-03,4.1375
2013-05-06,4.048
2013-05-07,4.1198
2013-05-08,4.224
2013-05-09,4.1925
2013-05-10,4.193
2013-05-13,4.193
2013-05-14,4.2207
2013-05-15,4.2207
2013-05-16,4.2207
