Date,DRC
2012-06-18,16899.800781
2012-06-19,16083.900391
2012-06-20,16258.700195
2012-06-21,16025.599609
2012-06-22,15676.0
2012-06-25,15035.0
2012-06-26,14627.0
2012-06-27,14277.400391
2012-06-28,14860.099609
2012-06-29,15209.799805
2012-07-02,14568.799805
2012-07-03,13927.700195
2012-07-05,14568.799805
2012-07-06,14743.599609
2012-07-09,14044.299805
2012-07-10,14102.599609
2012-07-11,14044.299805
2012-07-12,14219.099609
2012-07-13,14918.400391
2012-07-16,15268.099609
2012-07-17,15967.400391
2012-07-18,16025.599609
2012-07-19,16783.199219
2012-07-20,16317.0
2012-07-23,16025.599609
2012-07-24,15326.299805
2012-07-25,15442.900391
2012-07-26,15850.799805
2012-07-27,15326.299805
2012-07-30,15326.299805
2012-07-31,15326.299805
2012-08-01,15209.799805
2012-08-02,15268.099609
2012-08-03,15268.099609
2012-08-06,16025.599609
2012-08-07,15792.5
2012-08-08,15850.799805
2012-08-09,15967.400391
2012-08-10,15734.299805
2012-08-13,15559.400391
2012-08-14,15676.0
2012-08-15,15676.0
2012-08-16,15617.700195
2012-08-17,15850.799805
2012-08-20,15967.400391
2012-08-21,15209.799805
2012-08-22,14918.400391
2012-08-23,14219.099609
2012-08-24,14918.400391
2012-08-27,14277.400391
2012-08-28,14801.900391
2012-08-29,15442.900391
2012-08-30,15151.5
2012-08-31,15151.5
2012-09-04,15326.299805
2012-09-05,15035.0
2012-09-06,14743.599609
2012-09-07,14685.299805
2012-09-10,14102.599609
2012-09-11,14568.799805
2012-09-12,14510.5
2012-09-13,14627.0
2012-09-14,14918.400391
2012-09-17,14801.900391
2012-09-18,14393.900391
2012-09-19,14743.599609
2012-09-20,14568.799805
2012-09-21,14743.599609
2012-09-24,14393.900391
2012-09-25,14452.200195
2012-09-26,14510.5
2012-09-27,14510.5
2012-09-28,14393.900391
2012-10-01,14335.700195
2012-10-02,14510.5
2012-10-03,14743.599609
2012-10-04,14568.799805
2012-10-05,14743.599609
2012-10-08,15151.5
2012-10-09,15093.200195
2012-10-10,15093.200195
2012-10-11,15268.099609
2012-10-12,15151.5
2012-10-15,14976.700195
2012-10-16,15268.099609
2012-10-17,15559.400391
2012-10-18,15442.900391
2012-10-19,15093.200195
2012-10-22,14860.099609
2012-10-23,15035.0
2012-10-24,15035.0
2012-10-25,14918.400391
2012-10-26,14860.099609
2012-10-31,14510.5
2012-11-01,14568.799805
2012-11-02,14102.599609
2012-11-05,14452.200195
2012-11-06,14510.5
2012-11-07,14685.299805
2012-11-08,14510.5
2012-11-09,14452.200195
2012-11-12,14743.599609
2012-11-13,14510.5
2012-11-14,14568.799805
2012-11-15,14393.900391
2012-11-16,14510.5
2012-11-19,14277.400391
2012-11-20,14452.200195
2012-11-21,14335.700195
2012-11-23,14393.900391
2012-11-26,14277.400391
2012-11-27,14219.099609
2012-11-28,14044.299805
2012-11-29,14102.599609
2012-11-30,13986.0
2012-12-03,13986.0
2012-12-04,14277.400391
2012-12-05,14510.5
2012-12-06,14219.099609
2012-12-07,14219.099609
2012-12-10,14393.900391
2012-12-11,14393.900391
2012-12-12,14568.799805
2012-12-13,14335.700195
