Date,EBAY
1998-09-24,0.830791
1998-09-25,0.786949
1998-09-28,0.8461350000000001
1998-09-29,0.857095
1998-09-30,0.790237
1998-10-01,0.701459
1998-10-02,0.701459
1998-10-05,0.629121
1998-10-06,0.640081
1998-10-07,0.541439
1998-10-08,0.508558
1998-10-09,0.539247
1998-10-12,0.552399
1998-10-13,0.515134
1998-10-14,0.5282859999999999
1998-10-15,0.572128
1998-10-16,0.631313
1998-10-19,0.795718
1998-10-20,0.815446
1998-10-21,0.8866879999999999
1998-10-22,0.904225
1998-10-23,0.879016
1998-10-26,1.2867389999999999
1998-10-27,1.446759
1998-10-28,1.402918
1998-10-29,1.400726
1998-10-30,1.4577200000000001
1998-11-02,1.473064
1998-11-03,1.473064
1998-11-04,1.4500469999999999
1998-11-05,1.423743
1998-11-06,1.473064
1998-11-09,1.806257
1998-11-10,2.295086
1998-11-11,2.0331349999999997
1998-11-12,2.209596
1998-11-13,2.173427
1998-11-16,2.238093
1998-11-17,2.255629
1998-11-18,2.58663
1998-11-19,2.520868
1998-11-20,2.577862
1998-11-23,3.3845400000000003
1998-11-24,3.451398
1998-11-25,3.5862089999999998
1998-11-27,3.8229519999999995
1998-11-30,3.465646
1998-12-01,3.634435
1998-12-02,3.559905
1998-12-03,3.279321
1998-12-04,3.200407
1998-12-07,3.055731
1998-12-08,3.1017639999999997
1998-12-09,3.148345
1998-12-10,3.263977
1998-12-11,3.367003
1998-12-14,3.305626
1998-12-15,3.402076
1998-12-16,3.919402
1998-12-17,4.179162
1998-12-18,4.423576000000001
1998-12-21,5.197373000000001
1998-12-22,5.278479
1998-12-23,5.22587
1998-12-24,5.015432
1998-12-28,5.008856
1998-12-29,4.803898
1998-12-30,4.4345360000000005
1998-12-31,4.230675
1999-01-04,4.208754
1999-01-05,3.928171
1999-01-06,4.962822
1999-01-07,5.22587
1999-01-08,5.1272269999999995
1999-01-11,5.111883
1999-01-12,4.217523
1999-01-13,3.7791099999999997
1999-01-14,3.9511870000000004
1999-01-15,3.91721
1999-01-19,4.031198000000001
1999-01-20,3.748422
1999-01-21,3.1872540000000003
1999-01-22,3.4503019999999998
1999-01-25,3.8141830000000003
1999-01-26,3.8733690000000003
1999-01-27,5.3223199999999995
1999-01-28,5.131611
1999-01-29,4.868564
1999-02-01,4.594557
1999-02-02,4.458648999999999
1999-02-03,4.879524
1999-02-04,4.191218
1999-02-05,3.8799449999999998
1999-02-08,4.0509260000000005
1999-02-09,3.7330769999999998
1999-02-10,3.717733
1999-02-11,4.199986
1999-02-12,4.1386080000000005
1999-02-16,4.053118
1999-02-17,4.085999
1999-02-18,4.123264
1999-02-19,4.199986
1999-02-22,4.888293
1999-02-23,4.956246
1999-02-24,5.015432
1999-02-25,5.252174
1999-02-26,5.857183
1999-03-01,5.664282
1999-03-02,6.158591
1999-03-03,6.497264
1999-03-04,6.881971000000001
1999-03-05,7.8519570000000005
1999-03-08,8.996212
1999-03-09,8.746317
1999-03-10,8.157749
1999-03-11,7.891414
1999-03-12,7.470539
1999-03-15,8.249816000000001
1999-03-16,8.302425
1999-03-17,8.193918
1999-03-18,8.456965
1999-03-19,8.404356
1999-03-22,8.161037
1999-03-23,7.700705
