Date,SHW
1980-03-17,0.851563
1980-03-18,0.820313
1980-03-19,0.84375
1980-03-20,0.828125
1980-03-21,0.828125
1980-03-24,0.8085939999999999
1980-03-25,0.796875
1980-03-26,0.78125
1980-03-27,0.734375
1980-03-28,0.765625
1980-03-31,0.84375
1980-04-01,0.851563
1980-04-02,0.847656
1980-04-03,0.871094
1980-04-07,0.855469
1980-04-08,0.855469
1980-04-09,0.855469
1980-04-10,0.863281
1980-04-11,0.859375
1980-04-14,0.847656
1980-04-15,0.84375
1980-04-16,0.8125
1980-04-17,0.789063
1980-04-18,0.8085939999999999
1980-04-21,0.824219
1980-04-22,0.851563
1980-04-23,0.882813
1980-04-24,0.90625
1980-04-25,0.882813
1980-04-28,0.890625
1980-04-29,0.890625
1980-04-30,0.917969
1980-05-01,0.917969
1980-05-02,0.90625
1980-05-05,0.90625
1980-05-06,0.894531
1980-05-07,0.878906
1980-05-08,0.875
1980-05-09,0.851563
1980-05-12,0.855469
1980-05-13,0.855469
1980-05-14,0.851563
1980-05-15,0.859375
1980-05-16,0.871094
1980-05-19,0.859375
1980-05-20,0.859375
1980-05-21,0.863281
1980-05-22,0.867188
1980-05-23,0.871094
1980-05-27,0.871094
1980-05-28,0.875
1980-05-29,0.863281
1980-05-30,0.855469
1980-06-02,0.875
1980-06-03,0.855469
1980-06-04,0.851563
1980-06-05,0.894531
1980-06-06,0.890625
1980-06-09,0.902344
1980-06-10,0.914063
1980-06-11,0.917969
1980-06-12,0.910156
1980-06-13,0.914063
1980-06-16,0.90625
1980-06-17,0.898438
1980-06-18,0.894531
1980-06-19,0.902344
1980-06-20,0.902344
1980-06-23,0.902344
1980-06-24,0.898438
1980-06-25,0.890625
1980-06-26,0.898438
1980-06-27,0.894531
1980-06-30,0.894531
1980-07-01,0.894531
1980-07-02,0.902344
1980-07-03,0.90625
1980-07-07,0.90625
1980-07-08,0.914063
1980-07-09,0.925781
1980-07-10,0.953125
1980-07-11,0.960938
1980-07-14,0.996094
1980-07-15,1.0
1980-07-16,1.03125
1980-07-17,1.03125
1980-07-18,1.035156
1980-07-21,1.0859379999999998
1980-07-22,1.09375
1980-07-23,1.082031
1980-07-24,1.078125
1980-07-25,1.042969
1980-07-28,1.015625
1980-07-29,1.0
1980-07-30,1.015625
1980-07-31,1.011719
1980-08-01,1.046875
1980-08-04,1.0625
1980-08-05,1.078125
1980-08-06,1.078125
1980-08-07,1.09375
1980-08-08,1.082031
1980-08-11,1.097656
1980-08-12,1.089844
1980-08-13,1.082031
1980-08-14,1.09375
1980-08-15,1.121094
1980-08-18,1.125
1980-08-19,1.121094
1980-08-20,1.144531
1980-08-21,1.207031
1980-08-22,1.214844
1980-08-25,1.199219
1980-08-26,1.171875
1980-08-27,1.144531
1980-08-28,1.140625
1980-08-29,1.1015629999999998
1980-09-02,1.1328129999999998
1980-09-03,1.171875
1980-09-04,1.246094
1980-09-05,1.25
1980-09-08,1.2421879999999998
1980-09-09,1.234375
1980-09-10,1.25
1980-09-11,1.25
1980-09-12,1.238281
1980-09-15,1.230469
1980-09-16,1.230469
1980-09-17,1.207031
1980-09-18,1.203125
1980-09-19,1.207031
1980-09-22,1.203125
1980-09-23,1.203125
1980-09-24,1.207031
1980-09-25,1.214844
