Date,PRSP
2018-06-01,24.549999
2018-06-04,23.299999
2018-06-05,22.450001
2018-06-06,22.67
2018-06-07,23.110001
2018-06-08,24.290001
2018-06-11,24.030001000000002
2018-06-12,23.450001
2018-06-13,22.969998999999998
2018-06-14,22.67
2018-06-15,22.559998999999998
2018-06-18,23.049999
2018-06-19,22.629998999999998
2018-06-20,22.379998999999998
2018-06-21,21.629998999999998
2018-06-22,21.73
2018-06-25,21.27
2018-06-26,20.73
2018-06-27,20.01
2018-06-28,20.209999
2018-06-29,20.549999
2018-07-02,21.65
2018-07-03,21.969998999999998
2018-07-05,21.959999
2018-07-06,21.969998999999998
2018-07-09,21.959999
2018-07-10,22.25
2018-07-11,22.559998999999998
2018-07-12,22.809998999999998
2018-07-13,22.870001000000002
2018-07-16,22.77
2018-07-17,23.129998999999998
2018-07-18,23.23
2018-07-19,23.110001
2018-07-20,23.1
2018-07-23,23.01
2018-07-24,22.549999
2018-07-25,22.360001
2018-07-26,22.110001
2018-07-27,21.84
2018-07-30,21.82
2018-07-31,21.700001
2018-08-01,22.09
2018-08-02,22.27
2018-08-03,22.15
2018-08-06,21.99
2018-08-07,21.59
2018-08-08,21.379998999999998
2018-08-09,21.620001000000002
2018-08-10,21.959999
2018-08-13,21.959999
2018-08-14,21.65
2018-08-15,23.700001
2018-08-16,23.18
2018-08-17,23.299999
2018-08-20,23.219998999999998
2018-08-21,23.35
2018-08-22,23.17
2018-08-23,23.48
2018-08-24,23.82
2018-08-27,23.530001000000002
2018-08-28,23.32
2018-08-29,22.969998999999998
2018-08-30,22.959999
2018-08-31,23.26
2018-09-04,24.049999
2018-09-05,23.93
2018-09-06,24.16
2018-09-07,24.01
2018-09-10,25.01
2018-09-11,25.030001000000002
2018-09-12,24.99
2018-09-13,25.209999
2018-09-14,25.6
2018-09-17,25.440001000000002
2018-09-18,25.690001000000002
2018-09-19,25.07
2018-09-20,25.82
2018-09-21,25.68
2018-09-24,25.51
2018-09-25,25.41
2018-09-26,25.26
2018-09-27,25.59
2018-09-28,25.719998999999998
2018-10-01,25.559998999999998
2018-10-02,25.66
2018-10-03,26.139999
2018-10-04,25.629998999999998
2018-10-05,25.440001000000002
2018-10-08,25.76
2018-10-09,25.549999
2018-10-10,25.059998999999998
2018-10-11,24.67
2018-10-12,24.75
2018-10-15,24.700001
2018-10-16,25.799999
2018-10-17,25.74
2018-10-18,25.4
2018-10-19,25.030001000000002
2018-10-22,25.57
2018-10-23,25.02
2018-10-24,23.950001
2018-10-25,24.08
2018-10-26,23.92
2018-10-29,23.629998999999998
2018-10-30,24.299999
2018-10-31,24.49
