Date,HSBC
1999-07-16,62.0625
1999-07-19,62.1875
1999-07-20,60.875
1999-07-21,61.0
1999-07-22,60.875
1999-07-23,57.5625
1999-07-26,58.0
1999-07-27,60.125
1999-07-28,58.875
1999-07-29,57.5
1999-07-30,60.25
1999-08-02,62.625
1999-08-03,63.0
1999-08-04,63.875
1999-08-05,61.6875
1999-08-06,59.125
1999-08-09,58.6875
1999-08-10,57.625
1999-08-11,58.75
1999-08-12,60.4375
1999-08-13,60.625
1999-08-16,60.5625
1999-08-17,60.625
1999-08-18,59.9375
1999-08-19,61.9375
1999-08-20,63.25
1999-08-23,63.875
1999-08-24,63.6875
1999-08-25,61.75
1999-08-26,61.9375
1999-08-27,61.125
1999-08-30,61.9375
1999-08-31,62.25
1999-09-01,61.625
1999-09-02,60.6875
1999-09-03,61.75
1999-09-07,61.75
1999-09-08,61.25
1999-09-09,62.625
1999-09-10,62.75
1999-09-13,61.625
1999-09-14,60.5625
1999-09-15,58.75
1999-09-16,58.5
1999-09-17,60.125
1999-09-20,59.6875
1999-09-21,57.8125
1999-09-22,58.875
1999-09-23,57.5625
1999-09-24,58.0
1999-09-27,59.75
1999-09-28,57.9375
1999-09-29,57.125
1999-09-30,58.0625
1999-10-01,57.8125
1999-10-04,59.1875
1999-10-05,58.0625
1999-10-06,59.125
1999-10-07,58.5
1999-10-08,58.8125
1999-10-11,58.125
1999-10-12,57.125
1999-10-13,55.25
1999-10-14,56.625
1999-10-15,53.9375
1999-10-18,53.8125
1999-10-19,54.9375
1999-10-20,56.5
1999-10-21,54.75
1999-10-22,57.4375
1999-10-25,57.5625
1999-10-26,57.5
1999-10-27,57.9375
1999-10-28,59.125
1999-10-29,61.5625
1999-11-01,60.75
1999-11-02,60.5
1999-11-03,60.875
1999-11-04,61.875
1999-11-05,62.0
1999-11-08,61.5625
1999-11-09,63.3125
1999-11-10,63.1875
1999-11-11,62.4375
1999-11-12,64.1875
1999-11-15,64.0
1999-11-16,67.375
1999-11-17,67.4375
1999-11-18,67.0
1999-11-19,66.0
1999-11-22,66.25
1999-11-23,67.3125
1999-11-24,69.4375
1999-11-26,67.75
1999-11-29,68.6875
1999-11-30,65.1875
1999-12-01,66.25
1999-12-02,66.4375
1999-12-03,67.125
1999-12-06,67.5
1999-12-07,66.25
1999-12-08,67.125
1999-12-09,67.5
1999-12-10,69.625
1999-12-13,69.25
1999-12-14,69.6875
1999-12-15,67.0
1999-12-16,67.25
1999-12-17,68.25
1999-12-20,68.1875
1999-12-21,68.5625
1999-12-22,68.625
1999-12-23,69.4375
1999-12-27,70.625
1999-12-28,70.625
1999-12-29,70.375
1999-12-30,70.5
1999-12-31,71.375
2000-01-03,70.6875
2000-01-04,66.375
2000-01-05,66.0
2000-01-06,64.125
2000-01-07,65.9375
2000-01-10,66.0
2000-01-11,62.625
2000-01-12,63.375
2000-01-13,64.25
2000-01-14,63.875
2000-01-18,63.1875
2000-01-19,61.0625
2000-01-20,57.875
2000-01-21,59.125
2000-01-24,59.5625
2000-01-25,59.0
2000-01-26,60.125
2000-01-27,61.625
2000-01-28,60.0
2000-01-31,61.125
2000-02-01,59.75
2000-02-02,59.0
2000-02-03,59.8125
2000-02-04,57.5
2000-02-07,57.125
2000-02-08,58.9375
2000-02-09,58.5
2000-02-10,58.0
2000-02-11,55.875
2000-02-14,55.875
2000-02-15,57.25
2000-02-16,60.3125
2000-02-17,60.6875
2000-02-18,58.0
2000-02-22,57.375
2000-02-23,58.0
2000-02-24,57.875
2000-02-25,57.75
2000-02-28,58.8125
2000-02-29,59.5
2000-03-01,58.1875
2000-03-02,58.375
2000-03-03,57.0
2000-03-06,55.875
2000-03-07,55.375
2000-03-08,57.375
2000-03-09,57.375
2000-03-10,59.625
2000-03-13,57.375
2000-03-14,56.25
2000-03-15,57.5
2000-03-16,58.625
2000-03-17,56.5
2000-03-20,57.875
2000-03-21,58.6875
2000-03-22,59.3125
2000-03-23,59.6875
2000-03-24,61.25
2000-03-27,61.375
2000-03-28,61.0
2000-03-29,60.6875
2000-03-30,58.9375
2000-03-31,60.9375
2000-04-03,57.625
2000-04-04,56.875
2000-04-05,57.5
2000-04-06,58.0
2000-04-07,57.5
2000-04-10,56.875
2000-04-11,57.8125
2000-04-12,57.5
2000-04-13,57.0
2000-04-14,55.5
2000-04-17,56.375
2000-04-18,57.1875
2000-04-19,57.0625
2000-04-20,57.25
2000-04-24,57.375
2000-04-25,57.9375
2000-04-26,57.375
2000-04-27,56.25
2000-04-28,57.1875
2000-05-01,57.375
2000-05-02,56.625
2000-05-03,56.0
2000-05-04,55.75
2000-05-05,55.5625
2000-05-08,54.875
2000-05-09,55.3125
2000-05-10,54.625
2000-05-11,55.125
2000-05-12,55.8125
2000-05-15,56.25
2000-05-16,56.0
2000-05-17,54.6875
2000-05-18,54.5625
2000-05-19,54.5
2000-05-22,55.4375
2000-05-23,54.5625
2000-05-24,55.25
2000-05-25,54.25
2000-05-26,54.9375
2000-05-30,55.6875
2000-05-31,55.5625
2000-06-01,56.4375
2000-06-02,58.0
2000-06-05,58.6875
2000-06-06,59.25
2000-06-07,59.4375
2000-06-08,58.6875
2000-06-09,58.5
2000-06-12,59.3125
2000-06-13,59.5
2000-06-14,60.0625
2000-06-15,59.9375
2000-06-16,59.6875
2000-06-19,59.4375
