Date,QNTA
2018-04-11,2.0
2018-04-12,3.0
2018-04-13,3.0
2018-04-16,3.0
2018-04-17,3.0
2018-04-18,3.0
2018-04-19,3.0
2018-04-20,3.0
2018-04-23,3.0
2018-04-24,3.0
2018-04-25,3.0
2018-04-26,3.0
2018-04-27,3.0
2018-04-30,3.0
2018-05-01,3.0
2018-05-02,3.0
2018-05-03,3.0
2018-05-04,3.0
2018-05-07,3.0
2018-05-08,3.0
2018-05-09,3.0
2018-05-10,3.0
2018-05-11,3.0
2018-05-14,3.0
2018-05-15,3.0
2018-05-16,3.0
2018-05-17,3.0
2018-05-18,3.0
2018-05-21,1.2499
2018-05-22,1.2499
2018-05-23,0.75
2018-05-24,0.9999
2018-05-25,0.863
2018-05-29,0.863
2018-05-30,0.863
2018-05-31,0.863
2018-06-01,0.863
2018-06-04,0.863
2018-06-05,0.863
2018-06-06,0.863
2018-06-07,0.863
2018-06-08,0.863
2018-06-11,0.863
2018-06-12,0.863
2018-06-13,0.863
2018-06-14,0.863
2018-06-15,0.863
2018-06-18,0.863
2018-06-19,0.863
2018-06-20,0.863
2018-06-21,0.863
2018-06-22,1.1
2018-06-25,1.1
2018-06-26,1.39
2018-06-27,1.39
2018-06-28,1.39
2018-06-29,1.4
2018-07-02,1.4
2018-07-03,1.4
2018-07-05,1.4
2018-07-06,1.4
2018-07-09,1.4
2018-07-10,1.4
2018-07-11,1.4
2018-07-12,1.4
2018-07-13,1.4
2018-07-16,1.4
2018-07-17,1.4
2018-07-18,1.4
2018-07-19,1.4
2018-07-20,1.4
2018-07-23,1.4
2018-07-24,1.4
2018-07-25,1.4
2018-07-26,1.4
2018-07-27,1.4
2018-07-30,1.4
2018-07-31,1.4
2018-08-01,1.4
2018-08-02,1.4
2018-08-03,1.4
2018-08-06,1.4
2018-08-07,1.4
2018-08-08,1.4
2018-08-09,1.4
2018-08-10,1.3
2018-08-13,1.3
2018-08-14,1.3
2018-08-15,1.3
2018-08-16,1.3
2018-08-17,1.3
2018-08-20,1.5
2018-08-21,1.05
2018-08-22,1.5
2018-08-23,1.5
2018-08-24,1.5
2018-08-27,1.5
2018-08-28,1.5
2018-08-29,1.5
2018-08-30,1.5
2018-08-31,1.5
2018-09-04,1.5
2018-09-05,1.5
2018-09-06,1.5
2018-09-07,1.5
2018-09-10,1.5
2018-09-11,1.5
2018-09-12,1.5
2018-09-13,1.5
2018-09-14,1.5
2018-09-17,1.7
2018-09-18,3.0
2018-09-19,3.0
2018-09-20,2.6
2018-09-21,2.6
2018-09-24,2.5
2018-09-25,2.5
2018-09-26,1.7
2018-09-27,1.7
2018-09-28,1.7
2018-10-01,1.7
2018-10-02,1.7
2018-10-03,1.78
2018-10-04,1.78
2018-10-05,1.78
2018-10-08,1.78
2018-10-09,1.78
2018-10-10,1.78
2018-10-11,1.78
2018-10-12,1.78
2018-10-15,1.78
2018-10-16,1.78
2018-10-17,1.78
2018-10-18,1.78
2018-10-19,1.78
2018-10-22,1.78
2018-10-23,1.78
2018-10-24,1.78
2018-10-25,1.78
2018-10-26,1.78
