Date,VOPKF
2012-08-03,65.5
2012-08-06,65.5
2012-08-07,65.5
2012-08-08,61.0
2012-08-09,61.0
2012-08-10,61.0
2012-08-13,61.0
2012-08-14,61.0
2012-08-15,61.0
2012-08-16,61.0
2012-08-17,61.0
2012-08-20,61.0
2012-08-21,61.0
2012-08-22,61.0
2012-08-23,61.0
2012-08-24,61.0
2012-08-27,61.0
2012-08-28,61.0
2012-08-29,62.5
2012-08-30,62.5
2012-08-31,62.5
2012-09-04,62.5
2012-09-05,62.5
2012-09-06,62.5
2012-09-07,62.5
2012-09-10,62.5
2012-09-11,62.5
2012-09-12,62.5
2012-09-13,62.5
2012-09-14,62.5
2012-09-17,62.5
2012-09-18,62.5
2012-09-19,62.5
2012-09-20,62.5
2012-09-21,62.5
2012-09-24,62.5
2012-09-25,62.5
2012-09-26,62.5
2012-09-27,62.5
2012-09-28,62.5
2012-10-01,62.5
2012-10-02,62.5
2012-10-03,62.5
2012-10-04,72.400002
2012-10-05,72.400002
2012-10-08,72.400002
2012-10-09,72.400002
2012-10-10,72.400002
2012-10-11,72.400002
2012-10-12,72.400002
2012-10-15,72.400002
2012-10-16,72.400002
2012-10-17,72.400002
2012-10-18,72.400002
2012-10-19,72.400002
2012-10-22,72.400002
2012-10-23,72.400002
2012-10-24,72.400002
2012-10-25,72.400002
2012-10-26,72.400002
2012-10-31,72.400002
2012-11-01,72.400002
2012-11-02,72.400002
2012-11-05,72.400002
2012-11-06,72.400002
2012-11-07,72.400002
2012-11-08,72.400002
2012-11-09,72.400002
2012-11-12,72.400002
2012-11-13,72.400002
2012-11-14,72.400002
2012-11-15,72.400002
2012-11-16,72.400002
2012-11-19,72.400002
2012-11-20,72.400002
2012-11-21,72.400002
2012-11-23,72.400002
2012-11-26,72.400002
2012-11-27,72.400002
2012-11-28,72.400002
2012-11-29,72.400002
2012-11-30,72.400002
2012-12-03,72.400002
2012-12-04,72.400002
2012-12-05,72.400002
2012-12-06,72.400002
2012-12-07,72.400002
2012-12-10,72.400002
2012-12-11,72.400002
2012-12-12,72.400002
2012-12-13,72.400002
2012-12-14,72.400002
2012-12-17,72.400002
2012-12-18,72.400002
2012-12-19,72.400002
2012-12-20,72.400002
2012-12-21,72.400002
2012-12-24,72.400002
2012-12-26,72.400002
2012-12-27,72.400002
2012-12-28,72.400002
2012-12-31,72.400002
2013-01-02,72.400002
2013-01-03,72.400002
2013-01-04,72.400002
2013-01-07,72.400002
2013-01-08,72.400002
2013-01-09,65.5
2013-01-10,65.5
2013-01-11,65.5
2013-01-14,65.5
2013-01-15,65.5
2013-01-16,65.5
2013-01-17,65.5
2013-01-18,65.5
2013-01-22,65.5
2013-01-23,65.5
2013-01-24,65.5
2013-01-25,65.5
2013-01-28,65.5
2013-01-29,65.5
2013-01-30,65.5
2013-01-31,65.5
2013-02-01,65.5
2013-02-04,65.5
2013-02-05,65.5
2013-02-06,65.5
2013-02-07,65.5
2013-02-08,65.5
2013-02-11,65.5
2013-02-12,65.5
2013-02-13,65.5
2013-02-14,65.5
2013-02-15,65.5
2013-02-19,65.5
2013-02-20,65.5
2013-02-21,65.5
2013-02-22,65.5
2013-02-25,65.5
2013-02-26,65.5
2013-02-27,65.5
2013-02-28,65.5
2013-03-01,65.5
2013-03-04,65.5
2013-03-05,65.5
2013-03-06,64.879997
2013-03-07,64.879997
2013-03-08,64.879997
2013-03-11,64.879997
2013-03-12,63.5
2013-03-13,63.5
2013-03-14,63.5
2013-03-15,63.5
2013-03-18,60.16
2013-03-19,60.16
2013-03-20,60.16
2013-03-21,60.16
