Date,LE
2014-03-20,33.5
2014-03-21,30.5
2014-03-24,30.719998999999998
2014-03-25,30.85
2014-03-26,30.4
2014-03-27,30.219998999999998
2014-03-28,29.209999
2014-03-31,30.01
2014-04-01,30.49
2014-04-02,32.25
2014-04-03,31.799999
2014-04-04,31.67
2014-04-07,29.549999
2014-04-08,27.34
2014-04-09,26.629998999999998
2014-04-10,25.98
2014-04-11,26.01
2014-04-14,26.16
2014-04-15,26.09
2014-04-16,25.860001
2014-04-17,26.1
2014-04-21,27.360001
2014-04-22,27.99
2014-04-23,27.969998999999998
2014-04-24,27.690001000000002
2014-04-25,27.23
2014-04-28,27.5
2014-04-29,28.030001000000002
2014-04-30,27.65
2014-05-01,27.459999
2014-05-02,27.33
2014-05-05,27.219998999999998
2014-05-06,26.49
2014-05-07,26.34
2014-05-08,26.440001000000002
2014-05-09,26.440001000000002
2014-05-12,26.950001
2014-05-13,27.02
2014-05-14,27.309998999999998
2014-05-15,27.200001
2014-05-16,27.299999
2014-05-19,26.870001000000002
2014-05-20,26.73
2014-05-21,27.33
2014-05-22,26.959999
2014-05-23,26.790001
2014-05-27,26.790001
2014-05-28,26.51
2014-05-29,27.139999
2014-05-30,27.76
2014-06-02,27.530001000000002
2014-06-03,27.57
2014-06-04,27.450001
2014-06-05,26.719998999999998
2014-06-06,26.91
2014-06-09,27.969998999999998
2014-06-10,27.200001
2014-06-11,26.629998999999998
2014-06-12,28.809998999999998
2014-06-13,30.5
2014-06-16,31.9
2014-06-17,32.759997999999996
2014-06-18,32.93
2014-06-19,34.869999
2014-06-20,34.619999
2014-06-23,33.310001
2014-06-24,32.709998999999996
2014-06-25,33.330002
2014-06-26,34.060001
2014-06-27,34.07
2014-06-30,33.580002
2014-07-01,34.169998
2014-07-02,33.970001
2014-07-03,34.330002
2014-07-07,34.25
2014-07-08,34.029999
2014-07-09,34.0
2014-07-10,34.02
2014-07-11,34.509997999999996
2014-07-14,35.209998999999996
2014-07-15,35.259997999999996
2014-07-16,36.619999
2014-07-17,37.32
2014-07-18,37.66
2014-07-21,37.369999
2014-07-22,37.07
2014-07-23,36.48
2014-07-24,35.599998
2014-07-25,34.779999
2014-07-28,35.439999
2014-07-29,35.369999
2014-07-30,36.130001
2014-07-31,35.189999
2014-08-01,34.240002000000004
2014-08-04,34.470001
2014-08-05,33.459998999999996
2014-08-06,34.25
2014-08-07,33.66
2014-08-08,34.43
2014-08-11,35.639998999999996
