Date,VMC
1973-02-21,1.125
1973-02-22,1.104167
1973-02-23,1.09375
1973-02-26,1.09375
1973-02-27,1.09375
1973-02-28,1.083333
1973-03-01,1.083333
1973-03-02,1.083333
1973-03-05,1.09375
1973-03-06,1.09375
1973-03-07,1.09375
1973-03-08,1.09375
1973-03-09,1.104167
1973-03-12,1.104167
1973-03-13,1.09375
1973-03-14,1.114583
1973-03-15,1.125
1973-03-16,1.140625
1973-03-19,1.125
1973-03-20,1.104167
1973-03-21,1.09375
1973-03-22,1.072917
1973-03-23,1.0625
1973-03-26,1.0625
1973-03-27,1.067708
1973-03-28,1.104167
1973-03-29,1.109375
1973-03-30,1.109375
1973-04-02,1.104167
1973-04-03,1.135417
1973-04-04,1.166667
1973-04-05,1.15625
1973-04-06,1.15625
1973-04-09,1.15625
1973-04-10,1.109375
1973-04-11,1.109375
1973-04-12,1.098958
1973-04-13,1.098958
1973-04-16,1.119792
1973-04-17,1.09375
1973-04-18,1.09375
1973-04-19,1.125
1973-04-23,1.119792
1973-04-24,1.125
1973-04-25,1.104167
1973-04-26,1.098958
1973-04-27,1.09375
1973-04-30,1.083333
1973-05-01,1.088542
1973-05-02,1.083333
1973-05-03,1.09375
1973-05-04,1.09375
1973-05-07,1.09375
1973-05-08,1.09375
1973-05-09,1.09375
1973-05-10,1.09375
1973-05-11,1.083333
1973-05-14,1.072917
1973-05-15,1.072917
1973-05-16,1.072917
1973-05-17,1.125
1973-05-18,1.072917
1973-05-21,1.041667
1973-05-22,1.041667
1973-05-23,1.052083
1973-05-24,1.052083
1973-05-25,1.0625
1973-05-29,1.083333
1973-05-30,1.072917
1973-05-31,1.052083
1973-06-01,1.041667
1973-06-04,1.010417
1973-06-05,1.010417
1973-06-06,1.03125
1973-06-07,1.020833
1973-06-08,1.020833
1973-06-11,1.03125
1973-06-12,1.010417
1973-06-13,1.041667
1973-06-14,1.03125
1973-06-15,1.010417
1973-06-18,1.020833
1973-06-19,1.0625
1973-06-20,1.041667
1973-06-21,1.0
1973-06-22,1.03125
1973-06-25,1.041667
1973-06-26,1.03125
1973-06-27,1.041667
1973-06-28,1.041667
1973-06-29,1.041667
1973-07-02,1.020833
1973-07-03,0.989583
1973-07-05,0.958333
1973-07-06,0.989583
1973-07-09,1.0
1973-07-10,1.03125
1973-07-11,1.03125
1973-07-12,1.052083
1973-07-13,1.083333
1973-07-16,1.114583
1973-07-17,1.125
1973-07-18,1.114583
1973-07-19,1.15625
1973-07-20,1.166667
1973-07-23,1.114583
1973-07-24,1.083333
1973-07-25,1.072917
1973-07-26,1.083333
1973-07-27,1.09375
1973-07-30,1.114583
1973-07-31,1.104167
1973-08-01,1.09375
1973-08-02,1.072917
1973-08-03,1.072917
1973-08-06,1.052083
1973-08-07,1.0625
1973-08-08,1.0625
1973-08-09,1.083333
1973-08-10,1.0625
1973-08-13,1.072917
1973-08-14,1.052083
1973-08-15,1.0625
1973-08-16,1.041667
1973-08-17,1.041667
1973-08-20,1.052083
1973-08-21,1.03125
1973-08-22,1.010417
1973-08-23,1.020833
1973-08-24,1.020833
1973-08-27,1.020833
1973-08-28,1.03125
1973-08-29,1.010417
1973-08-30,1.03125
1973-08-31,1.03125
1973-09-04,1.041667
1973-09-05,1.041667
1973-09-06,1.052083
1973-09-07,1.041667
1973-09-10,1.0625
1973-09-11,1.041667
1973-09-12,1.03125
1973-09-13,1.03125
1973-09-14,1.03125
1973-09-17,1.020833
1973-09-18,1.052083
1973-09-19,1.0625
1973-09-20,1.041667
1973-09-21,1.041667
1973-09-24,1.072917
1973-09-25,1.083333
1973-09-26,1.09375
1973-09-27,1.104167
1973-09-28,1.135417
1973-10-01,1.166667
1973-10-02,1.114583
1973-10-03,1.135417
1973-10-04,1.135417
1973-10-05,1.135417
1973-10-08,1.145833
1973-10-09,1.15625
1973-10-10,1.125
1973-10-11,1.145833
1973-10-12,1.166667
1973-10-15,1.145833
1973-10-16,1.15625
1973-10-17,1.166667
1973-10-18,1.177083
1973-10-19,1.197917
1973-10-22,1.177083
1973-10-23,1.15625
1973-10-24,1.15625
1973-10-25,1.15625
1973-10-26,1.197917
1973-10-29,1.21875
1973-10-30,1.25
1973-10-31,1.229167
1973-11-01,1.21875
1973-11-02,1.197917
1973-11-05,1.197917
1973-11-06,1.135417
1973-11-07,1.135417
1973-11-08,1.166667
1973-11-09,1.135417
1973-11-12,1.104167
1973-11-13,1.083333
1973-11-14,1.083333
1973-11-15,1.104167
1973-11-16,1.104167
1973-11-19,1.010417
1973-11-20,0.989583
1973-11-21,0.989583
1973-11-23,1.010417
1973-11-26,0.979167
1973-11-27,0.958333
1973-11-28,0.958333
1973-11-29,0.947917
1973-11-30,0.947917
1973-12-03,0.90625
1973-12-04,0.90625
1973-12-05,0.854167
1973-12-06,0.885417
1973-12-07,0.90625
1973-12-10,0.947917
1973-12-11,0.989583
1973-12-12,1.020833
1973-12-13,1.010417
1973-12-14,0.989583
1973-12-17,1.020833
1973-12-18,1.010417
1973-12-19,1.041667
1973-12-20,1.0625
1973-12-21,1.0625
1973-12-24,1.0625
1973-12-26,1.072917
1973-12-27,1.104167
1973-12-28,1.104167
1973-12-31,1.09375
1974-01-02,1.083333
1974-01-03,1.083333
1974-01-04,1.104167
1974-01-07,1.114583
1974-01-08,1.083333
1974-01-09,1.052083
1974-01-10,1.052083
1974-01-11,1.052083
1974-01-14,1.0625
1974-01-15,1.052083
1974-01-16,1.052083
1974-01-17,1.052083
1974-01-18,1.052083
1974-01-21,1.083333
1974-01-22,1.145833
1974-01-23,1.1875
1974-01-24,1.166667
1974-01-25,1.166667
1974-01-28,1.166667
1974-01-29,1.197917
1974-01-30,1.1875
1974-01-31,1.1875
1974-02-01,1.177083
1974-02-04,1.135417
1974-02-05,1.145833
1974-02-06,1.125
1974-02-07,1.125
1974-02-08,1.145833
1974-02-11,1.135417
1974-02-12,1.135417
1974-02-13,1.125
1974-02-14,1.125
1974-02-15,1.145833
1974-02-19,1.145833
1974-02-20,1.135417
1974-02-21,1.135417
1974-02-22,1.15625
1974-02-25,1.1875
1974-02-26,1.197917
1974-02-27,1.208333
1974-02-28,1.197917
1974-03-01,1.197917
1974-03-04,1.208333
1974-03-05,1.1875
1974-03-06,1.166667
1974-03-07,1.15625
1974-03-08,1.135417
1974-03-11,1.15625
1974-03-12,1.177083
1974-03-13,1.177083
1974-03-14,1.135417
1974-03-15,1.145833
1974-03-18,1.145833
1974-03-19,1.166667
1974-03-20,1.177083
1974-03-21,1.1875
1974-03-22,1.177083
1974-03-25,1.208333
1974-03-26,1.21875
1974-03-27,1.229167
1974-03-28,1.197917
1974-03-29,1.1875
1974-04-01,1.1875
1974-04-02,1.177083
1974-04-03,1.1875
1974-04-04,1.1875
1974-04-05,1.145833
1974-04-08,1.145833
1974-04-09,1.177083
1974-04-10,1.166667
1974-04-11,1.166667
1974-04-15,1.15625
1974-04-16,1.25
1974-04-17,1.28125
1974-04-18,1.302083
1974-04-19,1.25
1974-04-22,1.28125
1974-04-23,1.229167
1974-04-24,1.229167
1974-04-25,1.239583
1974-04-26,1.239583
1974-04-29,1.25
1974-04-30,1.291667
1974-05-01,1.3125
1974-05-02,1.291667
1974-05-03,1.291667
1974-05-06,1.260417
1974-05-07,1.260417
1974-05-08,1.239583
1974-05-09,1.270833
1974-05-10,1.270833
1974-05-13,1.260417
1974-05-14,1.25
1974-05-15,1.239583
1974-05-16,1.239583
1974-05-17,1.21875
1974-05-20,1.197917
1974-05-21,1.1875
1974-05-22,1.177083
1974-05-23,1.09375
1974-05-24,1.125
1974-05-28,1.125
1974-05-29,1.104167
1974-05-30,1.114583
1974-05-31,1.114583
1974-06-03,1.145833
1974-06-04,1.197917
1974-06-05,1.197917
1974-06-06,1.208333
1974-06-07,1.229167
1974-06-10,1.229167
1974-06-11,1.229167
1974-06-12,1.229167
1974-06-13,1.260417
1974-06-14,1.260417
1974-06-17,1.260417
1974-06-18,1.260417
1974-06-19,1.25
1974-06-20,1.229167
1974-06-21,1.1875
1974-06-24,1.21875
1974-06-25,1.229167
1974-06-26,1.239583
1974-06-27,1.25
1974-06-28,1.239583
1974-07-01,1.239583
1974-07-02,1.177083
1974-07-03,1.166667
1974-07-05,1.15625
1974-07-08,1.09375
1974-07-09,1.083333
1974-07-10,1.052083
1974-07-11,1.020833
1974-07-12,1.010417
1974-07-15,1.0625
1974-07-16,1.0625
1974-07-17,1.083333
