Date,SCHW
1987-09-22,0.36214
1987-09-23,0.36214
1987-09-24,0.37037
1987-09-25,0.373114
1987-09-28,0.364883
1987-09-29,0.356653
1987-09-30,0.34842199999999995
1987-10-01,0.359396
1987-10-02,0.359396
1987-10-05,0.351166
1987-10-06,0.351166
1987-10-07,0.345679
1987-10-08,0.340192
1987-10-09,0.331962
1987-10-12,0.318244
1987-10-13,0.31550100000000003
1987-10-14,0.29904000000000003
1987-10-15,0.29904000000000003
1987-10-16,0.28257899999999997
1987-10-19,0.268861
1987-10-20,0.260631
1987-10-21,0.246914
1987-10-22,0.21399200000000002
1987-10-23,0.19753099999999998
1987-10-26,0.17284000000000002
1987-10-27,0.175583
1987-10-28,0.164609
1987-10-29,0.14266099999999998
1987-10-30,0.17284000000000002
1987-11-02,0.19753099999999998
1987-11-03,0.186557
1987-11-04,0.18107
1987-11-05,0.170096
1987-11-06,0.170096
1987-11-09,0.164609
1987-11-10,0.159122
1987-11-11,0.161866
1987-11-12,0.167353
1987-11-13,0.167353
1987-11-16,0.170096
1987-11-17,0.159122
1987-11-18,0.164609
1987-11-19,0.153635
1987-11-20,0.159122
1987-11-23,0.159122
1987-11-24,0.159122
1987-11-25,0.156379
1987-11-27,0.153635
1987-11-30,0.145405
1987-12-01,0.145405
1987-12-02,0.14266099999999998
1987-12-03,0.13991800000000001
1987-12-04,0.131687
1987-12-07,0.134431
1987-12-08,0.131687
1987-12-09,0.134431
1987-12-10,0.134431
1987-12-11,0.131687
1987-12-14,0.128944
1987-12-15,0.128944
1987-12-16,0.128944
1987-12-17,0.131687
1987-12-18,0.137174
1987-12-21,0.145405
1987-12-22,0.137174
1987-12-23,0.14266099999999998
1987-12-24,0.13991800000000001
1987-12-28,0.13991800000000001
1987-12-29,0.137174
1987-12-30,0.128944
1987-12-31,0.131687
1988-01-04,0.137174
1988-01-05,0.13991800000000001
1988-01-06,0.145405
1988-01-07,0.148148
1988-01-08,0.13991800000000001
1988-01-11,0.13991800000000001
1988-01-12,0.137174
1988-01-13,0.137174
1988-01-14,0.131687
1988-01-15,0.131687
1988-01-18,0.131687
1988-01-19,0.131687
1988-01-20,0.131687
1988-01-21,0.134431
1988-01-22,0.13991800000000001
1988-01-25,0.137174
1988-01-26,0.13991800000000001
1988-01-27,0.13991800000000001
1988-01-28,0.14266099999999998
1988-01-29,0.14266099999999998
1988-02-01,0.148148
1988-02-02,0.150892
1988-02-03,0.150892
1988-02-04,0.150892
1988-02-05,0.148148
1988-02-08,0.150892
1988-02-09,0.150892
1988-02-10,0.153635
1988-02-11,0.153635
1988-02-12,0.150892
1988-02-16,0.153635
1988-02-17,0.153635
1988-02-18,0.153635
1988-02-19,0.153635
1988-02-22,0.159122
1988-02-23,0.164609
1988-02-24,0.167353
1988-02-25,0.175583
1988-02-26,0.186557
