Date,VC
2010-10-05,57.950001
2010-10-06,57.0
2010-10-07,57.869999
2010-10-08,58.299999
2010-10-11,58.049999
2010-10-12,60.25
2010-10-13,61.950001
2010-10-14,63.0
2010-10-15,63.0
2010-10-18,63.0
2010-10-19,62.490002000000004
2010-10-20,62.5
2010-10-21,60.0
2010-10-22,60.75
2010-10-25,62.400002
2010-10-26,65.0
2010-10-27,64.0
2010-10-28,64.0
2010-10-29,62.900002
2010-11-01,63.189999
2010-11-02,62.950001
2010-11-03,63.0
2010-11-04,65.0
2010-11-05,64.980003
2010-11-08,65.25
2010-11-09,64.5
2010-11-10,65.75
2010-11-11,66.349998
2010-11-12,65.599998
2010-11-15,65.25
2010-11-16,64.449997
2010-11-17,64.199997
2010-11-18,65.0
2010-11-19,64.779999
2010-11-22,64.599998
2010-11-23,63.25
2010-11-24,63.099998
2010-11-26,63.25
2010-11-29,61.5
2010-11-30,60.549999
2010-12-01,61.599998
2010-12-02,63.099998
2010-12-03,63.799999
2010-12-06,64.25
2010-12-07,65.25
2010-12-08,64.75
2010-12-09,64.879997
2010-12-10,64.900002
2010-12-13,64.949997
2010-12-14,65.839996
2010-12-15,64.800003
2010-12-16,64.949997
2010-12-17,67.0
2010-12-20,68.5
2010-12-21,70.75
2010-12-22,71.629997
2010-12-23,73.75
2010-12-27,73.75
2010-12-28,73.5
2010-12-29,74.150002
2010-12-30,74.150002
2010-12-31,74.25
2011-01-03,71.800003
2011-01-04,71.300003
2011-01-05,71.349998
2011-01-06,72.150002
2011-01-07,75.5
2011-01-10,75.5
2011-01-11,75.5
2011-01-12,74.760002
2011-01-13,73.83000200000001
2011-01-14,72.5
2011-01-18,72.199997
2011-01-19,69.849998
2011-01-20,71.16999799999999
2011-01-21,73.349998
2011-01-24,72.5
2011-01-25,72.029999
2011-01-26,71.900002
2011-01-27,72.540001
2011-01-28,69.68
2011-01-31,70.239998
2011-02-01,70.0
2011-02-02,68.699997
2011-02-03,69.949997
2011-02-04,71.0
2011-02-07,71.839996
2011-02-08,72.18
2011-02-09,71.800003
2011-02-10,70.800003
2011-02-11,70.870003
2011-02-14,71.099998
2011-02-15,71.599998
2011-02-16,71.849998
2011-02-17,73.379997
2011-02-18,74.730003
2011-02-22,73.760002
2011-02-23,72.599998
2011-02-24,71.970001
2011-02-25,73.25
2011-02-28,73.949997
2011-03-01,73.66999799999999
2011-03-02,74.010002
2011-03-03,75.089996
2011-03-04,74.989998
2011-03-07,74.290001
2011-03-08,73.699997
2011-03-09,66.889999
2011-03-10,61.540001000000004
2011-03-11,65.160004
2011-03-14,63.540001000000004
2011-03-15,63.16
2011-03-16,62.900002
2011-03-17,62.93
2011-03-18,63.959998999999996
2011-03-21,64.220001
2011-03-22,63.349998
2011-03-23,62.380001
2011-03-24,62.009997999999996
2011-03-25,62.549999
2011-03-28,62.07
2011-03-29,62.57
2011-03-30,62.290001000000004
2011-03-31,62.490002000000004
2011-04-01,62.529999
2011-04-04,64.0
2011-04-05,65.220001
2011-04-06,65.410004
2011-04-07,64.370003
2011-04-08,64.089996
2011-04-11,62.869999
2011-04-12,62.400002
2011-04-13,61.91
2011-04-14,62.110001000000004
2011-04-15,62.639998999999996
2011-04-18,64.5
2011-04-19,66.610001
2011-04-20,66.540001
2011-04-21,67.230003
2011-04-25,66.089996
2011-04-26,67.050003
2011-04-27,66.959999
2011-04-28,66.849998
2011-04-29,67.43
2011-05-02,68.739998
2011-05-03,68.190002
2011-05-04,66.57
2011-05-05,67.010002
2011-05-06,66.900002
2011-05-09,67.07
2011-05-10,67.089996
2011-05-11,66.129997
2011-05-12,64.970001
2011-05-13,63.419998
2011-05-16,61.0
2011-05-17,59.43
2011-05-18,60.450001
2011-05-19,62.43
2011-05-20,61.900002
2011-05-23,61.77
2011-05-24,60.43
2011-05-25,60.970001
2011-05-26,61.490002000000004
2011-05-27,61.599998
2011-05-31,61.290001000000004
2011-06-01,60.09
2011-06-02,59.490002000000004
2011-06-03,60.27
2011-06-06,60.290001000000004
2011-06-07,61.040001000000004
2011-06-08,60.470001
2011-06-09,60.599998
2011-06-10,59.23
2011-06-13,59.700001
2011-06-14,60.77
2011-06-15,62.060001
2011-06-16,64.68
2011-06-17,64.900002
2011-06-20,66.0
2011-06-21,67.0
2011-06-22,66.099998
2011-06-23,65.290001
2011-06-24,65.269997
2011-06-27,63.419998
2011-06-28,64.970001
2011-06-29,66.08000200000001
2011-06-30,68.410004
2011-07-01,69.160004
2011-07-05,69.650002
2011-07-06,69.57
2011-07-07,69.41999799999999
2011-07-08,69.089996
2011-07-11,67.690002
2011-07-12,65.900002
2011-07-13,67.5
2011-07-14,67.309998
2011-07-15,68.010002
2011-07-18,66.800003
2011-07-19,66.389999
2011-07-20,66.360001
2011-07-21,67.720001
2011-07-22,68.07
2011-07-25,68.230003
2011-07-26,67.82
2011-07-27,65.010002
2011-07-28,64.260002
2011-07-29,62.700001
2011-08-01,62.119999
2011-08-02,59.59
2011-08-03,58.439999
2011-08-04,54.0
2011-08-05,53.439999
2011-08-08,48.380001
2011-08-09,50.98
2011-08-10,48.299999
2011-08-11,49.889998999999996
2011-08-12,51.09
2011-08-15,52.27
2011-08-16,51.389998999999996
2011-08-17,50.66
2011-08-18,46.509997999999996
2011-08-19,44.48
2011-08-22,44.439999
2011-08-23,45.27
2011-08-24,46.23
2011-08-25,46.389998999999996
2011-08-26,47.880001
2011-08-29,50.439999
2011-08-30,51.040001000000004
2011-08-31,51.080002
2011-09-01,50.16
2011-09-02,48.279999
2011-09-06,47.82
2011-09-07,50.419998
2011-09-08,49.040001000000004
2011-09-09,46.32
2011-09-12,44.709998999999996
2011-09-13,45.970001
2011-09-14,46.41
2011-09-15,47.5
2011-09-16,47.580002
2011-09-19,47.709998999999996
2011-09-20,48.32
2011-09-21,44.810001
2011-09-22,42.290001000000004
2011-09-23,43.57
2011-09-26,43.75
2011-09-27,45.459998999999996
2011-09-28,43.380001
2011-09-29,44.099998
2011-09-30,43.0
2011-10-03,40.68
2011-10-04,41.689999
2011-10-05,44.549999
2011-10-06,45.970001
2011-10-07,44.720001
2011-10-10,47.560001
2011-10-11,48.470001
2011-10-12,48.209998999999996
2011-10-13,49.0
2011-10-14,49.389998999999996
2011-10-17,48.950001
2011-10-18,48.810001
2011-10-19,48.150002
2011-10-20,47.5
2011-10-21,48.900002
2011-10-24,50.75
2011-10-25,49.25
2011-10-26,48.82
2011-10-27,51.16
2011-10-28,57.18
2011-10-31,55.619999
2011-11-01,52.66
2011-11-02,55.380001
2011-11-03,57.619999
2011-11-04,58.02
2011-11-07,58.16
2011-11-08,57.599998
2011-11-09,56.189999
2011-11-10,57.040001000000004
2011-11-11,57.07
2011-11-14,57.740002000000004
2011-11-15,56.470001
2011-11-16,57.43
2011-11-17,55.349998
2011-11-18,54.360001000000004
2011-11-21,52.02
2011-11-22,52.0
2011-11-23,51.700001
2011-11-25,50.68
2011-11-28,52.360001000000004
2011-11-29,52.470001
2011-11-30,55.950001
2011-12-01,56.34
2011-12-02,56.18
2011-12-05,56.970001
2011-12-06,56.299999
2011-12-07,56.48
2011-12-08,54.75
2011-12-09,56.049999
2011-12-12,54.150002
2011-12-13,51.380001
2011-12-14,49.27
2011-12-15,49.59
2011-12-16,49.889998999999996
2011-12-19,46.66
2011-12-20,47.470001
2011-12-21,47.75
2011-12-22,48.75
2011-12-23,49.310001
2011-12-27,49.540001000000004
2011-12-28,48.360001000000004
2011-12-29,49.169998
2011-12-30,49.939999
2012-01-03,51.009997999999996
2012-01-04,51.509997999999996
2012-01-05,51.540001000000004
2012-01-06,52.509997999999996
2012-01-09,52.060001
2012-01-10,53.619999
2012-01-11,49.889998999999996
2012-01-12,49.75
2012-01-13,49.049999
2012-01-17,49.700001
2012-01-18,49.450001
2012-01-19,49.709998999999996
2012-01-20,49.060001
2012-01-23,48.439999
2012-01-24,48.509997999999996
2012-01-25,48.849998
2012-01-26,48.150002
2012-01-27,48.34
2012-01-30,48.240002000000004
2012-01-31,48.0
2012-02-01,49.0
2012-02-02,50.080002
2012-02-03,52.25
2012-02-06,52.610001000000004
2012-02-07,52.099998
2012-02-08,51.599998
2012-02-09,52.009997999999996
2012-02-10,51.439999
2012-02-13,51.27
2012-02-14,51.669998
2012-02-15,52.25
2012-02-16,54.189999
2012-02-17,55.43
2012-02-21,54.0
2012-02-22,53.299999
2012-02-23,54.299999
2012-02-24,53.560001
2012-02-27,53.560001
2012-02-28,53.75
2012-02-29,53.720001
2012-03-01,55.52
2012-03-02,55.93
2012-03-05,54.490002000000004
2012-03-06,51.599998
2012-03-07,51.740002000000004
2012-03-08,51.73
2012-03-09,53.110001000000004
2012-03-12,52.889998999999996
2012-03-13,53.549999
2012-03-14,53.5
2012-03-15,54.279999
2012-03-16,53.75
2012-03-19,53.990002000000004
2012-03-20,53.950001
2012-03-21,54.0
2012-03-22,53.82
2012-03-23,54.209998999999996
2012-03-26,54.599998
2012-03-27,53.75
2012-03-28,52.860001000000004
2012-03-29,52.580002
2012-03-30,53.0
2012-04-02,53.459998999999996
2012-04-03,52.529999
2012-04-04,51.549999
2012-04-05,50.599998
2012-04-09,49.16
2012-04-10,47.669998
2012-04-11,47.560001
2012-04-12,48.169998
2012-04-13,46.169998
2012-04-16,46.099998
2012-04-17,46.919998
2012-04-18,46.860001000000004
2012-04-19,46.889998999999996
2012-04-20,47.119999
2012-04-23,46.540001000000004
2012-04-24,46.599998
2012-04-25,48.959998999999996
2012-04-26,50.5
2012-04-27,51.540001000000004
2012-04-30,50.169998
2012-05-01,50.220001
2012-05-02,48.830002
2012-05-03,47.610001000000004
2012-05-04,46.560001
2012-05-07,46.490002000000004
2012-05-08,45.57
2012-05-09,45.119999
2012-05-10,45.32
2012-05-11,44.720001
2012-05-14,43.650002
2012-05-15,42.790001000000004
2012-05-16,41.740002000000004
2012-05-17,40.82
2012-05-18,40.389998999999996
2012-05-21,41.84
2012-05-22,41.880001
2012-05-23,41.299999
2012-05-24,41.5
2012-05-25,41.77
2012-05-29,42.34
2012-05-30,41.099998
2012-05-31,40.0
2012-06-01,39.630001
2012-06-04,37.77
2012-06-05,38.220001
2012-06-06,39.25
2012-06-07,39.560001
2012-06-08,40.689999
2012-06-11,38.98
2012-06-12,39.580002
2012-06-13,38.75
2012-06-14,38.560001
2012-06-15,38.98
2012-06-18,38.439999
2012-06-19,39.349998
2012-06-20,39.959998999999996
2012-06-21,38.049999
2012-06-22,38.639998999999996
2012-06-25,36.279999
2012-06-26,36.049999
2012-06-27,36.599998
2012-06-28,36.450001
2012-06-29,37.5
2012-07-02,36.419998
2012-07-03,37.18
2012-07-05,37.66
2012-07-06,36.41
2012-07-09,35.240002000000004
2012-07-10,33.849998
2012-07-11,32.939999
2012-07-12,32.080002
2012-07-13,32.400002
2012-07-16,31.74
2012-07-17,31.799999
2012-07-18,32.48
2012-07-19,31.959999
2012-07-20,31.35
2012-07-23,30.530001000000002
2012-07-24,29.120001000000002
2012-07-25,30.030001000000002
2012-07-26,31.1
2012-07-27,33.009997999999996
2012-07-30,32.740002000000004
2012-07-31,32.43
2012-08-01,32.689999
2012-08-02,28.610001
2012-08-03,28.42
2012-08-06,30.0
2012-08-07,35.189999
2012-08-08,39.549999
2012-08-09,37.84
2012-08-10,38.799999
2012-08-13,42.009997999999996
2012-08-14,40.630001
2012-08-15,40.389998999999996
2012-08-16,40.27
2012-08-17,40.66
2012-08-20,39.860001000000004
2012-08-21,38.880001
2012-08-22,39.869999
2012-08-23,41.830002
2012-08-24,41.389998999999996
2012-08-27,41.41
2012-08-28,42.150002
2012-08-29,42.450001
2012-08-30,46.16
2012-08-31,46.02
2012-09-04,46.09
2012-09-05,45.580002
2012-09-06,47.099998
2012-09-07,47.759997999999996
2012-09-10,47.549999
2012-09-11,47.220001
2012-09-12,47.400002
2012-09-13,47.029999
2012-09-14,47.619999
2012-09-17,46.41
2012-09-18,45.779999
2012-09-19,46.98
2012-09-20,45.900002
2012-09-21,45.990002000000004
2012-09-24,45.5
2012-09-25,43.790001000000004
2012-09-26,43.48
2012-09-27,44.029999
2012-09-28,44.459998999999996
2012-10-01,45.0
2012-10-02,45.380001
2012-10-03,45.490002000000004
2012-10-04,45.799999
2012-10-05,45.93
2012-10-08,45.34
2012-10-09,45.299999
2012-10-10,44.16
2012-10-11,44.860001000000004
2012-10-12,44.900002
2012-10-15,44.959998999999996
2012-10-16,45.189999
2012-10-17,45.470001
2012-10-18,45.43
2012-10-19,44.889998999999996
2012-10-22,44.580002
2012-10-23,43.130001
2012-10-24,43.299999
2012-10-25,43.169998
2012-10-26,43.099998
2012-10-31,44.099998
2012-11-01,48.150002
2012-11-02,48.880001
2012-11-05,49.82
2012-11-06,50.439999
2012-11-07,49.189999
2012-11-08,49.0
2012-11-09,49.0
2012-11-12,49.669998
2012-11-13,49.380001
2012-11-14,49.09
2012-11-15,48.560001
2012-11-16,48.43
2012-11-19,49.599998
2012-11-20,49.209998999999996
2012-11-21,49.150002
2012-11-23,50.25
2012-11-26,50.84
2012-11-27,49.959998999999996
2012-11-28,49.91
2012-11-29,49.98
2012-11-30,50.099998
2012-12-03,50.369999
2012-12-04,50.5
2012-12-05,50.34
2012-12-06,50.240002000000004
2012-12-07,50.450001
2012-12-10,50.82
2012-12-11,50.700001
2012-12-12,51.150002
2012-12-13,50.299999
2012-12-14,50.700001
2012-12-17,50.549999
2012-12-18,50.669998
2012-12-19,50.610001000000004
2012-12-20,51.200001
2012-12-21,51.360001000000004
2012-12-24,52.200001
2012-12-26,52.419998
2012-12-27,51.759997999999996
2012-12-28,52.310001
2012-12-31,53.82
2013-01-02,53.900002
2013-01-03,53.369999
