Date,CMPR
2005-09-30,15.25
2005-10-03,14.75
2005-10-04,14.0
2005-10-05,14.21
2005-10-06,14.3
2005-10-07,14.11
2005-10-10,14.1
2005-10-11,14.15
2005-10-12,14.11
2005-10-13,14.79
2005-10-14,14.59
2005-10-17,14.75
2005-10-18,14.9
2005-10-19,15.5
2005-10-20,15.45
2005-10-21,15.31
2005-10-24,15.44
2005-10-25,15.6
2005-10-26,16.799999
2005-10-27,17.450001
2005-10-28,17.450001
2005-10-31,16.93
2005-11-01,17.290001
2005-11-02,18.0
2005-11-03,17.709999
2005-11-04,17.83
2005-11-07,18.16
2005-11-08,18.200001
2005-11-09,18.4
2005-11-10,18.4
2005-11-11,18.4
2005-11-14,18.83
2005-11-15,19.09
2005-11-16,19.25
2005-11-17,18.959999
2005-11-18,18.73
2005-11-21,18.700001
2005-11-22,18.41
2005-11-23,18.51
2005-11-25,18.23
2005-11-28,18.02
2005-11-29,18.42
2005-11-30,18.16
2005-12-01,17.940001000000002
2005-12-02,19.0
2005-12-05,19.0
2005-12-06,19.799999
2005-12-07,20.0
2005-12-08,20.299999
2005-12-09,20.48
2005-12-12,20.950001
2005-12-13,20.940001000000002
2005-12-14,21.17
2005-12-15,21.950001
2005-12-16,22.26
2005-12-19,22.35
2005-12-20,22.299999
2005-12-21,22.370001000000002
2005-12-22,22.33
2005-12-23,22.35
2005-12-27,21.91
2005-12-28,21.860001
2005-12-29,22.219998999999998
2005-12-30,22.75
2006-01-03,23.09
2006-01-04,23.17
2006-01-05,23.110001
2006-01-06,23.780001000000002
2006-01-09,23.360001
2006-01-10,23.84
2006-01-11,25.620001000000002
2006-01-12,24.709999
2006-01-13,25.299999
2006-01-17,26.780001000000002
2006-01-18,26.9
2006-01-19,27.809998999999998
2006-01-20,28.200001
2006-01-23,28.049999
2006-01-24,27.200001
2006-01-25,30.02
2006-01-26,30.01
2006-01-27,30.299999
2006-01-30,30.040001
2006-01-31,30.23
2006-02-01,29.9
2006-02-02,30.389999
2006-02-03,30.98
2006-02-06,31.709999
2006-02-07,31.84
2006-02-08,32.509997999999996
2006-02-09,33.419998
2006-02-10,32.68
2006-02-13,32.919998
2006-02-14,32.82
2006-02-15,31.549999
2006-02-16,31.98
2006-02-17,32.360001000000004
2006-02-21,33.259997999999996
2006-02-22,33.450001
2006-02-23,33.5
2006-02-24,34.639998999999996
