Date,AMP
2006-08-15,44.900002
2006-08-16,45.419998
2006-08-17,45.119999
2006-08-18,45.07
2006-08-21,45.650002
2006-08-22,45.790001000000004
2006-08-23,45.630001
2006-08-24,45.360001000000004
2006-08-25,44.950001
2006-08-28,45.48
2006-08-29,45.150002
2006-08-30,45.240002000000004
2006-08-31,45.73
2006-09-01,45.400002
2006-09-05,46.169998
2006-09-06,44.599998
2006-09-07,44.360001000000004
2006-09-08,44.48
2006-09-11,44.0
2006-09-12,45.25
2006-09-13,45.529999
2006-09-14,45.900002
2006-09-15,46.799999
2006-09-18,46.970001
2006-09-19,47.09
2006-09-20,46.759997999999996
2006-09-21,46.630001
2006-09-22,46.209998999999996
2006-09-25,46.41
2006-09-26,46.889998999999996
2006-09-27,46.669998
2006-09-28,46.639998999999996
2006-09-29,46.900002
2006-10-02,47.439999
2006-10-03,47.77
2006-10-04,48.84
2006-10-05,48.799999
2006-10-06,48.84
2006-10-09,48.57
2006-10-10,48.459998999999996
2006-10-11,48.189999
2006-10-12,48.700001
2006-10-13,48.73
2006-10-16,49.290001000000004
2006-10-17,49.400002
2006-10-18,49.57
2006-10-19,49.299999
2006-10-20,49.950001
2006-10-23,49.540001000000004
2006-10-24,49.599998
2006-10-25,50.889998999999996
2006-10-26,50.950001
2006-10-27,51.0
2006-10-30,51.950001
2006-10-31,51.5
2006-11-01,50.560001
2006-11-02,50.200001
2006-11-03,50.240002000000004
2006-11-06,52.150002
2006-11-07,52.32
2006-11-08,52.25
2006-11-09,51.169998
2006-11-10,51.200001
2006-11-13,51.650002
2006-11-14,52.880001
2006-11-15,52.939999
2006-11-16,53.619999
2006-11-17,53.41
2006-11-20,54.169998
2006-11-21,53.919998
2006-11-22,53.939999
2006-11-24,53.369999
2006-11-27,52.060001
2006-11-28,52.669998
2006-11-29,53.009997999999996
2006-11-30,54.099998
2006-12-01,53.669998
2006-12-04,54.59
2006-12-05,55.0
2006-12-06,54.599998
2006-12-07,54.849998
2006-12-08,55.299999
2006-12-11,54.939999
2006-12-12,54.970001
2006-12-13,54.77
2006-12-14,54.77
2006-12-15,54.75
2006-12-18,55.099998
2006-12-19,55.009997999999996
2006-12-20,54.91
2006-12-21,54.709998999999996
2006-12-22,54.650002
2006-12-26,54.830002
2006-12-27,54.82
2006-12-28,54.75
2006-12-29,54.5
2007-01-03,55.220001
2007-01-04,55.580002
2007-01-05,55.5
2007-01-08,56.189999
2007-01-09,56.529999
2007-01-10,56.759997999999996
2007-01-11,57.810001
2007-01-12,57.98
2007-01-16,58.07
2007-01-17,58.040001000000004
2007-01-18,57.650002
2007-01-19,57.599998
2007-01-22,56.91
2007-01-23,57.599998
2007-01-24,58.860001000000004
2007-01-25,57.450001
2007-01-26,58.48
2007-01-29,57.529999
2007-01-30,58.73
2007-01-31,58.959998999999996
2007-02-01,59.040001000000004
2007-02-02,59.759997999999996
2007-02-05,59.990002000000004
2007-02-06,61.209998999999996
2007-02-07,61.369999
2007-02-08,61.330002
2007-02-09,60.099998
2007-02-12,60.25
2007-02-13,61.119999
2007-02-14,62.560001
2007-02-15,62.240002000000004
2007-02-16,62.360001000000004
2007-02-20,62.900002
2007-02-21,62.740002000000004
2007-02-22,62.919998
2007-02-23,62.630001
2007-02-26,61.34
2007-02-27,58.130001
2007-02-28,58.450001
2007-03-01,58.099998
2007-03-02,57.16
2007-03-05,55.889998999999996
2007-03-06,57.900002
2007-03-07,57.43
2007-03-08,58.23
2007-03-09,58.389998999999996
2007-03-12,58.259997999999996
2007-03-13,54.540001000000004
2007-03-14,55.060001
2007-03-15,55.509997999999996
2007-03-16,55.150002
2007-03-19,57.52
2007-03-20,57.66
2007-03-21,59.259997999999996
2007-03-22,58.41
2007-03-23,58.41
2007-03-26,57.529999
2007-03-27,57.52
2007-03-28,56.630001
2007-03-29,57.299999
2007-03-30,57.139998999999996
2007-04-02,58.09
2007-04-03,58.0
2007-04-04,59.290001000000004
2007-04-05,59.540001000000004
2007-04-09,59.919998
2007-04-10,59.84
2007-04-11,59.580002
2007-04-12,59.32
2007-04-13,59.799999
2007-04-16,60.48
2007-04-17,59.630001
2007-04-18,60.48
2007-04-19,59.75
2007-04-20,60.889998999999996
2007-04-23,60.57
2007-04-24,59.849998
2007-04-25,61.200001
2007-04-26,61.290001000000004
2007-04-27,60.52
2007-04-30,59.470001
2007-05-01,59.669998
2007-05-02,60.330002
2007-05-03,60.57
2007-05-04,61.330002
2007-05-07,61.259997999999996
2007-05-08,60.75
2007-05-09,60.93
2007-05-10,59.75
2007-05-11,61.02
2007-05-14,60.290001000000004
2007-05-15,61.060001
2007-05-16,61.630001
2007-05-17,61.369999
2007-05-18,61.439999
2007-05-21,62.18
2007-05-22,61.700001
2007-05-23,61.529999
2007-05-24,61.049999
2007-05-25,61.450001
2007-05-29,61.82
2007-05-30,61.75
2007-05-31,62.849998
2007-06-01,63.299999
2007-06-04,64.800003
2007-06-05,64.050003
2007-06-06,63.709998999999996
2007-06-07,63.43
2007-06-08,63.459998999999996
2007-06-11,63.919998
2007-06-12,62.759997999999996
2007-06-13,64.730003
2007-06-14,64.980003
2007-06-15,66.07
2007-06-18,66.290001
2007-06-19,66.949997
2007-06-20,65.379997
2007-06-21,66.470001
2007-06-22,64.400002
2007-06-25,63.799999
2007-06-26,63.459998999999996
2007-06-27,64.199997
2007-06-28,64.489998
2007-06-29,63.57
2007-07-02,65.129997
2007-07-03,65.730003
2007-07-05,65.230003
2007-07-06,65.66999799999999
2007-07-09,65.370003
2007-07-10,63.299999
2007-07-11,64.199997
2007-07-12,66.0
2007-07-13,66.08000200000001
2007-07-16,65.489998
2007-07-17,66.349998
2007-07-18,65.459999
2007-07-19,66.349998
2007-07-20,63.200001
2007-07-23,63.98
2007-07-24,61.82
2007-07-25,61.360001000000004
2007-07-26,60.279999
