Date,WSBF
2006-08-14,14.919796
2006-08-15,15.23879
2006-08-16,15.393729
2006-08-17,15.366387
2006-08-18,15.402842999999999
2006-08-21,15.266132
2006-08-22,15.357273000000001
2006-08-23,15.375502
2006-08-24,15.411957999999998
2006-08-25,15.448414000000001
2006-08-28,15.475757000000002
2006-08-29,15.621582
2006-08-30,15.658039000000002
2006-08-31,16.086401000000002
2006-09-01,16.113745
2006-09-05,16.314255
2006-09-06,16.414509
2006-09-07,17.043383
2006-09-08,16.870214
2006-09-11,16.706160999999998
2006-09-12,17.025154
2006-09-13,17.098067999999998
2006-09-14,17.134523
2006-09-15,17.207438
2006-09-18,17.225666
2006-09-19,17.225666
2006-09-20,17.143639
2006-09-21,16.988699
2006-09-22,16.861101
2006-09-25,16.751732
2006-09-26,16.387167
2006-09-27,15.931462
2006-09-28,15.858548999999998
2006-09-29,16.086401000000002
2006-10-02,15.694495000000002
2006-10-03,16.259569
2006-10-04,16.615021
2006-10-05,16.068174
2006-10-06,15.958804
2006-10-09,16.040831
2006-10-10,16.177544
2006-10-11,16.068174
2006-10-12,16.131971
2006-10-13,16.168428
2006-10-16,16.168428
2006-10-17,16.268684
2006-10-18,16.204885
2006-10-19,16.296026
2006-10-20,16.223114000000002
2006-10-23,16.049946
2006-10-24,16.332483
2006-10-25,16.332483
2006-10-26,16.323368
2006-10-27,16.405396
2006-10-30,16.405396
2006-10-31,16.1502
2006-11-01,15.940576
2006-11-02,15.749179999999999
2006-11-03,15.767407999999998
2006-11-06,16.350711999999998
2006-11-07,16.19577
2006-11-08,16.232226999999998
2006-11-09,15.822092999999999
2006-11-10,16.259569
2006-11-13,16.305139999999998
2006-11-14,16.514765
2006-11-15,16.523878
2006-11-16,16.605906
2006-11-17,16.542107
2006-11-20,16.551222
2006-11-21,16.441853
2006-11-22,16.396282
2006-11-24,16.131971
2006-11-27,15.730951000000001
2006-11-28,15.648925
2006-11-29,15.776522
2006-11-30,16.1502
2006-12-01,15.876778
2006-12-04,16.286913000000002
2006-12-05,16.387167
2006-12-06,16.505651
2006-12-07,16.396282
2006-12-08,16.460081
2006-12-11,16.432737
2006-12-12,16.396282
2006-12-13,16.332483
2006-12-14,16.523878
2006-12-15,16.341597
2006-12-18,15.977032999999999
2006-12-19,16.296026
2006-12-20,16.341597
2006-12-21,16.250456
2006-12-22,16.068174
2006-12-26,16.159315
2006-12-27,16.405396
2006-12-28,16.432737
2006-12-29,16.241343
2007-01-03,16.213998999999998
2007-01-04,16.19577
2007-01-05,16.10463
2007-01-08,16.177544
2007-01-09,16.141087
2007-01-10,16.141087
2007-01-11,16.19577
2007-01-12,16.159315
2007-01-16,16.186657
2007-01-17,16.1502
2007-01-18,16.1502
2007-01-19,16.259569
2007-01-22,16.177544
2007-01-23,16.141087
2007-01-24,16.314255
2007-01-25,16.19577
2007-01-26,16.286913000000002
2007-01-29,16.359825
2007-01-30,16.396282
2007-01-31,16.332483
2007-02-01,16.368938
2007-02-02,16.368938
2007-02-05,16.10463
2007-02-06,16.10463
2007-02-07,16.077288
2007-02-08,16.213998999999998
2007-02-09,16.268684
2007-02-12,16.1502
2007-02-13,16.268684
2007-02-14,16.213998999999998
2007-02-15,16.186657
2007-02-16,16.241343
2007-02-20,16.213998999999998
2007-02-21,16.250456
2007-02-22,16.305139999999998
2007-02-23,16.213998999999998
2007-02-26,16.186657
2007-02-27,15.803864
2007-02-28,16.141087
2007-03-01,15.986147
2007-03-02,16.10463
2007-03-05,15.658039000000002
2007-03-06,16.040831
2007-03-07,15.658039000000002
2007-03-08,15.740066
2007-03-09,15.812979
2007-03-12,15.822092999999999
2007-03-13,15.557782999999999
2007-03-14,15.676267000000001
2007-03-15,15.603354000000001
2007-03-16,15.621582
2007-03-19,15.703609
2007-03-20,15.876778
2007-03-21,16.159315
2007-03-22,16.323368
2007-03-23,16.332483
2007-03-26,16.314255
2007-03-27,16.004375
2007-03-28,15.958804
2007-03-29,15.99526
2007-03-30,15.931462
2007-04-02,16.10463
2007-04-03,16.387167
2007-04-04,16.186657
2007-04-05,16.168428
2007-04-09,15.913234
2007-04-10,15.986147
2007-04-11,15.922348000000001
2007-04-12,16.059059
