Date,EMC
2012-11-29,8401.049805
2012-11-30,8051.009765999999
2012-12-03,7700.959961
2012-12-04,7350.919922
2012-12-05,7000.879883
2012-12-06,6650.830078
2012-12-07,6388.299805
2012-12-10,6125.77002
2012-12-11,5863.22998
2012-12-12,5600.700195
2012-12-13,5338.169922
2012-12-14,5600.700195
2012-12-17,5338.169922
2012-12-18,5513.189941
2012-12-19,5513.189941
2012-12-20,5250.660156
2012-12-21,5250.660156
2012-12-24,5075.629883
2012-12-26,5163.149902
2012-12-27,5250.660156
2012-12-28,5163.149902
2012-12-31,5163.149902
2013-01-02,5338.169922
2013-01-03,5338.169922
2013-01-04,5338.169922
2013-01-07,5250.660156
2013-01-08,5075.629883
2013-01-09,5163.149902
2013-01-10,5163.149902
2013-01-11,5163.149902
2013-01-14,5250.660156
2013-01-15,5338.169922
2013-01-16,5425.680176
2013-01-17,5163.149902
2013-01-18,5075.629883
2013-01-22,5075.629883
2013-01-23,5163.149902
2013-01-24,5338.169922
2013-01-25,5425.680176
2013-01-28,5600.700195
2013-01-29,5513.189941
2013-01-30,5338.169922
2013-01-31,5338.169922
2013-02-01,5425.680176
2013-02-04,5338.169922
2013-02-05,5425.680176
2013-02-06,5425.680176
2013-02-07,5688.209961
2013-02-08,6038.259765999999
2013-02-11,6038.259765999999
2013-02-12,6038.259765999999
2013-02-13,6038.259765999999
2013-02-14,6038.259765999999
2013-02-15,6038.259765999999
2013-02-19,6125.77002
2013-02-20,6213.279785
2013-02-21,5950.740234000001
2013-02-22,5950.740234000001
2013-02-25,5863.22998
2013-02-26,5863.22998
2013-02-27,5950.740234000001
2013-02-28,5863.22998
2013-03-01,5950.740234000001
2013-03-04,5950.740234000001
2013-03-05,5950.740234000001
2013-03-06,5950.740234000001
2013-03-07,5950.740234000001
2013-03-08,5950.740234000001
2013-03-11,5950.740234000001
2013-03-12,5950.740234000001
2013-03-13,5950.740234000001
2013-03-14,5950.740234000001
2013-03-15,5950.740234000001
2013-03-18,5950.740234000001
2013-03-19,5950.740234000001
2013-03-20,5950.740234000001
2013-03-21,5863.22998
2013-03-22,5950.740234000001
2013-03-25,5950.740234000001
2013-03-26,5863.22998
2013-03-27,5863.22998
2013-03-28,5863.22998
2013-04-01,5775.720215
2013-04-02,6038.259765999999
2013-04-03,6038.259765999999
2013-04-04,5688.209961
2013-04-05,6038.259765999999
2013-04-08,6038.259765999999
2013-04-09,6038.259765999999
2013-04-10,5775.720215
2013-04-11,6125.77002
2013-04-12,5950.740234000001
2013-04-15,5950.740234000001
2013-04-16,5950.740234000001
2013-04-17,6038.259765999999
2013-04-18,6038.259765999999
