Date,AGNC
2008-05-15,19.35
2008-05-16,19.99
2008-05-19,19.51
2008-05-20,19.35
2008-05-21,19.25
2008-05-22,19.0
2008-05-23,19.049999
2008-05-27,19.1
2008-05-28,19.25
2008-05-29,19.700001
2008-05-30,19.700001
2008-06-02,19.6
2008-06-03,19.07
2008-06-04,19.1
2008-06-05,19.33
2008-06-06,19.02
2008-06-09,19.0
2008-06-10,18.200001
2008-06-11,17.15
2008-06-12,17.23
2008-06-13,17.059998999999998
2008-06-16,17.799999
2008-06-17,17.870001000000002
2008-06-18,17.040001
2008-06-19,16.879998999999998
2008-06-20,16.629998999999998
2008-06-23,17.9
2008-06-24,17.76
2008-06-25,17.799999
2008-06-26,17.209999
2008-06-27,17.110001
2008-06-30,16.639999
2008-07-01,16.4
2008-07-02,16.65
2008-07-03,16.48
2008-07-07,14.98
2008-07-08,15.5
2008-07-09,14.87
2008-07-10,13.97
2008-07-11,14.86
2008-07-14,15.73
2008-07-15,14.73
2008-07-16,15.11
2008-07-17,15.65
2008-07-18,15.53
2008-07-21,15.46
2008-07-22,15.77
2008-07-23,15.92
2008-07-24,15.43
2008-07-25,15.4
2008-07-28,15.01
2008-07-29,15.71
2008-07-30,15.66
2008-07-31,15.64
2008-08-01,15.92
2008-08-04,15.7
2008-08-05,15.79
2008-08-06,15.64
2008-08-07,15.35
2008-08-08,16.49
2008-08-11,16.74
2008-08-12,16.68
2008-08-13,16.65
2008-08-14,16.790001
2008-08-15,16.709999
2008-08-18,16.709999
2008-08-19,16.700001
2008-08-20,17.1
2008-08-21,17.459999
2008-08-22,18.110001
2008-08-25,17.66
2008-08-26,17.52
2008-08-27,18.200001
2008-08-28,18.74
2008-08-29,18.950001
2008-09-02,18.639999
2008-09-03,18.52
2008-09-04,18.34
2008-09-05,18.620001000000002
2008-09-08,20.0
2008-09-09,18.9
2008-09-10,19.139999
2008-09-11,18.950001
2008-09-12,19.68
2008-09-15,18.27
2008-09-16,18.700001
2008-09-17,16.77
2008-09-18,17.83
2008-09-19,18.68
2008-09-22,18.15
2008-09-23,19.49
2008-09-24,19.530001000000002
2008-09-25,18.23
2008-09-26,17.809998999999998
2008-09-29,15.86
2008-09-30,17.32
2008-10-01,16.84
2008-10-02,16.379998999999998
2008-10-03,16.299999
2008-10-06,16.74
2008-10-07,16.299999
2008-10-08,15.82
2008-10-09,15.04
2008-10-10,14.71
2008-10-13,15.4
2008-10-14,15.19
2008-10-15,14.8
2008-10-16,16.379998999999998
2008-10-17,16.389999
2008-10-20,17.26
2008-10-21,16.9
2008-10-22,16.25
2008-10-23,15.95
2008-10-24,15.85
2008-10-27,15.8
2008-10-28,16.98
2008-10-29,17.17
2008-10-30,18.01
2008-10-31,18.6
2008-11-03,18.5
2008-11-04,18.98
2008-11-05,18.99
2008-11-06,18.75
2008-11-07,18.860001
2008-11-10,17.82
2008-11-11,17.41
2008-11-12,17.190001000000002
2008-11-13,18.93
2008-11-14,18.25
2008-11-17,18.209999
2008-11-18,18.870001000000002
2008-11-19,17.889999
2008-11-20,16.889999
2008-11-21,17.540001
2008-11-24,18.5
2008-11-25,19.309998999999998
2008-11-26,19.700001
2008-11-28,19.940001000000002
2008-12-01,18.440001000000002
2008-12-02,19.93
2008-12-03,19.959999
2008-12-04,19.389999
2008-12-05,19.6
2008-12-08,19.85
2008-12-09,19.120001000000002
2008-12-10,19.129998999999998
2008-12-11,17.93
2008-12-12,18.33
2008-12-15,17.93
2008-12-16,19.17
2008-12-17,19.139999
2008-12-18,19.299999
2008-12-19,20.0
2008-12-22,21.24
2008-12-23,21.389999
2008-12-24,21.950001
2008-12-26,21.6
2008-12-29,20.639999
2008-12-30,20.84
2008-12-31,21.360001
2009-01-02,20.940001000000002
2009-01-05,21.1
2009-01-06,21.190001000000002
2009-01-07,21.129998999999998
2009-01-08,21.24
2009-01-09,20.83
2009-01-12,20.6
2009-01-13,21.040001
2009-01-14,20.9
2009-01-15,20.879998999999998
2009-01-16,20.57
2009-01-20,19.860001
2009-01-21,20.43
2009-01-22,19.99
2009-01-23,19.93
2009-01-26,20.15
2009-01-27,20.43
2009-01-28,20.700001
2009-01-29,20.17
2009-01-30,19.98
2009-02-02,19.9
2009-02-03,20.299999
2009-02-04,19.84
2009-02-05,17.799999
2009-02-06,17.360001
2009-02-09,17.24
2009-02-10,16.82
2009-02-11,17.0
2009-02-12,16.879998999999998
2009-02-13,16.879998999999998
2009-02-17,16.4
2009-02-18,16.209999
2009-02-19,15.91
2009-02-20,15.97
2009-02-23,15.92
2009-02-24,16.870001000000002
2009-02-25,16.280001000000002
