Date,CHKGF
2017-09-26,8.4
2017-09-27,8.4
2017-09-28,8.4
2017-09-29,8.28
2017-10-02,8.28
2017-10-03,8.28
2017-10-04,8.33
2017-10-05,8.33
2017-10-06,8.33
2017-10-09,8.38
2017-10-10,8.38
2017-10-11,8.24
2017-10-12,8.32
2017-10-13,8.295
2017-10-16,8.52
2017-10-17,8.52
2017-10-18,8.65
2017-10-19,8.7
2017-10-20,8.7
2017-10-23,8.7
2017-10-24,8.7
2017-10-25,8.31
2017-10-26,8.31
2017-10-27,8.3
2017-10-30,8.316
2017-10-31,8.22
2017-11-01,8.4
2017-11-02,8.4
2017-11-03,8.4
2017-11-06,8.4
2017-11-07,8.4
2017-11-08,8.4
2017-11-09,8.4
2017-11-10,8.4
2017-11-13,8.4
2017-11-14,8.3
2017-11-15,8.39
2017-11-16,8.39
2017-11-17,8.39
2017-11-20,8.39
2017-11-21,8.39
2017-11-22,8.38
2017-11-24,8.38
2017-11-27,8.34
2017-11-28,8.35
2017-11-29,8.35
2017-11-30,8.4
2017-12-01,8.4
2017-12-04,8.48
2017-12-05,8.44
2017-12-06,8.44
2017-12-07,8.44
2017-12-08,8.44
2017-12-11,8.44
2017-12-12,8.44
2017-12-13,8.44
2017-12-14,8.44
2017-12-15,8.44
2017-12-18,8.44
2017-12-19,8.44
2017-12-20,8.44
2017-12-21,8.44
2017-12-22,8.44
2017-12-26,8.44
2017-12-27,8.44
2017-12-28,8.64
2017-12-29,8.84
2018-01-02,8.84
2018-01-03,8.84
2018-01-04,8.84
2018-01-05,8.84
2018-01-08,8.93
2018-01-09,8.99
2018-01-10,9.1
2018-01-11,9.15
2018-01-12,9.15
2018-01-16,9.16
2018-01-17,9.16
2018-01-18,9.16
2018-01-19,9.22
2018-01-22,9.35
2018-01-23,9.46
2018-01-24,9.46
2018-01-25,9.32
2018-01-26,9.32
2018-01-29,9.32
2018-01-30,9.416
2018-01-31,9.416
2018-02-01,9.416
2018-02-02,9.416
2018-02-05,9.17
2018-02-06,9.17
2018-02-07,9.17
2018-02-08,9.17
2018-02-09,9.17
2018-02-12,9.17
2018-02-13,9.17
2018-02-14,8.8
2018-02-15,8.8
2018-02-16,8.8
2018-02-20,8.51
2018-02-21,8.51
2018-02-22,8.51
2018-02-23,8.51
2018-02-26,8.51
2018-02-27,8.51
2018-02-28,8.51
2018-03-01,8.795
2018-03-02,8.795
2018-03-05,8.795
2018-03-06,8.795
2018-03-07,8.47
2018-03-08,8.47
2018-03-09,8.47
2018-03-12,8.89
2018-03-13,8.71
2018-03-14,8.71
2018-03-15,8.71
2018-03-16,9.03
2018-03-19,9.03
2018-03-20,9.03
2018-03-21,8.65
2018-03-22,8.5
2018-03-23,8.45
2018-03-26,8.333
2018-03-27,8.333
2018-03-28,8.333
2018-03-29,8.333
2018-04-02,8.333
2018-04-03,8.333
2018-04-04,8.333
2018-04-05,8.333
2018-04-06,8.333
2018-04-09,8.333
2018-04-10,8.333
2018-04-11,8.333
2018-04-12,8.333
2018-04-13,8.67
2018-04-16,8.67
2018-04-17,8.68
2018-04-18,8.57
2018-04-19,8.57
2018-04-20,8.57
2018-04-23,8.687
2018-04-24,8.74
2018-04-25,8.74
2018-04-26,8.46
2018-04-27,8.46
2018-04-30,8.46
2018-05-01,8.46
2018-05-02,8.48
2018-05-03,8.48
2018-05-04,8.63
2018-05-07,8.63
2018-05-08,8.63
2018-05-09,8.63
2018-05-10,8.63
2018-05-11,8.65
2018-05-14,8.65
2018-05-15,8.65
2018-05-16,8.51
2018-05-17,8.51
2018-05-18,8.51
2018-05-21,8.51
2018-05-22,8.51
2018-05-23,8.51
2018-05-24,8.62
2018-05-25,8.62
2018-05-29,8.3
2018-05-30,8.18
2018-05-31,8.4
2018-06-01,8.4
2018-06-04,8.4
2018-06-05,8.68
2018-06-06,8.68
2018-06-07,8.68
2018-06-08,8.68
2018-06-11,8.68
2018-06-12,8.68
2018-06-13,8.58
2018-06-14,8.5
2018-06-15,8.5
2018-06-18,8.49
2018-06-19,8.49
2018-06-20,8.49
2018-06-21,8.12
2018-06-22,8.09
2018-06-25,8.09
2018-06-26,8.15
2018-06-27,8.15
2018-06-28,8.0
2018-06-29,8.039
2018-07-02,7.95
2018-07-03,7.95
2018-07-05,7.85
2018-07-06,7.85
2018-07-09,7.85
2018-07-10,7.85
2018-07-11,7.765
2018-07-12,7.75
2018-07-13,7.75
2018-07-16,7.75
2018-07-17,7.75
