Date,TAP
1975-06-12,15.25
1975-06-13,15.4375
1975-06-16,15.25
1975-06-17,14.9375
1975-06-18,15.375
1975-06-19,15.625
1975-06-20,15.6875
1975-06-23,15.5625
1975-06-24,15.25
1975-06-25,15.125
1975-06-26,15.0
1975-06-27,14.9375
1975-06-30,15.25
1975-07-01,15.0625
1975-07-02,14.9375
1975-07-03,15.5625
1975-07-07,15.1875
1975-07-08,15.125
1975-07-09,15.5
1975-07-10,15.4375
1975-07-11,16.0
1975-07-14,16.8125
1975-07-15,16.75
1975-07-16,16.6875
1975-07-17,16.9375
1975-07-18,17.75
1975-07-21,17.5625
1975-07-22,16.9375
1975-07-23,16.625
1975-07-24,16.375
1975-07-25,15.9375
1975-07-28,15.875
1975-07-29,15.375
1975-07-30,15.5625
1975-07-31,15.25
1975-08-01,14.9375
1975-08-04,14.9375
1975-08-05,15.4375
1975-08-06,16.0625
1975-08-07,15.375
1975-08-08,14.8125
1975-08-11,15.125
1975-08-12,15.0625
1975-08-13,14.25
1975-08-14,14.25
1975-08-15,14.0
1975-08-18,13.375
1975-08-19,13.375
1975-08-20,13.8125
1975-08-21,14.375
1975-08-22,14.75
1975-08-25,14.6875
1975-08-26,14.1875
1975-08-27,14.4375
1975-08-28,15.1875
1975-08-29,15.375
1975-09-02,14.6875
1975-09-03,14.9375
1975-09-04,15.0625
1975-09-05,14.625
1975-09-08,14.1875
1975-09-09,13.75
1975-09-10,13.375
1975-09-11,13.3125
1975-09-12,13.5
1975-09-15,13.625
1975-09-16,13.75
1975-09-17,14.1875
1975-09-18,15.1875
1975-09-19,15.75
1975-09-22,15.125
1975-09-23,14.75
1975-09-24,14.75
1975-09-25,14.3125
1975-09-26,14.1875
1975-09-29,14.0625
1975-09-30,13.8125
1975-10-01,13.8125
1975-10-02,14.125
1975-10-03,14.5
1975-10-06,14.5
1975-10-07,14.25
1975-10-08,14.5625
1975-10-09,14.8125
1975-10-10,14.9375
1975-10-13,15.0
