Date,SATS
2008-11-12,13.338735999999999
2008-11-13,13.15235
2008-11-14,12.495948
2008-11-17,11.904376
2008-11-18,12.06645
2008-11-19,11.353323
2008-11-20,10.567261
2008-11-21,11.288492999999999
2008-11-24,11.928687
2008-11-25,12.617503999999998
2008-11-26,12.779578
2008-11-28,13.833063000000001
2008-12-01,12.86872
2008-12-02,11.952998
2008-12-03,12.139384
2008-12-04,11.823339
2008-12-05,11.645057000000001
2008-12-08,11.952998
2008-12-09,11.928687
2008-12-10,12.179903
2008-12-11,12.220422
2008-12-12,11.896272999999999
2008-12-15,11.677471
2008-12-16,11.450567
2008-12-17,10.89141
2008-12-18,10.818477
2008-12-19,11.353323
2008-12-22,11.142626
2008-12-23,11.085899000000001
2008-12-24,11.029174000000001
2008-12-26,10.931929
2008-12-29,10.688817
2008-12-30,11.410048
2008-12-31,12.050243
2009-01-02,11.709887
2009-01-05,11.280389
2009-01-06,12.139384
2009-01-07,12.358185
2009-01-08,12.568882
2009-01-09,11.807131
2009-01-12,11.353323
2009-01-13,11.920584
2009-01-14,11.750405
2009-01-15,11.815235000000001
2009-01-16,12.025932000000001
2009-01-20,11.02107
2009-01-21,11.004862
2009-01-22,10.640195
2009-01-23,11.320908
2009-01-26,11.296597
2009-01-27,11.482983
2009-01-28,11.993517
2009-01-29,12.082658
2009-01-30,12.204214
2009-02-02,12.382496000000002
2009-02-03,12.811994
2009-02-04,12.479741
2009-02-05,12.828201
2009-02-06,13.484603
2009-02-09,13.4765
2009-02-10,12.763371000000001
2009-02-11,12.277147
2009-02-12,12.325769000000001
2009-02-13,12.293355
2009-02-17,12.585089
2009-02-18,12.439222000000001
2009-02-19,12.536467
2009-02-20,12.974067999999999
2009-02-23,13.022691
2009-02-24,13.087521
2009-02-25,12.990275
2009-02-26,13.306320999999999
2009-02-27,13.273906
2009-03-02,12.106969
2009-03-03,12.050243
2009-03-04,12.431118
2009-03-05,11.628849
2009-03-06,11.904376
2009-03-09,11.337114999999999
2009-03-10,11.5235
2009-03-11,11.272285
2009-03-12,11.661264
2009-03-13,12.106969
2009-03-16,12.082658
2009-03-17,11.742301
2009-03-18,11.620746
2009-03-19,11.855754
2009-03-20,11.863857000000001
2009-03-23,12.763371000000001
2009-03-24,12.633712
2009-03-25,12.512156
2009-03-26,12.836305
2009-03-27,12.755267
2009-03-30,12.058347
2009-03-31,12.017828
2009-04-01,12.811994
2009-04-02,13.014586
2009-04-03,13.176661
2009-04-06,12.998380000000001
2009-04-07,13.014586
2009-04-08,12.552674
2009-04-09,12.949757
2009-04-13,12.974067999999999
2009-04-14,12.909238
2009-04-15,12.949757
2009-04-16,13.111832000000001
2009-04-17,13.34684
2009-04-20,12.682333999999999
2009-04-21,12.909238
2009-04-22,12.747164
2009-04-23,12.828201
2009-04-24,12.633712
2009-04-27,12.828201
2009-04-28,12.771475
2009-04-29,12.698542
2009-04-30,12.820097
2009-05-01,12.998380000000001
2009-05-04,13.711507000000001
2009-05-05,13.841166000000001
2009-05-06,14.149109
2009-05-07,13.841166000000001
2009-05-08,14.027553
2009-05-11,14.011345
2009-05-12,13.460292
2009-05-13,12.771475
2009-05-14,12.714748
2009-05-15,13.047002
2009-05-18,13.354942999999999
2009-05-19,13.06321
2009-05-20,13.079416
2009-05-21,12.86872
2009-05-22,12.893031
2009-05-26,13.095624
2009-05-27,12.698542
2009-05-28,12.747164
2009-05-29,12.998380000000001
2009-06-01,13.241491
2009-06-02,13.265801999999999
2009-06-03,13.06321
2009-06-04,13.419773000000001
2009-06-05,13.784441000000001
2009-06-08,13.573744
2009-06-09,13.606159
2009-06-10,13.055105000000001
2009-06-11,13.144245999999999
2009-06-12,13.111832000000001
2009-06-15,12.828201
2009-06-16,12.398703999999999
2009-06-17,12.277147
2009-06-18,12.366288
2009-06-19,12.617503999999998
2009-06-22,12.204214
2009-06-23,11.78282
2009-06-24,11.896272999999999
2009-06-25,12.414911
2009-06-26,12.730955999999999
2009-06-29,12.617503999999998
2009-06-30,12.917342
2009-07-01,13.079416
2009-07-02,12.828201
2009-07-06,12.779578
2009-07-07,12.520259
2009-07-08,12.601296000000001
2009-07-09,12.625607
2009-07-10,12.455428999999999
2009-07-13,12.674230999999999
2009-07-14,12.828201
2009-07-15,12.901133999999999
2009-07-16,12.836305
2009-07-17,12.585089
2009-07-20,12.406807
2009-07-21,12.228525
2009-07-22,11.961102
2009-07-23,12.082658
2009-07-24,12.155592
2009-07-27,12.139384
2009-07-28,12.074554
2009-07-29,12.034036
2009-07-30,12.017828
2009-07-31,11.944894999999999
2009-08-03,12.034036
2009-08-04,12.017828
2009-08-05,11.985414
2009-08-06,11.880065
2009-08-07,11.993517
2009-08-10,12.941653
2009-08-11,15.397082000000001
2009-08-12,15.324148999999998
2009-08-13,15.461912
2009-08-14,15.421393
2009-08-17,15.137763
2009-08-18,15.405187
2009-08-19,15.526742
2009-08-20,15.964344
2009-08-21,15.867099
2009-08-24,15.76175
2009-08-25,16.02107
2009-08-26,15.867099
2009-08-27,15.705025
2009-08-28,15.615882999999998
2009-08-31,15.032414000000001
2009-09-01,14.627229000000002
2009-09-02,14.708266
2009-09-03,14.58671
2009-09-04,14.58671
2009-09-08,14.570502
2009-09-09,14.58671
2009-09-10,14.667747
2009-09-11,14.740681
2009-09-14,15.137763
2009-09-15,15.340357000000001
2009-09-16,15.583468
2009-09-17,15.54295
2009-09-18,15.235007999999999
2009-09-21,15.097244
2009-09-22,15.526742
2009-09-23,15.145867
2009-09-24,14.967585999999999
2009-09-25,14.886548000000001
2009-09-28,15.235007999999999
2009-09-29,15.170178
2009-09-30,14.959481
2009-10-01,14.594813
2009-10-02,14.465154
2009-10-05,15.0
2009-10-06,15.348460000000001
2009-10-07,15.705025
2009-10-08,15.810372000000001
2009-10-09,15.69692
2009-10-12,15.648298
2009-10-13,15.826579999999998
2009-10-14,16.053484
2009-10-15,16.458672
2009-10-16,16.499189
2009-10-19,16.969206
2009-10-20,16.329012
2009-10-21,16.166937
2009-10-22,16.961102
2009-10-23,16.547812
2009-10-26,15.688817000000002
2009-10-27,15.583468
2009-10-28,14.651539999999999
2009-10-29,14.740681
2009-10-30,14.716370000000001
2009-11-02,14.951378
2009-11-03,15.145867
2009-11-04,15.081038000000001
2009-11-05,15.470016000000001
2009-11-06,16.110210000000002
2009-11-09,16.207455
2009-11-10,15.858995000000002
2009-11-11,16.458672
2009-11-12,16.385738
2009-11-13,16.604538
2009-11-16,16.65316
2009-11-17,16.385738
2009-11-18,16.515398
2009-11-19,16.410049
2009-11-20,16.329012
2009-11-23,16.539709
2009-11-24,16.385738
2009-11-25,16.23987
2009-11-27,15.850891
2009-11-30,15.745543
2009-12-01,15.69692
2009-12-02,15.948135999999998
2009-12-03,15.794166
2009-12-04,15.858995000000002
2009-12-07,15.980551
2009-12-08,16.012966
2009-12-09,16.004862
2009-12-10,16.004862
2009-12-11,15.810372000000001
2009-12-14,15.834684
2009-12-15,15.518639000000002
2009-12-16,15.591572
2009-12-17,15.502431
2009-12-18,15.688817000000002
2009-12-21,15.680713
2009-12-22,15.907618
2009-12-23,15.923825
2009-12-24,15.964344
2009-12-28,15.980551
2009-12-29,15.964344
2009-12-30,15.996757999999998
2009-12-31,16.320908
2010-01-04,16.604538
2010-01-05,16.247974
2010-01-06,16.223663000000002
2010-01-07,16.166937
2010-01-08,16.175041
2010-01-11,15.95624
2010-01-12,15.899514000000002
2010-01-13,15.89141
2010-01-14,15.923825
2010-01-15,15.721231
2010-01-19,15.931929
2010-01-20,15.680713
2010-01-21,15.656401999999998
2010-01-22,15.437601
2010-01-25,15.348460000000001
2010-01-26,15.275526999999999
2010-01-27,15.299838000000001
2010-01-28,15.688817000000002
2010-01-29,15.559157
2010-02-01,15.510535
2010-02-02,15.632091
2010-02-03,15.494328
2010-02-04,15.324148999999998
2010-02-05,15.235007999999999
2010-02-08,15.137763
2010-02-09,15.153970999999999
2010-02-10,15.283629999999999
2010-02-11,15.348460000000001
2010-02-12,15.526742
2010-02-16,15.607779999999998
2010-02-17,15.648298
2010-02-18,15.567260999999998
2010-02-19,15.786060999999998
2010-02-22,15.883307
2010-02-23,15.923825
2010-02-24,16.004862
2010-02-25,16.15073
2010-02-26,16.320908
2010-03-01,15.899514000000002
2010-03-02,15.915721
2010-03-03,16.045382
2010-03-04,16.077795000000002
2010-03-05,16.620745
2010-03-08,16.669369
2010-03-09,16.734198000000003
2010-03-10,16.78282
2010-03-11,16.750404
2010-03-12,16.288492
2010-03-15,16.223663000000002
2010-03-16,16.393841000000002
2010-03-17,16.247974
2010-03-18,16.183144
2010-03-19,16.288492
2010-03-22,16.037277
2010-03-23,16.004862
2010-03-24,15.948135999999998
2010-03-25,15.940032
2010-03-26,16.045382
2010-03-29,16.012966
2010-03-30,16.215559
2010-03-31,16.434361
2010-04-01,16.320908
2010-04-05,16.539709
2010-04-06,16.766613
2010-04-07,16.734198000000003
2010-04-08,16.766613
2010-04-09,16.110210000000002
2010-04-12,15.996757999999998
2010-04-13,15.907618
2010-04-14,15.875202
2010-04-15,16.012966
2010-04-16,15.980551
2010-04-19,15.769854999999998
2010-04-20,15.95624
2010-04-21,15.721231
2010-04-22,15.89141
2010-04-23,15.980551
2010-04-26,15.875202
2010-04-27,15.518639000000002
2010-04-28,15.559157
2010-04-29,15.680713
2010-04-30,15.567260999999998
2010-05-03,15.591572
2010-05-04,15.202592999999998
2010-05-05,15.072932999999999
2010-05-06,14.894651000000001
2010-05-07,14.627229000000002
2010-05-10,15.810372000000001
2010-05-11,16.661264000000003
2010-05-12,16.612642
2010-05-13,16.588331
2010-05-14,16.572123
2010-05-17,16.65316
2010-05-18,16.726093
2010-05-19,16.418152
2010-05-20,15.996757999999998
2010-05-21,15.672609
2010-05-24,15.753647
2010-05-25,15.640195
2010-05-26,16.393841000000002
2010-05-27,17.147488
2010-05-28,17.042139000000002
2010-06-01,16.661264000000003
2010-06-02,16.815235
2010-06-03,17.447326999999998
2010-06-04,16.661264000000003
2010-06-07,16.426256
2010-06-08,16.612642
2010-06-09,16.247974
2010-06-10,16.896273
2010-06-11,16.799028
2010-06-14,17.090760999999997
2010-06-15,17.293354
2010-06-16,17.301458
2010-06-17,17.333873999999998
2010-06-18,16.871962
2010-06-21,16.944895000000002
2010-06-22,16.547812
2010-06-23,16.320908
2010-06-24,15.818477
2010-06-25,16.037277
2010-06-28,15.875202
2010-06-29,15.405187
2010-06-30,15.461912
2010-07-01,15.445704999999998
2010-07-02,15.429498
2010-07-06,15.364668
2010-07-07,15.688817000000002
2010-07-08,15.940032
2010-07-09,15.875202
2010-07-12,15.69692
2010-07-13,16.28039
2010-07-14,16.474878
2010-07-15,16.223663000000002
2010-07-16,15.705025
2010-07-19,15.632091
2010-07-20,15.818477
2010-07-21,15.437601
2010-07-22,15.680713
2010-07-23,15.802269
2010-07-26,16.029173
2010-07-27,16.02107
2010-07-28,15.461912
2010-07-29,15.615882999999998
2010-07-30,15.47812
2010-08-02,15.980551
2010-08-03,16.166937
2010-08-04,16.361425
2010-08-05,16.337114
2010-08-06,16.466773999999997
2010-08-09,15.923825
2010-08-10,15.623987
2010-08-11,15.121556
2010-08-12,14.943273999999999
2010-08-13,15.0
2010-08-16,15.153970999999999
2010-08-17,15.348460000000001
2010-08-18,15.607779999999998
2010-08-19,15.599676
2010-08-20,15.54295
2010-08-23,15.461912
2010-08-24,15.364668
2010-08-25,15.470016000000001
2010-08-26,15.54295
2010-08-27,15.510535
2010-08-30,15.267423
2010-08-31,15.121556
2010-09-01,15.76175
2010-09-02,15.858995000000002
2010-09-03,15.972447
2010-09-07,15.688817000000002
2010-09-08,15.583468
2010-09-09,15.69692
2010-09-10,15.623987
2010-09-13,16.02107
2010-09-14,16.045382
2010-09-15,15.737439000000002
2010-09-16,15.591572
2010-09-17,15.54295
2010-09-20,15.583468
2010-09-21,15.559157
2010-09-22,15.275526999999999
2010-09-23,15.032414000000001
2010-09-24,15.567260999999998
2010-09-27,15.397082000000001
2010-09-28,15.486223
2010-09-29,15.380876
2010-09-30,15.461912
2010-10-01,15.405187
2010-10-04,15.380876
2010-10-05,15.810372000000001
2010-10-06,15.640195
2010-10-07,15.518639000000002
2010-10-08,15.745543
2010-10-11,15.705025
2010-10-12,15.721231
2010-10-13,15.76175
2010-10-14,15.648298
2010-10-15,15.607779999999998
2010-10-18,15.486223
2010-10-19,15.210697
2010-10-20,15.672609
2010-10-21,15.89141
2010-10-22,16.231766
2010-10-25,16.604538
2010-10-26,16.580227
2010-10-27,16.466773999999997
2010-10-28,16.499189
2010-10-29,17.179903
2010-11-01,17.463532999999998
2010-11-02,17.341978
2010-11-03,17.252836
2010-11-04,17.301458
2010-11-05,17.544570999999998
2010-11-08,17.585089
2010-11-09,17.552673000000002
2010-11-10,17.382496
2010-11-11,17.058348000000002
2010-11-12,17.017828
2010-11-15,16.961102
2010-11-16,16.823339
2010-11-17,16.69368
2010-11-18,16.969206
2010-11-19,17.025932
2010-11-22,17.10697
