Date,KALU
2006-07-07,42.200001
2006-07-10,44.099998
2006-07-11,44.0
2006-07-12,44.25
2006-07-13,43.849998
2006-07-14,43.5
2006-07-17,43.5
2006-07-18,43.049999
2006-07-19,43.0
2006-07-20,43.200001
2006-07-21,42.860001000000004
2006-07-24,44.5
2006-07-25,44.0
2006-07-26,43.0
2006-07-27,43.0
2006-07-28,43.990002000000004
2006-07-31,42.0
2006-08-01,42.0
2006-08-02,41.700001
2006-08-03,42.0
2006-08-04,41.5
2006-08-07,41.349998
2006-08-08,41.200001
2006-08-09,40.75
2006-08-10,40.689999
2006-08-11,40.040001000000004
2006-08-14,39.900002
2006-08-15,39.5
2006-08-16,38.900002
2006-08-17,39.080002
2006-08-18,39.080002
2006-08-21,39.0
2006-08-22,39.25
2006-08-23,39.880001
2006-08-24,38.0
2006-08-25,37.950001
2006-08-28,37.900002
2006-08-29,37.900002
2006-08-30,37.900002
2006-08-31,37.830002
2006-09-01,37.799999
2006-09-05,38.439999
2006-09-06,38.0
2006-09-07,38.029999
2006-09-08,37.75
2006-09-11,37.5
2006-09-12,37.75
2006-09-13,37.75
2006-09-14,37.970001
2006-09-15,38.5
2006-09-18,38.860001000000004
2006-09-19,38.82
2006-09-20,38.48
2006-09-21,39.18
2006-09-22,39.25
2006-09-25,39.25
2006-09-26,39.299999
2006-09-27,40.25
2006-09-28,41.709998999999996
2006-09-29,44.34
2006-10-02,43.950001
2006-10-03,43.759997999999996
2006-10-04,43.5
2006-10-05,43.799999
2006-10-06,43.66
2006-10-09,44.549999
2006-10-10,45.080002
2006-10-11,45.0
2006-10-12,45.189999
2006-10-13,45.5
2006-10-16,46.25
2006-10-17,46.200001
2006-10-18,46.560001
2006-10-19,46.599998
2006-10-20,46.400002
2006-10-23,46.84
2006-10-24,47.0
2006-10-25,47.299999
2006-10-26,47.25
2006-10-27,47.25
2006-10-30,47.450001
2006-10-31,47.240002000000004
2006-11-01,47.700001
2006-11-02,47.560001
2006-11-03,48.16
2006-11-06,48.25
2006-11-07,48.75
2006-11-08,48.75
2006-11-09,48.490002000000004
2006-11-10,48.75
2006-11-13,48.939999
2006-11-14,50.25
2006-11-15,49.25
2006-11-16,49.599998
2006-11-17,49.599998
2006-11-20,49.599998
2006-11-21,50.849998
2006-11-22,53.900002
2006-11-24,54.759997999999996
2006-11-27,54.349998
2006-11-28,54.5
2006-11-29,56.990002000000004
2006-11-30,57.0
2006-12-01,56.599998
2006-12-04,56.5
2006-12-05,55.900002
2006-12-06,57.049999
2006-12-07,57.32
2006-12-08,59.599998
2006-12-11,61.990002000000004
2006-12-12,61.799999
2006-12-13,61.009997999999996
2006-12-14,61.459998999999996
2006-12-15,62.0
2006-12-18,61.73
2006-12-19,60.150002
2006-12-20,59.279999
2006-12-21,57.02
2006-12-22,55.709998999999996
2006-12-26,54.75
2006-12-27,56.400002
2006-12-28,56.540001000000004
2006-12-29,55.98
2007-01-03,58.490002000000004
2007-01-04,58.68
2007-01-05,58.150002
2007-01-08,57.599998
2007-01-09,58.150002
2007-01-10,58.509997999999996
2007-01-11,59.25
2007-01-12,60.150002
2007-01-16,60.0
2007-01-17,59.75
2007-01-18,60.470001
2007-01-19,60.5
2007-01-22,58.470001
2007-01-23,61.189999
2007-01-24,63.93
2007-01-25,62.57
2007-01-26,63.939999
2007-01-29,64.559998
2007-01-30,65.279999
2007-01-31,66.459999
2007-02-01,67.57
2007-02-02,66.91999799999999
2007-02-05,67.559998
2007-02-06,70.08000200000001
2007-02-07,70.5
2007-02-08,70.07
2007-02-09,71.0
2007-02-12,74.120003
2007-02-13,75.650002
2007-02-14,75.029999
2007-02-15,73.709999
2007-02-16,72.66999799999999
2007-02-20,72.739998
2007-02-21,71.949997
2007-02-22,72.199997
2007-02-23,72.650002
2007-02-26,72.529999
2007-02-27,67.33000200000001
2007-02-28,67.68
2007-03-01,70.440002
2007-03-02,68.010002
2007-03-05,67.019997
2007-03-06,69.589996
2007-03-07,69.970001
2007-03-08,70.400002
2007-03-09,70.5
2007-03-12,72.010002
2007-03-13,69.230003
2007-03-14,71.779999
2007-03-15,72.309998
2007-03-16,72.370003
2007-03-19,72.900002
2007-03-20,72.0
2007-03-21,72.25
2007-03-22,72.760002
2007-03-23,74.639999
2007-03-26,75.790001
2007-03-27,75.08000200000001
2007-03-28,76.199997
2007-03-29,76.5
2007-03-30,78.0
2007-04-02,79.449997
2007-04-03,80.010002
2007-04-04,79.959999
2007-04-05,79.629997
2007-04-09,79.489998
2007-04-10,79.959999
2007-04-11,79.93
2007-04-12,78.93
2007-04-13,79.699997
2007-04-16,79.099998
2007-04-17,77.900002
