Date,ERFSF
2010-04-26,44.349998
2010-04-27,44.349998
2010-04-28,44.349998
2010-04-29,44.349998
2010-04-30,44.349998
2010-05-03,44.0
2010-05-04,41.5
2010-05-05,41.5
2010-05-06,41.5
2010-05-07,39.049999
2010-05-10,41.5
2010-05-11,40.900002
2010-05-12,40.900002
2010-05-13,40.900002
2010-05-14,40.900002
2010-05-17,40.900002
2010-05-18,40.900002
2010-05-19,40.900002
2010-05-20,40.900002
2010-05-21,40.900002
2010-05-24,40.900002
2010-05-25,40.900002
2010-05-26,40.900002
2010-05-27,40.900002
2010-05-28,40.900002
2010-06-01,38.349998
2010-06-02,38.150002
2010-06-03,38.150002
2010-06-04,38.150002
2010-06-07,38.150002
2010-06-08,38.150002
2010-06-09,38.150002
2010-06-10,38.150002
2010-06-11,38.150002
2010-06-14,38.150002
2010-06-15,38.150002
2010-06-16,38.150002
2010-06-17,38.150002
2010-06-18,38.150002
2010-06-21,38.150002
2010-06-22,38.150002
2010-06-23,38.150002
2010-06-24,38.150002
2010-06-25,38.150002
2010-06-28,38.150002
2010-06-29,38.150002
2010-06-30,38.150002
2010-07-01,38.150002
2010-07-02,38.150002
2010-07-06,38.150002
2010-07-07,38.150002
2010-07-08,38.150002
2010-07-09,38.150002
2010-07-12,38.150002
2010-07-13,38.150002
2010-07-14,38.150002
2010-07-15,38.150002
2010-07-16,38.150002
2010-07-19,38.150002
2010-07-20,38.150002
2010-07-21,38.150002
2010-07-22,38.150002
2010-07-23,38.150002
2010-07-26,38.150002
2010-07-27,38.150002
2010-07-28,38.150002
2010-07-29,38.150002
2010-07-30,38.150002
2010-08-02,38.150002
2010-08-03,49.599998
2010-08-04,49.599998
2010-08-05,49.599998
2010-08-06,49.599998
2010-08-09,49.599998
2010-08-10,49.599998
2010-08-11,49.599998
2010-08-12,49.599998
2010-08-13,49.599998
2010-08-16,49.599998
2010-08-17,49.599998
2010-08-18,49.599998
2010-08-19,49.599998
2010-08-20,49.599998
2010-08-23,49.599998
2010-08-24,49.599998
2010-08-25,49.599998
2010-08-26,49.599998
2010-08-27,49.599998
2010-08-30,49.599998
2010-08-31,49.599998
2010-09-01,49.599998
2010-09-02,49.599998
2010-09-03,49.599998
2010-09-07,49.599998
2010-09-08,49.599998
2010-09-09,49.599998
2010-09-10,49.599998
2010-09-13,49.599998
2010-09-14,49.599998
2010-09-15,49.599998
2010-09-16,49.599998
2010-09-17,49.599998
2010-09-20,49.599998
2010-09-21,49.599998
2010-09-22,49.599998
2010-09-23,49.599998
2010-09-24,49.599998
2010-09-27,49.599998
2010-09-28,49.599998
2010-09-29,49.599998
2010-09-30,49.599998
2010-10-01,49.599998
2010-10-04,49.599998
2010-10-05,49.599998
2010-10-06,49.599998
2010-10-07,49.599998
2010-10-08,49.599998
2010-10-11,49.599998
2010-10-12,49.599998
2010-10-13,49.599998
2010-10-14,49.599998
2010-10-15,49.599998
2010-10-18,49.599998
2010-10-19,49.599998
2010-10-20,49.599998
2010-10-21,49.599998
2010-10-22,49.599998
2010-10-25,49.599998
2010-10-26,49.599998
2010-10-27,49.599998
2010-10-28,49.599998
2010-10-29,49.599998
2010-11-01,49.599998
2010-11-02,49.599998
2010-11-03,49.599998
2010-11-04,49.599998
2010-11-05,49.599998
2010-11-08,49.599998
2010-11-09,49.599998
