Date,OIS
2001-02-09,5.214286
2001-02-12,5.142857
2001-02-13,5.285714
2001-02-14,5.375
2001-02-15,5.214286
2001-02-16,5.142857
2001-02-20,5.169643
2001-02-21,5.169643
2001-02-22,5.142857
2001-02-23,5.160714
2001-02-26,5.169643
2001-02-27,5.169643
2001-02-28,5.178571
2001-03-01,5.142857
2001-03-02,5.142857
2001-03-05,5.285714
2001-03-06,5.517857
2001-03-07,6.428571
2001-03-08,6.830357000000001
2001-03-09,7.133928999999999
2001-03-12,6.357143
2001-03-13,6.6875
2001-03-14,6.169643
2001-03-15,6.142857
2001-03-16,6.026786
2001-03-19,6.116071
2001-03-20,6.285714
2001-03-21,6.0
2001-03-22,6.133929
2001-03-23,6.071429
2001-03-26,6.285714
2001-03-27,6.285714
2001-03-28,6.169643
2001-03-29,6.232143
2001-03-30,6.428571
2001-04-02,6.258929
2001-04-03,5.258929
2001-04-04,5.660714
2001-04-05,5.803571
2001-04-06,5.830357
2001-04-09,5.657143
2001-04-10,6.114286
2001-04-11,6.142857
2001-04-12,6.057143
2001-04-16,5.828571
2001-04-17,5.714286
2001-04-18,6.0114279999999995
2001-04-19,5.828571
2001-04-20,5.811429
2001-04-23,5.777143
2001-04-24,5.702857
2001-04-25,5.72
2001-04-26,5.914286
2001-04-27,6.16
2001-04-30,6.0
2001-05-01,5.628572
2001-05-02,5.451428
2001-05-03,5.685714
2001-05-04,6.302857
2001-05-07,6.28
2001-05-08,6.314286
2001-05-09,6.6
2001-05-10,6.628572
2001-05-11,6.9714279999999995
2001-05-14,7.828571000000001
2001-05-15,8.142858
2001-05-16,7.7714289999999995
2001-05-17,7.714286
2001-05-18,8.0
2001-05-21,8.571428
2001-05-22,8.428572
2001-05-23,8.228572
2001-05-24,7.8
2001-05-25,7.925714
2001-05-29,7.885714
2001-05-30,7.942857000000001
2001-05-31,8.057143
2001-06-01,8.0
2001-06-04,8.154285
2001-06-05,8.165714
2001-06-06,8.097142999999999
2001-06-07,8.114285
2001-06-08,7.731428999999999
2001-06-11,7.2
2001-06-12,7.074286
2001-06-13,7.142857000000001
2001-06-14,7.08
2001-06-15,6.828571000000001
2001-06-18,6.171429
2001-06-19,6.342857
2001-06-20,6.331429
2001-06-21,6.371428
2001-06-22,6.325714
2001-06-25,6.262857
