Date,THO
1984-01-10,0.833333
1984-01-11,0.8611110000000001
1984-01-12,0.851852
1984-01-13,0.8796299999999999
1984-01-16,0.8703700000000001
1984-01-17,0.8703700000000001
1984-01-18,0.842593
1984-01-19,0.833333
1984-01-20,0.833333
1984-01-23,0.814815
1984-01-24,0.814815
1984-01-25,0.805556
1984-01-26,0.805556
1984-01-27,0.805556
1984-01-30,0.787037
1984-01-31,0.759259
1984-02-01,0.759259
1984-02-02,0.777778
1984-02-03,0.787037
1984-02-06,0.787037
1984-02-07,0.787037
1984-02-08,0.777778
1984-02-09,0.740741
1984-02-10,0.740741
1984-02-13,0.740741
1984-02-14,0.731481
1984-02-15,0.712963
1984-02-16,0.712963
1984-02-17,0.712963
1984-02-21,0.722222
1984-02-22,0.722222
1984-02-23,0.722222
1984-02-24,0.722222
1984-02-27,0.740741
1984-02-28,0.740741
1984-02-29,0.740741
1984-03-01,0.740741
1984-03-02,0.740741
1984-03-05,0.740741
1984-03-06,0.722222
1984-03-07,0.722222
1984-03-08,0.722222
1984-03-09,0.722222
1984-03-12,0.722222
1984-03-13,0.722222
1984-03-14,0.722222
1984-03-15,0.722222
1984-03-16,0.731481
1984-03-19,0.731481
1984-03-20,0.731481
1984-03-21,0.731481
1984-03-22,0.731481
1984-03-23,0.731481
1984-03-26,0.731481
1984-03-27,0.722222
1984-03-28,0.722222
1984-03-29,0.722222
1984-03-30,0.722222
1984-04-02,0.722222
1984-04-03,0.722222
1984-04-04,0.722222
1984-04-05,0.703704
1984-04-06,0.703704
1984-04-09,0.703704
1984-04-10,0.703704
1984-04-11,0.703704
1984-04-12,0.703704
1984-04-13,0.703704
1984-04-16,0.703704
1984-04-17,0.703704
1984-04-18,0.703704
1984-04-19,0.703704
1984-04-23,0.703704
1984-04-24,0.703704
1984-04-25,0.703704
1984-04-26,0.685185
1984-04-27,0.685185
1984-04-30,0.685185
1984-05-01,0.685185
1984-05-02,0.685185
1984-05-03,0.685185
1984-05-04,0.685185
1984-05-07,0.685185
1984-05-08,0.685185
1984-05-09,0.685185
1984-05-10,0.685185
1984-05-11,0.685185
1984-05-14,0.685185
1984-05-15,0.685185
1984-05-16,0.685185
1984-05-17,0.666667
1984-05-18,0.62963
1984-05-21,0.62963
1984-05-22,0.611111
1984-05-23,0.611111
1984-05-24,0.592593
1984-05-25,0.592593
1984-05-29,0.592593
1984-05-30,0.592593
1984-05-31,0.592593
1984-06-01,0.592593
1984-06-04,0.592593
1984-06-05,0.592593
1984-06-06,0.592593
1984-06-07,0.592593
1984-06-08,0.592593
1984-06-11,0.592593
1984-06-12,0.592593
1984-06-13,0.592593
1984-06-14,0.592593
1984-06-15,0.592593
1984-06-18,0.592593
1984-06-19,0.592593
1984-06-20,0.592593
1984-06-21,0.592593
1984-06-22,0.592593
1984-06-25,0.592593
1984-06-26,0.592593
1984-06-27,0.592593
1984-06-28,0.592593
1984-06-29,0.592593
1984-07-02,0.592593
1984-07-03,0.592593
1984-07-05,0.592593
1984-07-06,0.555556
1984-07-09,0.574074
1984-07-10,0.592593
1984-07-11,0.592593
1984-07-12,0.592593
1984-07-13,0.592593
1984-07-16,0.592593
1984-07-17,0.592593
1984-07-18,0.592593
1984-07-19,0.592593
1984-07-20,0.592593
1984-07-23,0.592593
1984-07-24,0.592593
1984-07-25,0.611111
1984-07-26,0.62963
1984-07-27,0.62963
1984-07-30,0.62963
1984-07-31,0.62963
1984-08-01,0.62963
1984-08-02,0.62963
1984-08-03,0.62963
1984-08-06,0.62963
1984-08-07,0.62963
1984-08-08,0.62963
1984-08-09,0.62963
1984-08-10,0.611111
1984-08-13,0.611111
1984-08-14,0.611111
1984-08-15,0.611111
1984-08-16,0.666667
1984-08-17,0.666667
1984-08-20,0.703704
1984-08-21,0.703704
1984-08-22,0.703704
1984-08-23,0.703704
1984-08-24,0.703704
1984-08-27,0.703704
1984-08-28,0.703704
1984-08-29,0.703704
1984-08-30,0.777778
