Date,ELAN
2018-09-20,36.0
2018-09-21,34.099998
2018-09-24,34.900002
2018-09-25,34.580002
2018-09-26,35.5
2018-09-27,36.189999
2018-09-28,34.889998999999996
2018-10-01,33.73
2018-10-02,33.419998
2018-10-03,34.25
2018-10-04,34.02
2018-10-05,34.34
2018-10-08,34.009997999999996
2018-10-09,34.32
2018-10-10,33.529999
2018-10-11,32.389998999999996
2018-10-12,32.580002
2018-10-15,32.459998999999996
2018-10-16,32.610001000000004
2018-10-17,32.93
2018-10-18,31.799999
2018-10-19,31.610001
2018-10-22,31.879998999999998
2018-10-23,32.439999
2018-10-24,31.74
2018-10-25,31.959999
2018-10-26,32.43
2018-10-29,30.91
2018-10-30,30.85
2018-10-31,30.48
2018-11-01,31.879998999999998
2018-11-02,33.099998
2018-11-05,33.240002000000004
2018-11-06,33.810001
2018-11-07,34.459998999999996
2018-11-08,33.82
2018-11-09,34.459998999999996
2018-11-12,34.16
2018-11-13,34.5
2018-11-14,34.009997999999996
2018-11-15,33.09
2018-11-16,34.0
2018-11-19,33.799999
2018-11-20,33.130001
2018-11-21,33.16
2018-11-23,33.610001000000004
2018-11-26,33.0
2018-11-27,32.950001
2018-11-28,33.48
2018-11-29,33.48
2018-11-30,33.41
2018-12-03,33.75
2018-12-04,33.07
2018-12-06,32.599998
2018-12-07,33.57
2018-12-10,33.380001
2018-12-11,32.959998999999996
2018-12-12,32.869999
2018-12-13,32.540001000000004
2018-12-14,32.369999
2018-12-17,31.76
2018-12-18,31.1
2018-12-19,31.639999
2018-12-20,31.33
2018-12-21,30.0
2018-12-24,29.629998999999998
2018-12-26,30.73
2018-12-27,31.190001000000002
2018-12-28,31.32
2018-12-31,31.530001000000002
2019-01-02,31.799999
2019-01-03,31.09
2019-01-04,31.83
2019-01-07,32.650002
2019-01-08,32.509997999999996
2019-01-09,32.549999
2019-01-10,31.59
2019-01-11,31.959999
2019-01-14,31.559998999999998
2019-01-15,31.709999
2019-01-16,31.559998999999998
2019-01-17,31.75
2019-01-18,31.52
2019-01-22,30.98
2019-01-23,30.379998999999998
2019-01-24,30.23
2019-01-25,30.6
2019-01-28,30.5
2019-01-29,30.5
2019-01-30,30.16
2019-01-31,29.18
2019-02-01,29.450001
2019-02-04,29.65
2019-02-05,30.219998999999998
2019-02-06,29.01
2019-02-07,29.5
2019-02-08,29.690001000000002
2019-02-11,29.709999
2019-02-12,29.299999
2019-02-13,29.42
2019-02-14,29.34
2019-02-15,29.6
2019-02-19,29.16
2019-02-20,29.33
2019-02-21,29.040001
2019-02-22,29.190001000000002
2019-02-25,29.0
2019-02-26,29.049999
2019-02-27,29.719998999999998
2019-02-28,30.24
2019-03-01,31.030001000000002
2019-03-04,31.0
2019-03-05,30.459999
2019-03-06,29.700001
2019-03-07,29.280001000000002
2019-03-08,29.4
2019-03-11,30.700001
2019-03-12,31.639999
2019-03-13,31.58
2019-03-14,30.309998999999998
2019-03-15,30.639999
2019-03-18,31.639999
2019-03-19,32.830002
2019-03-20,32.830002
2019-03-21,32.48
2019-03-22,32.720001
2019-03-25,32.599998
2019-03-26,32.740002000000004
2019-03-27,32.689999
2019-03-28,32.5
2019-03-29,32.07
2019-04-01,32.169998
2019-04-02,32.439999
2019-04-03,32.830002
2019-04-04,32.98
2019-04-05,33.119999
2019-04-08,33.419998
2019-04-09,32.759997999999996
2019-04-10,32.549999
2019-04-11,32.34
2019-04-12,32.57
2019-04-15,32.139998999999996
2019-04-16,31.780001000000002
2019-04-17,31.18
2019-04-18,31.110001
2019-04-22,31.15
2019-04-23,31.629998999999998
