Date,SLGN
1997-02-14,2.765625
1997-02-18,2.78125
1997-02-19,2.9375
1997-02-20,2.984375
1997-02-21,3.0
1997-02-24,3.0
1997-02-25,3.0625
1997-02-26,3.046875
1997-02-27,3.0625
1997-02-28,3.1875
1997-03-03,3.25
1997-03-04,3.171875
1997-03-05,3.140625
1997-03-06,3.109375
1997-03-07,3.0625
1997-03-10,3.15625
1997-03-11,3.15625
1997-03-12,3.171875
1997-03-13,3.171875
1997-03-14,3.171875
1997-03-17,3.09375
1997-03-18,3.109375
1997-03-19,3.125
1997-03-20,3.109375
1997-03-21,3.0625
1997-03-24,3.046875
1997-03-25,3.09375
1997-03-26,3.109375
1997-03-27,3.09375
1997-03-31,3.125
1997-04-01,3.125
1997-04-02,3.140625
1997-04-03,3.140625
1997-04-04,3.140625
1997-04-07,3.140625
1997-04-08,3.1875
1997-04-09,3.21875
1997-04-10,3.1875
1997-04-11,3.234375
1997-04-14,3.25
1997-04-15,3.21875
1997-04-16,3.3125
1997-04-17,3.3046879999999996
1997-04-18,3.3203129999999996
1997-04-21,3.34375
1997-04-22,3.296875
1997-04-23,3.421875
1997-04-24,3.40625
1997-04-25,3.328125
1997-04-28,3.328125
1997-04-29,3.375
1997-04-30,3.3125
1997-05-01,3.40625
1997-05-02,3.421875
1997-05-05,3.296875
1997-05-06,3.28125
1997-05-07,3.28125
1997-05-08,3.25
1997-05-09,3.257813
1997-05-12,3.28125
1997-05-13,3.140625
1997-05-14,3.21875
1997-05-15,3.21875
1997-05-16,3.21875
1997-05-19,3.25
1997-05-20,3.171875
1997-05-21,3.09375
1997-05-22,3.15625
1997-05-23,3.15625
1997-05-27,3.34375
1997-05-28,3.421875
1997-05-29,3.515625
1997-05-30,3.75
1997-06-02,3.65625
1997-06-03,3.875
1997-06-04,4.140625
1997-06-05,4.34375
1997-06-06,4.34375
1997-06-09,4.34375
1997-06-10,4.34375
1997-06-11,4.46875
1997-06-12,4.4375
1997-06-13,4.46875
1997-06-16,4.5
1997-06-17,4.5625
1997-06-18,4.5
1997-06-19,4.46875
1997-06-20,4.4375
1997-06-23,4.453125
1997-06-24,4.515625
1997-06-25,4.53125
1997-06-26,4.515625
1997-06-27,4.59375
1997-06-30,4.84375
1997-07-01,4.75
1997-07-02,4.625
1997-07-03,4.609375
1997-07-07,4.6875
1997-07-08,4.59375
1997-07-09,4.578125
1997-07-10,4.578125
1997-07-11,4.625
1997-07-14,4.609375
1997-07-15,4.671875
1997-07-16,4.765625
1997-07-17,4.796875
1997-07-18,4.78125
1997-07-21,4.8125
1997-07-22,4.796875
