Date,HGV
2017-01-04,25.85
2017-01-05,25.58
2017-01-06,26.549999
2017-01-09,26.5
2017-01-10,25.790001
2017-01-11,25.49
2017-01-12,25.35
2017-01-13,25.049999
2017-01-17,24.99
2017-01-18,25.190001000000002
2017-01-19,26.09
2017-01-20,26.6
2017-01-23,27.139999
2017-01-24,28.65
2017-01-25,28.360001
2017-01-26,28.23
2017-01-27,28.51
2017-01-30,28.360001
2017-01-31,29.33
2017-02-01,29.26
2017-02-02,29.030001000000002
2017-02-03,29.309998999999998
2017-02-06,29.299999
2017-02-07,29.58
2017-02-08,30.01
2017-02-09,30.6
2017-02-10,30.35
2017-02-13,30.299999
2017-02-14,29.620001000000002
2017-02-15,30.01
2017-02-16,29.43
2017-02-17,29.48
2017-02-21,29.860001
2017-02-22,29.709999
2017-02-23,30.0
2017-02-24,30.01
2017-02-27,30.1
2017-02-28,29.940001000000002
2017-03-01,30.91
2017-03-02,30.35
2017-03-03,30.07
2017-03-06,29.690001000000002
2017-03-07,28.790001
2017-03-08,28.110001
2017-03-09,28.299999
2017-03-10,28.860001
2017-03-13,29.07
2017-03-14,29.02
2017-03-15,28.889999
2017-03-16,28.889999
2017-03-17,29.030001000000002
2017-03-20,28.9
2017-03-21,28.360001
2017-03-22,28.1
2017-03-23,28.84
2017-03-24,28.85
2017-03-27,28.59
2017-03-28,28.889999
2017-03-29,28.73
2017-03-30,28.940001000000002
2017-03-31,28.66
2017-04-03,29.370001000000002
2017-04-04,30.16
2017-04-05,31.0
2017-04-06,31.0
2017-04-07,30.610001
2017-04-10,31.27
2017-04-11,31.190001000000002
2017-04-12,31.780001000000002
2017-04-13,31.639999
2017-04-17,31.610001
2017-04-18,31.219998999999998
2017-04-19,31.34
2017-04-20,30.790001
2017-04-21,31.16
2017-04-24,31.610001
2017-04-25,32.119999
2017-04-26,33.310001
2017-04-27,33.650002
2017-04-28,33.470001
2017-05-01,33.950001
2017-05-02,34.689999
2017-05-03,34.0
2017-05-04,35.869999
2017-05-05,36.0
2017-05-08,35.34
2017-05-09,36.18
2017-05-10,35.889998999999996
2017-05-11,35.66
2017-05-12,35.810001
2017-05-15,36.139998999999996
2017-05-16,36.049999
2017-05-17,35.48
2017-05-18,35.549999
2017-05-19,35.84
2017-05-22,35.540001000000004
2017-05-23,36.23
2017-05-24,36.080002
2017-05-25,36.32
2017-05-26,35.830002
2017-05-30,35.779999
2017-05-31,35.77
2017-06-01,36.41
2017-06-02,35.970001
2017-06-05,35.279999
2017-06-06,34.84
2017-06-07,34.299999
2017-06-08,34.709998999999996
2017-06-09,34.630001
2017-06-12,35.18
2017-06-13,36.07
2017-06-14,35.400002
2017-06-15,36.0
2017-06-16,36.599998
2017-06-19,37.330002
2017-06-20,37.029999
2017-06-21,37.400002
2017-06-22,36.869999
2017-06-23,36.299999
2017-06-26,36.599998
2017-06-27,35.950001
2017-06-28,36.209998999999996
2017-06-29,35.630001
2017-06-30,36.060001
2017-07-03,35.450001
2017-07-05,35.080002
2017-07-06,35.290001000000004
2017-07-07,35.310001
2017-07-10,36.110001000000004
2017-07-11,36.630001
2017-07-12,37.09
2017-07-13,36.150002
2017-07-14,36.349998
2017-07-17,36.02
2017-07-18,36.110001000000004
2017-07-19,36.259997999999996
2017-07-20,36.150002
2017-07-21,36.139998999999996
2017-07-24,35.849998
2017-07-25,36.709998999999996
2017-07-26,36.650002
2017-07-27,36.580002
2017-07-28,36.27
2017-07-31,36.759997999999996
2017-08-01,36.59
2017-08-02,36.169998
