Date,NOMD
2015-01-02,10.5
2015-01-05,10.5
2015-01-06,10.5
2015-01-07,10.5
2015-01-08,10.5
2015-01-09,10.5
2015-01-12,10.5
2015-01-13,10.5
2015-01-14,10.25
2015-01-15,10.25
2015-01-16,10.25
2015-01-20,10.25
2015-01-21,10.0
2015-01-22,10.0
2015-01-23,10.03
2015-01-26,10.03
2015-01-27,10.03
2015-01-28,10.03
2015-01-29,10.03
2015-01-30,10.0
2015-02-02,10.0
2015-02-03,10.0
2015-02-04,10.0
2015-02-05,10.0
2015-02-06,10.0
2015-02-09,10.0
2015-02-10,10.0
2015-02-11,9.75
2015-02-12,9.75
2015-02-13,9.75
2015-02-17,9.75
2015-02-18,9.75
2015-02-19,9.75
2015-02-20,9.75
2015-02-23,10.2
2015-02-24,10.2
2015-02-25,10.2
2015-02-26,10.2
2015-02-27,10.4
2015-03-02,10.4
2015-03-03,10.4
2015-03-04,10.4
2015-03-05,10.4
2015-03-06,10.4
2015-03-09,10.4
2015-03-10,10.4
2015-03-11,10.4
2015-03-12,10.4
2015-03-13,10.4
2015-03-16,10.4
2015-03-17,10.28
2015-03-18,10.28
2015-03-19,10.28
2015-03-20,10.28
2015-03-23,10.28
2015-03-24,10.28
2015-03-25,10.28
2015-03-26,10.28
2015-03-27,10.28
2015-03-30,10.28
2015-03-31,10.28
2015-04-01,10.28
2015-04-02,10.28
2015-04-06,10.28
2015-04-07,10.28
2015-04-08,10.28
2015-04-09,10.28
2015-04-10,10.28
2015-04-13,10.28
2015-04-14,10.28
2015-04-15,10.28
2015-04-16,10.28
2015-04-17,12.05
2015-04-20,14.5
2015-04-21,16.5
2015-04-22,18.0
2015-04-23,18.75
2015-04-24,17.9
2015-04-27,18.0
2015-04-28,18.0
2015-04-29,18.0
2015-04-30,18.0
2015-05-01,18.0
2015-05-04,18.0
2015-05-05,18.0
2015-05-06,18.0
2015-05-07,18.0
2015-05-08,18.0
2015-05-11,18.0
2015-05-12,18.0
2015-05-13,18.0
2015-05-14,18.0
2015-05-15,18.0
2015-05-18,18.0
2015-05-19,18.0
2015-05-20,18.0
2015-05-21,18.0
2015-05-22,18.0
2015-05-26,18.0
2015-05-27,18.0
2015-05-28,18.0
2015-05-29,18.0
2015-06-01,18.0
2015-06-02,18.0
2015-06-03,20.75
2015-06-04,20.4
2015-06-05,21.1
2015-06-08,21.75
2015-06-09,21.75
2015-06-10,21.5
2015-06-11,21.5
2015-06-12,21.25
2015-06-15,21.25
2015-06-16,21.75
2015-06-17,21.75
2015-06-18,21.549999
2015-06-19,21.75
2015-06-22,21.75
2015-06-23,21.440001000000002
