Date,GD
1977-01-03,1.3625
1977-01-04,1.34375
1977-01-05,1.325
1977-01-06,1.328125
1977-01-07,1.315625
1977-01-10,1.303125
1977-01-11,1.26875
1977-01-12,1.24375
1977-01-13,1.234375
1977-01-14,1.30625
1977-01-17,1.3
1977-01-18,1.34375
1977-01-19,1.4125
1977-01-20,1.425
1977-01-21,1.4125
1977-01-24,1.4
1977-01-25,1.40625
1977-01-26,1.4
1977-01-27,1.39375
1977-01-28,1.4
1977-01-31,1.446875
1977-02-01,1.465625
1977-02-02,1.490625
1977-02-03,1.490625
1977-02-04,1.50625
1977-02-07,1.496875
1977-02-08,1.4875
1977-02-09,1.453125
1977-02-10,1.44375
1977-02-11,1.415625
1977-02-14,1.428125
1977-02-15,1.43125
1977-02-16,1.4625
1977-02-17,1.465625
1977-02-18,1.4625
1977-02-22,1.4625
1977-02-23,1.43125
1977-02-24,1.396875
1977-02-25,1.39375
1977-02-28,1.4125
1977-03-01,1.45
1977-03-02,1.45
1977-03-03,1.45
1977-03-04,1.43125
1977-03-07,1.425
1977-03-08,1.41875
1977-03-09,1.403125
1977-03-10,1.40625
1977-03-11,1.41875
1977-03-14,1.45
1977-03-15,1.45
1977-03-16,1.45
1977-03-17,1.4375
1977-03-18,1.44375
1977-03-21,1.44375
1977-03-22,1.475
1977-03-23,1.446875
1977-03-24,1.4375
1977-03-25,1.415625
1977-03-28,1.409375
1977-03-29,1.415625
1977-03-30,1.396875
1977-03-31,1.41875
1977-04-01,1.4375
1977-04-04,1.4375
1977-04-05,1.3625
1977-04-06,1.3125
1977-04-07,1.35625
1977-04-11,1.35625
1977-04-12,1.403125
1977-04-13,1.3625
1977-04-14,1.33125
1977-04-15,1.35625
1977-04-18,1.3375
1977-04-19,1.33125
1977-04-20,1.31875
1977-04-21,1.3
1977-04-22,1.278125
1977-04-25,1.259375
1977-04-26,1.265625
1977-04-27,1.29375
1977-04-28,1.290625
1977-04-29,1.3
1977-05-02,1.29375
1977-05-03,1.33125
1977-05-04,1.375
1977-05-05,1.378125
1977-05-06,1.3875
1977-05-09,1.38125
1977-05-10,1.384375
1977-05-11,1.3625
1977-05-12,1.35
1977-05-13,1.35625
1977-05-16,1.38125
1977-05-17,1.3625
1977-05-18,1.371875
1977-05-19,1.36875
1977-05-20,1.35625
1977-05-23,1.328125
1977-05-24,1.31875
1977-05-25,1.325
1977-05-26,1.35
1977-05-27,1.33125
1977-05-31,1.31875
1977-06-01,1.340625
1977-06-02,1.34375
1977-06-03,1.34375
1977-06-06,1.353125
1977-06-07,1.371875
1977-06-08,1.3625
1977-06-09,1.375
1977-06-10,1.4
1977-06-13,1.409375
1977-06-14,1.40625
1977-06-15,1.378125
1977-06-16,1.40625
1977-06-17,1.4
1977-06-20,1.4125
1977-06-21,1.421875
1977-06-22,1.41875
1977-06-23,1.46875
1977-06-24,1.471875
1977-06-27,1.490625
1977-06-28,1.4625
1977-06-29,1.475
1977-06-30,1.496875
1977-07-01,1.48125
1977-07-05,1.49375
1977-07-06,1.490625
1977-07-07,1.515625
1977-07-08,1.5
1977-07-11,1.50625
1977-07-12,1.496875
1977-07-13,1.5
1977-07-15,1.525
1977-07-18,1.5125
1977-07-19,1.5125
1977-07-20,1.50625
1977-07-21,1.49375
1977-07-22,1.46875
1977-07-25,1.45
1977-07-26,1.45625
1977-07-27,1.45
1977-07-28,1.4625
1977-07-29,1.46875
1977-08-01,1.4875
1977-08-02,1.4625
1977-08-03,1.465625
1977-08-04,1.503125
1977-08-05,1.496875
1977-08-08,1.5
1977-08-09,1.5
1977-08-10,1.521875
1977-08-11,1.53125
1977-08-12,1.53125
1977-08-15,1.4625
1977-08-16,1.459375
1977-08-17,1.475
1977-08-18,1.46875
1977-08-19,1.45625
1977-08-22,1.45
1977-08-23,1.446875
1977-08-24,1.421875
1977-08-25,1.375
1977-08-26,1.3875
1977-08-29,1.39375
1977-08-30,1.390625
1977-08-31,1.396875
1977-09-01,1.403125
1977-09-02,1.4125
1977-09-06,1.4125
1977-09-07,1.4
1977-09-08,1.38125
1977-09-09,1.3625
1977-09-12,1.35625
1977-09-13,1.35
1977-09-14,1.359375
1977-09-15,1.3375
1977-09-16,1.328125
1977-09-19,1.33125
1977-09-20,1.33125
1977-09-21,1.340625
1977-09-22,1.334375
1977-09-23,1.33125
1977-09-26,1.33125
1977-09-27,1.328125
1977-09-28,1.334375
1977-09-29,1.35
1977-09-30,1.35625
1977-10-03,1.3625
1977-10-04,1.34375
1977-10-05,1.334375
1977-10-06,1.328125
1977-10-07,1.328125
1977-10-10,1.29375
1977-10-11,1.2125
1977-10-12,1.20625
1977-10-13,1.1875
1977-10-14,1.190625
1977-10-17,1.2
1977-10-18,1.2125
1977-10-19,1.19375
1977-10-20,1.20625
1977-10-21,1.2
1977-10-24,1.190625
1977-10-25,1.159375
1977-10-26,1.15
1977-10-27,1.125
1977-10-28,1.13125
1977-10-31,1.15
1977-11-01,1.14375
1977-11-02,1.146875
1977-11-03,1.15625
1977-11-04,1.171875
1977-11-07,1.19375
1977-11-08,1.2125
1977-11-09,1.24375
1977-11-10,1.25625
1977-11-11,1.275
1977-11-14,1.259375
1977-11-15,1.275
1977-11-16,1.25625
1977-11-17,1.246875
1977-11-18,1.20625
