Date,MOMO
2014-12-11,17.02
2014-12-12,15.15
2014-12-15,14.46
2014-12-16,13.92
2014-12-17,13.29
2014-12-18,13.76
2014-12-19,12.56
2014-12-22,10.83
2014-12-23,11.97
2014-12-24,12.03
2014-12-26,11.53
2014-12-29,11.53
2014-12-30,11.87
2014-12-31,12.0
2015-01-02,12.77
2015-01-05,13.09
2015-01-06,12.16
2015-01-07,12.25
2015-01-08,12.08
2015-01-09,12.07
2015-01-12,11.97
2015-01-13,10.78
2015-01-14,10.73
2015-01-15,11.12
2015-01-16,10.95
2015-01-20,10.91
2015-01-21,11.2
2015-01-22,10.81
2015-01-23,10.49
2015-01-26,10.33
2015-01-27,10.02
2015-01-28,10.28
2015-01-29,9.94
2015-01-30,9.84
2015-02-02,9.82
2015-02-03,10.19
2015-02-04,10.71
2015-02-05,10.48
2015-02-06,10.335
2015-02-09,10.38
2015-02-10,10.27
2015-02-11,10.25
2015-02-12,11.49
2015-02-13,11.02
2015-02-17,11.22
2015-02-18,11.21
2015-02-19,11.15
2015-02-20,11.5
2015-02-23,11.5
2015-02-24,12.27
2015-02-25,12.52
2015-02-26,12.52
2015-02-27,11.31
2015-03-02,12.0
2015-03-03,12.18
2015-03-04,12.55
2015-03-05,11.09
2015-03-06,11.03
2015-03-09,10.93
2015-03-10,10.44
2015-03-11,10.62
2015-03-12,10.28
2015-03-13,10.02
2015-03-16,10.3
2015-03-17,10.0
2015-03-18,10.01
2015-03-19,10.02
2015-03-20,10.41
2015-03-23,10.4
2015-03-24,10.44
2015-03-25,10.29
2015-03-26,10.52
2015-03-27,10.7
2015-03-30,10.5
2015-03-31,10.6
2015-04-01,10.59
2015-04-02,10.51
2015-04-06,10.85
2015-04-07,10.5
2015-04-08,11.17
2015-04-09,11.96
2015-04-10,11.52
2015-04-13,11.2
2015-04-14,11.41
2015-04-15,10.99
2015-04-16,11.26
2015-04-17,10.92
2015-04-20,10.99
2015-04-21,11.0
2015-04-22,11.2
2015-04-23,11.39
2015-04-24,12.41
2015-04-27,11.93
2015-04-28,11.7
2015-04-29,11.36
2015-04-30,11.05
2015-05-01,11.17
2015-05-04,11.26
2015-05-05,10.88
2015-05-06,10.96
2015-05-07,10.93
2015-05-08,11.29
2015-05-11,11.07
2015-05-12,11.1
2015-05-13,10.98
2015-05-14,12.38
2015-05-15,12.39
2015-05-18,12.82
2015-05-19,16.27
2015-05-20,17.200001
2015-05-21,16.85
2015-05-22,17.9
2015-05-26,18.940001000000002
2015-05-27,19.110001
2015-05-28,18.34
2015-05-29,18.059998999999998
2015-06-01,17.02
2015-06-02,17.049999
2015-06-03,17.51
2015-06-04,16.98
2015-06-05,17.129998999999998
2015-06-08,17.040001
2015-06-09,16.0
2015-06-10,15.8
2015-06-11,15.46
2015-06-12,15.65
2015-06-15,15.63
2015-06-16,15.6
2015-06-17,16.41
2015-06-18,16.99
2015-06-19,16.83
2015-06-22,15.69
2015-06-23,17.24
2015-06-24,17.219998999999998
2015-06-25,17.059998999999998
2015-06-26,16.530001000000002
2015-06-29,15.83
2015-06-30,16.1
2015-07-01,15.88
2015-07-02,16.110001
2015-07-06,14.75
2015-07-07,13.96
2015-07-08,13.68
2015-07-09,15.05
2015-07-10,15.28
2015-07-13,15.73
2015-07-14,16.1
2015-07-15,15.57
2015-07-16,15.77
2015-07-17,16.0
2015-07-20,15.93
2015-07-21,15.93
2015-07-22,16.200001
2015-07-23,16.0
2015-07-24,15.97
2015-07-27,15.72
2015-07-28,15.94
2015-07-29,16.059998999999998
2015-07-30,16.18
2015-07-31,16.190001000000002
2015-08-03,16.52
2015-08-04,16.459999
2015-08-05,16.4
2015-08-06,16.040001
2015-08-07,15.95
2015-08-10,16.469998999999998
2015-08-11,15.89
2015-08-12,15.68
2015-08-13,15.72
2015-08-14,16.129998999999998
2015-08-17,16.360001
2015-08-18,16.120001000000002
2015-08-19,15.98
2015-08-20,14.81
2015-08-21,13.78
2015-08-24,12.29
2015-08-25,12.42
2015-08-26,11.94
2015-08-27,12.3
2015-08-28,12.37
2015-08-31,11.66
2015-09-01,11.28
2015-09-02,10.99
2015-09-03,10.97
2015-09-04,10.84
2015-09-08,10.99
2015-09-09,11.53
2015-09-10,11.56
2015-09-11,11.52
2015-09-14,11.02
2015-09-15,10.98
2015-09-16,11.0
2015-09-17,11.04
2015-09-18,10.99
2015-09-21,11.04
2015-09-22,11.06
2015-09-23,10.96
2015-09-24,12.04
2015-09-25,12.46
2015-09-28,12.05
2015-09-29,12.11
2015-09-30,12.5
2015-10-01,12.49
2015-10-02,13.0
2015-10-05,13.0
2015-10-06,13.0
2015-10-07,12.98
2015-10-08,12.98
2015-10-09,12.62
2015-10-12,13.5
2015-10-13,13.32
2015-10-14,12.78
2015-10-15,13.01
2015-10-16,13.11
2015-10-19,13.19
2015-10-20,13.14
2015-10-21,12.86
2015-10-22,12.69
2015-10-23,12.75
2015-10-26,12.65
2015-10-27,12.84
2015-10-28,12.78
2015-10-29,13.27
2015-10-30,13.43
2015-11-02,12.89
2015-11-03,13.34
2015-11-04,13.79
2015-11-05,13.42
2015-11-06,14.19
2015-11-09,13.3
2015-11-10,13.18
2015-11-11,12.78
2015-11-12,13.25
2015-11-13,12.67
2015-11-16,12.62
2015-11-17,12.6
2015-11-18,12.63
2015-11-19,12.82
2015-11-20,12.9
2015-11-23,13.95
2015-11-24,13.42
2015-11-25,13.4
2015-11-27,13.2
2015-11-30,13.27
2015-12-01,13.96
2015-12-02,13.93
2015-12-03,14.09
2015-12-04,14.23
2015-12-07,15.14
2015-12-08,15.15
2015-12-09,14.99
2015-12-10,14.92
2015-12-11,14.68
2015-12-14,15.02
2015-12-15,15.47
2015-12-16,15.67
2015-12-17,15.32
2015-12-18,15.65
2015-12-21,16.049999
2015-12-22,16.459999
2015-12-23,16.42
2015-12-24,16.49
2015-12-28,16.040001
2015-12-29,16.129998999999998
2015-12-30,16.049999
2015-12-31,16.02
2016-01-04,15.46
2016-01-05,15.64
2016-01-06,15.55
2016-01-07,14.41
2016-01-08,14.33
2016-01-11,13.44
2016-01-12,13.79
2016-01-13,13.6
2016-01-14,13.51
2016-01-15,12.99
2016-01-19,12.8
2016-01-20,12.29
2016-01-21,12.48
2016-01-22,12.4
2016-01-25,12.08
2016-01-26,12.37
2016-01-27,11.93
2016-01-28,11.75
2016-01-29,11.91
2016-02-01,11.76
2016-02-02,11.17
2016-02-03,10.64
2016-02-04,10.87
2016-02-05,10.43
2016-02-08,9.48
2016-02-09,8.09
2016-02-10,7.94
2016-02-11,7.79
2016-02-12,7.49
2016-02-16,8.77
2016-02-17,9.15
2016-02-18,9.02
2016-02-19,9.26
2016-02-22,10.02
2016-02-23,12.0
2016-02-24,12.09
2016-02-25,11.93
2016-02-26,11.96
2016-02-29,11.78
2016-03-01,12.01
2016-03-02,12.16
2016-03-03,12.65
2016-03-04,13.58
2016-03-07,13.34
2016-03-08,13.51
2016-03-09,13.52
2016-03-10,12.81
2016-03-11,13.14
2016-03-14,13.16
2016-03-15,12.04
2016-03-16,12.25
2016-03-17,11.97
2016-03-18,12.79
2016-03-21,12.88
2016-03-22,12.73
2016-03-23,12.17
2016-03-24,12.18
2016-03-28,11.91
2016-03-29,11.51
2016-03-30,11.43
2016-03-31,11.24
2016-04-01,10.93
2016-04-04,12.19
2016-04-05,12.04
2016-04-06,16.09
2016-04-07,16.309998999999998
2016-04-08,16.42
2016-04-11,16.58
2016-04-12,16.41
2016-04-13,16.41
2016-04-14,16.43
2016-04-15,16.49
2016-04-18,16.629998999999998
2016-04-19,16.51
2016-04-20,16.51
2016-04-21,16.52
2016-04-22,16.450001
2016-04-25,16.49
2016-04-26,16.530001000000002
2016-04-27,16.5
2016-04-28,16.51
2016-04-29,16.440001000000002
2016-05-02,16.459999
2016-05-03,16.440001000000002
2016-05-04,16.459999
2016-05-05,15.57
2016-05-06,14.58
2016-05-09,12.27
2016-05-10,13.08
2016-05-11,10.76
2016-05-12,11.4
2016-05-13,11.68
2016-05-16,12.01
2016-05-17,12.99
2016-05-18,13.04
2016-05-19,12.16
2016-05-20,12.67
2016-05-23,12.35
2016-05-24,12.9
2016-05-25,11.99
2016-05-26,12.34
2016-05-27,12.57
2016-05-31,12.78
2016-06-01,12.63
2016-06-02,12.67
2016-06-03,12.53
2016-06-06,12.92
2016-06-07,12.82
2016-06-08,12.61
2016-06-09,12.54
2016-06-10,12.18
2016-06-13,12.37
2016-06-14,12.02
2016-06-15,12.08
2016-06-16,11.17
2016-06-17,11.45
2016-06-20,11.51
2016-06-21,11.22
2016-06-22,10.75
2016-06-23,10.74
2016-06-24,10.7
2016-06-27,10.24
2016-06-28,10.43
2016-06-29,10.18
2016-06-30,10.11
2016-07-01,9.95
2016-07-05,9.36
2016-07-06,9.91
2016-07-07,11.65
2016-07-08,11.68
2016-07-11,12.55
2016-07-12,12.62
2016-07-13,12.21
2016-07-14,12.69
2016-07-15,12.5
2016-07-18,12.76
2016-07-19,12.77
2016-07-20,13.1
2016-07-21,12.98
2016-07-22,13.15
2016-07-25,13.53
2016-07-26,13.5
2016-07-27,13.39
2016-07-28,13.21
2016-07-29,13.23
2016-08-01,14.44
2016-08-02,15.01
2016-08-03,14.92
2016-08-04,14.88
2016-08-05,14.71
2016-08-08,14.92
2016-08-09,14.89
2016-08-10,14.79
2016-08-11,14.94
2016-08-12,15.0
2016-08-15,16.129998999999998
2016-08-16,16.09
2016-08-17,15.58
2016-08-18,16.01
2016-08-19,16.040001
2016-08-22,17.309998999999998
2016-08-23,19.799999
2016-08-24,19.610001
2016-08-25,20.940001000000002
2016-08-26,21.6
2016-08-29,22.01
2016-08-30,22.610001
2016-08-31,24.01
2016-09-01,24.0
2016-09-02,24.48
2016-09-06,24.280001000000002
2016-09-07,24.02
2016-09-08,24.469998999999998
2016-09-09,21.66
2016-09-12,23.59
2016-09-13,22.5
2016-09-14,22.92
2016-09-15,23.620001000000002
2016-09-16,24.030001000000002
2016-09-19,23.49
2016-09-20,23.639999
2016-09-21,23.469998999999998
