Date,KKR
2010-07-15,10.2
2010-07-16,9.69
2010-07-19,9.79
2010-07-20,9.25
2010-07-21,8.8
2010-07-22,9.3
2010-07-23,9.5
2010-07-26,9.69
2010-07-27,9.85
2010-07-28,9.59
2010-07-29,9.48
2010-07-30,9.05
2010-08-02,9.44
2010-08-03,9.53
2010-08-04,9.54
2010-08-05,9.9
2010-08-06,9.86
2010-08-09,9.89
2010-08-10,9.83
2010-08-11,9.82
2010-08-12,10.06
2010-08-13,10.16
2010-08-16,9.99
2010-08-17,10.39
2010-08-18,10.54
2010-08-19,10.42
2010-08-20,10.3
2010-08-23,10.11
2010-08-24,10.17
2010-08-25,10.12
2010-08-26,10.06
2010-08-27,10.23
2010-08-30,10.04
2010-08-31,10.02
2010-09-01,10.24
2010-09-02,10.21
2010-09-03,10.25
2010-09-07,10.25
2010-09-08,10.25
2010-09-09,10.17
2010-09-10,10.16
2010-09-13,10.28
2010-09-14,10.11
2010-09-15,10.18
2010-09-16,10.2
2010-09-17,10.2
2010-09-20,10.11
2010-09-21,10.1
2010-09-22,10.25
2010-09-23,10.28
2010-09-24,10.64
2010-09-27,10.68
2010-09-28,10.49
2010-09-29,10.6
2010-09-30,10.6
2010-10-01,10.84
2010-10-04,10.73
2010-10-05,10.83
2010-10-06,10.5
2010-10-07,10.58
2010-10-08,11.1
2010-10-11,11.0
2010-10-12,11.29
2010-10-13,11.36
2010-10-14,11.2
2010-10-15,10.98
2010-10-18,11.22
2010-10-19,10.95
2010-10-20,11.38
2010-10-21,11.8
2010-10-22,11.76
2010-10-25,11.96
2010-10-26,11.93
2010-10-27,12.11
2010-10-28,12.36
2010-10-29,12.68
2010-11-01,12.51
2010-11-02,12.65
2010-11-03,12.7
2010-11-04,13.39
2010-11-05,13.25
2010-11-08,13.22
2010-11-09,12.76
2010-11-10,12.93
2010-11-11,13.27
2010-11-12,13.2
2010-11-15,13.04
2010-11-16,12.74
2010-11-17,12.65
2010-11-18,12.75
2010-11-19,12.8
2010-11-22,12.78
2010-11-23,12.76
2010-11-24,12.84
2010-11-26,12.83
2010-11-29,12.74
2010-11-30,12.58
2010-12-01,12.65
2010-12-02,12.77
2010-12-03,12.77
2010-12-06,12.89
2010-12-07,13.07
2010-12-08,13.28
2010-12-09,13.38
2010-12-10,13.41
2010-12-13,13.44
2010-12-14,13.47
2010-12-15,13.55
2010-12-16,13.33
2010-12-17,13.38
2010-12-20,13.57
2010-12-21,14.49
2010-12-22,14.53
2010-12-23,14.5
2010-12-27,14.42
2010-12-28,14.15
2010-12-29,14.4
2010-12-30,14.33
2010-12-31,14.2
2011-01-03,14.5
2011-01-04,14.45
2011-01-05,15.14
2011-01-06,15.23
2011-01-07,14.97
2011-01-10,15.09
2011-01-11,15.0
2011-01-12,15.22
2011-01-13,15.65
2011-01-14,15.68
2011-01-18,15.7
2011-01-19,15.25
2011-01-20,15.04
2011-01-21,15.11
2011-01-24,15.07
2011-01-25,14.83
2011-01-26,14.96
2011-01-27,14.98
2011-01-28,14.99
2011-01-31,14.99
2011-02-01,15.54
2011-02-02,15.98
2011-02-03,16.610001
2011-02-04,16.99
2011-02-07,16.780001000000002
2011-02-08,16.290001
2011-02-09,16.24
2011-02-10,16.17
2011-02-11,16.08
2011-02-14,16.27
2011-02-15,16.27
2011-02-16,16.27
2011-02-17,16.200001
2011-02-18,16.290001
2011-02-22,16.18
2011-02-23,16.370001000000002
2011-02-24,16.700001
2011-02-25,17.190001000000002
2011-02-28,16.66
2011-03-01,16.360001
2011-03-02,17.389999
2011-03-03,17.67
2011-03-04,17.68
2011-03-07,17.43
2011-03-08,17.51
2011-03-09,17.42
2011-03-10,17.23
2011-03-11,17.41
2011-03-14,17.280001000000002
2011-03-15,16.59
2011-03-16,15.83
2011-03-17,16.41
2011-03-18,16.280001000000002
2011-03-21,16.799999
2011-03-22,17.0
2011-03-23,17.110001
2011-03-24,17.639999
2011-03-25,17.84
2011-03-28,17.610001
2011-03-29,17.41
2011-03-30,16.82
2011-03-31,16.41
2011-04-01,16.91
2011-04-04,17.139999
2011-04-05,17.41
2011-04-06,17.42
2011-04-07,17.389999
2011-04-08,17.389999
2011-04-11,17.4
2011-04-12,17.59
2011-04-13,17.950001
2011-04-14,17.809998999999998
