Date,TFC
1980-03-18,1.888889
1980-03-19,1.822222
1980-03-20,1.822222
1980-03-21,1.8
1980-03-24,1.7555560000000001
1980-03-25,1.711111
1980-03-26,1.6888889999999999
1980-03-27,1.6888889999999999
1980-03-28,1.6888889999999999
1980-03-31,1.6888889999999999
1980-04-01,1.6888889999999999
1980-04-02,1.6888889999999999
1980-04-03,1.6888889999999999
1980-04-07,1.6888889999999999
1980-04-08,1.6444439999999998
1980-04-09,1.6444439999999998
1980-04-10,1.6444439999999998
1980-04-11,1.6444439999999998
1980-04-14,1.6444439999999998
1980-04-15,1.6444439999999998
1980-04-16,1.6444439999999998
1980-04-17,1.6444439999999998
1980-04-18,1.6444439999999998
1980-04-21,1.6444439999999998
1980-04-22,1.6444439999999998
1980-04-23,1.6444439999999998
1980-04-24,1.6444439999999998
1980-04-25,1.6444439999999998
1980-04-28,1.6444439999999998
1980-04-29,1.6444439999999998
1980-04-30,1.6444439999999998
1980-05-01,1.6444439999999998
1980-05-02,1.666667
1980-05-05,1.666667
1980-05-06,1.666667
1980-05-07,1.666667
1980-05-08,1.666667
1980-05-09,1.666667
1980-05-12,1.666667
1980-05-13,1.666667
1980-05-14,1.666667
1980-05-15,1.666667
1980-05-16,1.666667
1980-05-19,1.666667
1980-05-20,1.666667
1980-05-21,1.666667
1980-05-22,1.666667
1980-05-23,1.6888889999999999
1980-05-27,1.6888889999999999
1980-05-28,1.6888889999999999
1980-05-29,1.711111
1980-05-30,1.711111
1980-06-02,1.7333330000000002
1980-06-03,1.7333330000000002
1980-06-04,1.7333330000000002
1980-06-05,1.7333330000000002
1980-06-06,1.7333330000000002
1980-06-09,1.7333330000000002
1980-06-10,1.7555560000000001
1980-06-11,1.7555560000000001
1980-06-12,1.7555560000000001
1980-06-13,1.7555560000000001
1980-06-16,1.7555560000000001
1980-06-17,1.7555560000000001
1980-06-18,1.7555560000000001
1980-06-19,1.7555560000000001
1980-06-20,1.7555560000000001
1980-06-23,1.7555560000000001
1980-06-24,1.7555560000000001
1980-06-25,1.7555560000000001
1980-06-26,1.7555560000000001
1980-06-27,1.7555560000000001
1980-06-30,1.7555560000000001
1980-07-01,1.7777779999999999
1980-07-02,1.7777779999999999
1980-07-03,1.7777779999999999
1980-07-07,1.7777779999999999
1980-07-08,1.7777779999999999
1980-07-09,1.7777779999999999
1980-07-10,1.7777779999999999
1980-07-11,1.822222
1980-07-14,1.8666669999999999
1980-07-15,1.8666669999999999
1980-07-16,1.8666669999999999
1980-07-17,1.8666669999999999
1980-07-18,1.8666669999999999
1980-07-21,1.888889
1980-07-22,1.888889
1980-07-23,1.911111
1980-07-24,1.911111
1980-07-25,1.911111
1980-07-28,1.911111
1980-07-29,1.911111
1980-07-30,1.911111
1980-07-31,1.911111
1980-08-01,1.911111
