Date,CB
1993-03-25,9.541667
1993-03-26,9.583333
1993-03-29,9.458333
1993-03-30,9.458333
1993-03-31,9.666667
1993-04-01,9.541667
1993-04-02,9.5
1993-04-05,9.375
1993-04-06,9.5
1993-04-07,9.708333
1993-04-08,9.625
1993-04-12,9.541667
1993-04-13,9.583333
1993-04-14,9.541667
1993-04-15,9.666667
1993-04-16,9.708333
1993-04-19,9.666667
1993-04-20,9.416667
1993-04-21,9.458333
1993-04-22,9.416667
1993-04-23,9.458333
1993-04-26,9.166667
1993-04-27,9.208333
1993-04-28,9.166667
1993-04-29,9.166667
1993-04-30,9.541667
1993-05-03,9.666667
1993-05-04,9.916667
1993-05-05,10.583333
1993-05-06,10.375
1993-05-07,10.333333
1993-05-10,10.333333
1993-05-11,10.375
1993-05-12,10.375
1993-05-13,10.041667
1993-05-14,10.041667
1993-05-17,9.958333
1993-05-18,9.958333
1993-05-19,10.166667
1993-05-20,10.083333
1993-05-21,10.041667
1993-05-24,10.041667
1993-05-25,9.875
1993-05-26,9.666667
1993-05-27,9.625
1993-05-28,9.541667
1993-06-01,9.5
1993-06-02,9.416667
1993-06-03,9.333333
1993-06-04,9.25
1993-06-07,9.0
1993-06-08,8.791667
1993-06-09,8.833333
1993-06-10,8.791667
1993-06-11,8.666667
1993-06-14,8.708333
1993-06-15,8.625
1993-06-16,8.583333
1993-06-17,8.583333
1993-06-18,8.666667
1993-06-21,8.916667
1993-06-22,9.125
1993-06-23,9.166667
1993-06-24,9.25
1993-06-25,9.541667
1993-06-28,9.583333
1993-06-29,9.666667
1993-06-30,9.916667
1993-07-01,9.833333
1993-07-02,9.833333
1993-07-06,9.708333
1993-07-07,9.5
1993-07-08,9.541667
1993-07-09,9.666667
1993-07-12,9.833333
1993-07-13,9.875
1993-07-14,9.75
1993-07-15,9.833333
1993-07-16,9.75
1993-07-19,9.75
1993-07-20,9.75
1993-07-21,9.583333
1993-07-22,9.458333
1993-07-23,9.416667
1993-07-26,9.5
1993-07-27,9.375
1993-07-28,9.416667
1993-07-29,9.458333
1993-07-30,9.375
1993-08-02,9.333333
1993-08-03,9.5
1993-08-04,9.625
1993-08-05,9.75
1993-08-06,10.166667
1993-08-09,10.875
1993-08-10,10.75
1993-08-11,10.791667
1993-08-12,10.791667
1993-08-13,10.791667
1993-08-16,10.833333
1993-08-17,10.875
1993-08-18,11.166667
1993-08-19,11.791667
1993-08-20,12.0
1993-08-23,11.666667
1993-08-24,11.333333
1993-08-25,11.458333
1993-08-26,11.458333
1993-08-27,11.375
1993-08-30,11.541667
1993-08-31,11.583333
