Date,TVTY
1991-08-13,2.388889
1991-08-14,2.388889
1991-08-15,2.388889
1991-08-16,2.333333
1991-08-19,2.305556
1991-08-20,2.333333
1991-08-21,2.444444
1991-08-22,2.5
1991-08-23,2.416667
1991-08-26,2.472222
1991-08-27,2.555556
1991-08-28,2.555556
1991-08-29,2.472222
1991-08-30,2.444444
1991-09-03,2.527778
1991-09-04,2.444444
1991-09-05,2.555556
1991-09-06,2.388889
1991-09-09,2.555556
1991-09-10,2.388889
1991-09-11,2.333333
1991-09-12,2.333333
1991-09-13,2.444444
1991-09-16,2.388889
1991-09-17,2.222222
1991-09-18,2.222222
1991-09-19,2.222222
1991-09-20,2.194444
1991-09-23,2.305556
1991-09-24,2.333333
1991-09-25,2.5
1991-09-26,2.5
1991-09-27,2.722222
1991-09-30,2.5
1991-10-01,2.722222
1991-10-02,2.833333
1991-10-03,2.833333
1991-10-04,2.944444
1991-10-07,3.0
1991-10-08,2.944444
1991-10-09,2.944444
1991-10-10,3.111111
1991-10-11,3.222222
1991-10-14,3.388889
1991-10-15,3.5555559999999997
1991-10-16,3.4444440000000003
1991-10-17,3.388889
1991-10-18,3.4444440000000003
1991-10-21,3.4444440000000003
1991-10-22,3.4444440000000003
1991-10-23,3.5555559999999997
1991-10-24,3.4444440000000003
1991-10-25,3.388889
1991-10-28,3.277778
1991-10-29,3.333333
1991-10-30,3.5
1991-10-31,3.5
1991-11-01,3.5
1991-11-04,3.5555559999999997
1991-11-05,3.5
1991-11-06,3.4444440000000003
1991-11-07,3.333333
1991-11-08,3.5
1991-11-11,3.333333
1991-11-12,3.666667
1991-11-13,3.666667
1991-11-14,3.6944440000000003
1991-11-15,3.5
1991-11-18,3.4444440000000003
1991-11-19,3.111111
1991-11-20,3.166667
1991-11-21,3.111111
1991-11-22,3.277778
1991-11-25,3.222222
1991-11-26,3.222222
1991-11-27,3.277778
1991-11-29,3.222222
1991-12-02,3.333333
1991-12-03,3.388889
1991-12-04,3.388889
1991-12-05,3.166667
1991-12-06,3.4444440000000003
1991-12-09,3.611111
1991-12-10,3.388889
1991-12-11,3.388889
1991-12-12,3.277778
1991-12-13,3.222222
1991-12-16,3.333333
1991-12-17,3.4444440000000003
1991-12-18,3.5
1991-12-19,3.333333
1991-12-20,3.5555559999999997
1991-12-23,3.611111
1991-12-24,3.611111
1991-12-26,3.861111
1991-12-27,4.3333330000000005
1991-12-30,4.555555
1991-12-31,4.388889
1992-01-02,4.3333330000000005
1992-01-03,4.1666669999999995
1992-01-06,4.055555
1992-01-07,4.1666669999999995
1992-01-08,4.277778
1992-01-09,4.444445
1992-01-10,4.388889
1992-01-13,4.611111
1992-01-14,4.5
1992-01-15,4.6666669999999995
1992-01-16,4.5
1992-01-17,4.611111
1992-01-20,4.388889
1992-01-21,4.111111
1992-01-22,4.222222
1992-01-23,4.222222
1992-01-24,4.222222
1992-01-27,4.277778
1992-01-28,4.444445
1992-01-29,4.3333330000000005
1992-01-30,4.444445
1992-01-31,4.444445
1992-02-03,4.444445
1992-02-04,4.555555
1992-02-05,4.444445
1992-02-06,4.611111
1992-02-07,4.555555
1992-02-10,4.5
1992-02-11,4.5
1992-02-12,5.0
1992-02-13,4.888889
1992-02-14,4.888889
1992-02-18,4.722222
1992-02-19,4.444445
1992-02-20,4.3333330000000005
1992-02-21,4.277778
1992-02-24,4.0
1992-02-25,4.111111
1992-02-26,4.444445
1992-02-27,4.1666669999999995
1992-02-28,4.277778
1992-03-02,4.222222
1992-03-03,4.055555
1992-03-04,4.0
1992-03-05,4.111111
1992-03-06,4.027778
1992-03-09,4.0
1992-03-10,4.1666669999999995
1992-03-11,4.111111
1992-03-12,4.1666669999999995
1992-03-13,4.222222
1992-03-16,4.194445
1992-03-17,4.055555
1992-03-18,4.1666669999999995
1992-03-19,4.0
1992-03-20,4.055555
1992-03-23,4.1666669999999995
1992-03-24,4.1666669999999995
1992-03-25,3.888889
1992-03-26,4.055555
1992-03-27,4.055555
1992-03-30,3.888889
1992-03-31,3.9444440000000003
1992-04-01,3.833333
1992-04-02,3.888889
1992-04-03,3.611111
1992-04-06,3.861111
1992-04-07,3.777778
1992-04-08,3.638889
1992-04-09,3.611111
1992-04-10,3.666667
1992-04-13,3.666667
1992-04-14,3.722222
1992-04-15,3.666667
1992-04-16,3.833333
1992-04-20,3.777778
1992-04-21,3.638889
1992-04-22,3.5555559999999997
1992-04-23,3.666667
1992-04-24,3.722222
1992-04-27,3.722222
1992-04-28,3.611111
1992-04-29,3.777778
1992-04-30,3.777778
1992-05-01,3.833333
1992-05-04,3.777778
1992-05-05,3.777778
