Date,AZUL
2018-03-13,34.139998999999996
2018-03-14,34.060001
2018-03-15,33.349998
2018-03-16,33.470001
2018-03-19,32.900002
2018-03-20,33.32
2018-03-21,34.150002
2018-03-22,33.73
2018-03-23,33.639998999999996
2018-03-26,34.310001
2018-03-27,34.099998
2018-03-28,33.779999
2018-03-29,34.75
2018-04-02,33.810001
2018-04-03,33.77
2018-04-04,33.09
2018-04-05,33.279999
2018-04-06,34.040001000000004
2018-04-09,33.849998
2018-04-10,33.049999
2018-04-11,32.27
2018-04-12,32.560001
2018-04-13,32.259997999999996
2018-04-16,31.58
2018-04-17,32.330002
2018-04-18,32.759997999999996
2018-04-19,32.439999
2018-04-20,32.279999
2018-04-23,31.959999
2018-04-24,31.09
2018-04-25,29.290001
2018-04-26,29.700001
2018-04-27,30.9
2018-04-30,31.0
2018-05-01,30.790001
2018-05-02,30.16
2018-05-03,28.66
2018-05-04,28.65
2018-05-07,27.6
2018-05-08,27.540001
2018-05-09,25.709999
2018-05-10,26.860001
2018-05-11,25.360001
2018-05-14,24.25
2018-05-15,22.82
2018-05-16,22.35
2018-05-17,20.889999
2018-05-18,21.25
2018-05-21,22.290001
2018-05-22,23.5
2018-05-23,22.889999
2018-05-24,22.41
2018-05-25,23.08
2018-05-29,21.68
2018-05-30,21.49
2018-05-31,21.379998999999998
2018-06-01,21.110001
2018-06-04,21.610001
2018-06-05,20.059998999999998
2018-06-06,19.190001000000002
2018-06-07,17.799999
2018-06-08,18.809998999999998
2018-06-11,19.5
2018-06-12,19.360001
2018-06-13,19.290001
2018-06-14,18.85
2018-06-15,18.459999
2018-06-18,18.030001000000002
2018-06-19,18.52
2018-06-20,18.450001
2018-06-21,17.809998999999998
2018-06-22,17.799999
2018-06-25,17.540001
2018-06-26,17.309998999999998
2018-06-27,16.51
2018-06-28,16.700001
2018-06-29,16.360001
2018-07-02,15.79
2018-07-03,16.0
2018-07-05,15.65
2018-07-06,16.129998999999998
2018-07-09,16.4
2018-07-10,16.290001
2018-07-11,16.15
2018-07-12,16.84
2018-07-13,17.08
2018-07-16,17.629998999999998
2018-07-17,18.459999
2018-07-18,18.610001
2018-07-19,18.469998999999998
2018-07-20,19.120001000000002
2018-07-23,19.469998999999998
2018-07-24,19.809998999999998
2018-07-25,20.74
2018-07-26,20.290001
2018-07-27,20.280001000000002
2018-07-30,19.57
2018-07-31,19.15
2018-08-01,18.879998999999998
2018-08-02,18.940001000000002
2018-08-03,19.889999
2018-08-06,19.52
2018-08-07,19.32
2018-08-08,18.48
2018-08-09,18.9
2018-08-10,17.75
2018-08-13,18.1
2018-08-14,18.719998999999998
2018-08-15,18.620001000000002
2018-08-16,19.110001
2018-08-17,18.73
2018-08-20,18.549999
2018-08-21,17.719998999999998
2018-08-22,16.5
2018-08-23,16.120001000000002
2018-08-24,16.09
2018-08-27,16.58
2018-08-28,16.4
2018-08-29,16.57
2018-08-30,16.030001000000002
2018-08-31,16.82
2018-09-04,16.09
2018-09-05,16.129998999999998
2018-09-06,16.559998999999998
2018-09-07,17.27
2018-09-10,16.84
2018-09-11,15.87
2018-09-12,15.95
2018-09-13,15.85
2018-09-14,16.290001
2018-09-17,17.07
2018-09-18,17.059998999999998
2018-09-19,17.290001
2018-09-20,17.98
2018-09-21,18.5
2018-09-24,17.43
2018-09-25,17.360001
2018-09-26,17.67
2018-09-27,18.26
2018-09-28,17.790001
2018-10-01,16.959999
2018-10-02,18.030001000000002
2018-10-03,18.799999
2018-10-04,18.93
2018-10-05,19.219998999999998
2018-10-08,21.950001
2018-10-09,22.719998999999998
2018-10-10,21.059998999999998
2018-10-11,20.549999
2018-10-12,20.790001
2018-10-15,21.4
2018-10-16,21.860001
2018-10-17,22.66
2018-10-18,22.639999
2018-10-19,22.34
2018-10-22,23.190001000000002
2018-10-23,23.190001000000002
2018-10-24,22.01
2018-10-25,22.5
2018-10-26,23.799999
2018-10-29,23.049999
2018-10-30,24.92
2018-10-31,24.379998999999998
2018-11-01,25.23
2018-11-02,25.32
2018-11-05,25.629998999999998
2018-11-06,25.290001
2018-11-07,25.0
2018-11-08,24.459999
2018-11-09,25.5
2018-11-12,25.799999
2018-11-13,25.889999
2018-11-14,26.17
2018-11-15,27.01
2018-11-16,27.700001
2018-11-19,27.35
2018-11-20,26.75
2018-11-21,27.469998999999998
2018-11-23,27.52
2018-11-26,25.17
2018-11-27,25.879998999999998
2018-11-28,26.74
2018-11-29,26.450001
2018-11-30,26.99
2018-12-03,25.610001
2018-12-04,24.790001
2018-12-06,25.299999
2018-12-07,23.969998999999998
2018-12-10,23.469998999999998
2018-12-11,25.26
2018-12-12,25.969998999999998
2018-12-13,26.01
2018-12-14,25.700001
2018-12-17,24.450001
2018-12-18,25.219998999999998
2018-12-19,24.809998999999998
2018-12-20,26.030001000000002
2018-12-21,26.26
2018-12-24,26.33
2018-12-26,26.92
2018-12-27,26.950001
2018-12-28,27.290001
2018-12-31,27.690001000000002
2019-01-02,28.709999
2019-01-03,28.77
2019-01-04,28.99
2019-01-07,28.040001
2019-01-08,27.790001
2019-01-09,28.200001
2019-01-10,28.76
2019-01-11,29.959999
2019-01-14,30.23
2019-01-15,29.68
2019-01-16,29.219998999999998
2019-01-17,29.48
2019-01-18,29.129998999999998
2019-01-22,27.75
2019-01-23,28.540001
2019-01-24,28.5
2019-01-25,28.700001
2019-01-28,28.16
2019-01-29,27.84
2019-01-30,28.99
2019-01-31,30.25
2019-02-01,30.32
2019-02-04,30.969998999999998
2019-02-05,31.58
2019-02-06,30.040001
2019-02-07,29.440001000000002
2019-02-08,29.66
2019-02-11,29.58
2019-02-12,30.82
2019-02-13,30.459999
2019-02-14,30.84
2019-02-15,30.950001
2019-02-19,30.950001
2019-02-20,30.450001
2019-02-21,29.690001000000002
2019-02-22,30.1
2019-02-25,30.389999
2019-02-26,30.75
2019-02-27,30.42
2019-02-28,29.77
2019-03-01,28.950001
2019-03-04,29.01
2019-03-05,29.450001
2019-03-06,28.690001000000002
2019-03-07,28.110001
2019-03-08,28.65
2019-03-11,30.77
2019-03-12,31.370001000000002
2019-03-13,31.700001
2019-03-14,31.9
2019-03-15,32.220001
2019-03-18,33.169998
2019-03-19,33.220001
2019-03-20,32.709998999999996
2019-03-21,32.290001000000004
2019-03-22,30.24
2019-03-25,30.5
2019-03-26,30.639999
2019-03-27,28.51
2019-03-28,28.309998999999998
2019-03-29,29.209999
2019-04-01,30.01
2019-04-02,29.98
2019-04-03,30.290001
2019-04-04,30.07
2019-04-05,29.030001000000002
2019-04-08,28.16
2019-04-09,27.780001000000002
2019-04-10,28.1
2019-04-11,27.1
2019-04-12,25.99
2019-04-15,25.450001
2019-04-16,25.4
2019-04-17,24.18
2019-04-18,25.879998999999998
2019-04-22,25.77
2019-04-23,26.059998999999998
2019-04-24,25.24
2019-04-25,25.129998999999998
2019-04-26,25.450001
2019-04-29,25.530001000000002
2019-04-30,25.959999
2019-05-01,25.65
2019-05-02,26.15
2019-05-03,27.139999
2019-05-06,26.6
2019-05-07,26.450001
2019-05-08,28.25
2019-05-09,28.549999
2019-05-10,28.93
2019-05-13,27.530001000000002
2019-05-14,26.389999
2019-05-15,25.860001
2019-05-16,24.85
2019-05-17,23.940001000000002
2019-05-20,24.35
2019-05-21,25.85
2019-05-22,26.4
2019-05-23,25.969998999999998
2019-05-24,26.379998999999998
2019-05-28,28.23
2019-05-29,28.68
2019-05-30,29.48
2019-05-31,29.77
2019-06-03,30.42
2019-06-04,30.889999
2019-06-05,31.18
2019-06-06,32.849998
2019-06-07,33.5
2019-06-10,33.869999
2019-06-11,33.799999
2019-06-12,33.959998999999996
2019-06-13,34.259997999999996
