Date,VRRM
2017-03-24,10.0
2017-03-27,10.0
2017-03-28,10.0
2017-03-29,10.0
2017-03-30,10.0
2017-03-31,10.0
2017-04-03,10.0
2017-04-04,10.0
2017-04-05,10.0
2017-04-06,10.0
2017-04-07,10.0
2017-04-10,10.1
2017-04-11,10.1
2017-04-12,10.1
2017-04-13,10.1
2017-04-17,10.1
2017-04-18,10.1
2017-04-19,10.0
2017-04-20,10.0
2017-04-21,10.0
2017-04-24,10.0
2017-04-25,10.0
2017-04-26,10.0
2017-04-27,10.0
2017-04-28,10.0
2017-05-01,9.9
2017-05-02,9.85
2017-05-03,9.8
2017-05-04,10.51
2017-05-05,10.5
2017-05-08,10.5
2017-05-09,9.91
2017-05-10,9.91
2017-05-11,10.16
2017-05-12,10.16
2017-05-15,11.24
2017-05-16,10.27
2017-05-17,10.0
2017-05-18,10.0
2017-05-19,10.0
2017-05-22,10.04
2017-05-23,10.03
2017-05-24,10.0
2017-05-25,9.95
2017-05-26,9.86
2017-05-30,9.85
2017-05-31,9.85
2017-06-01,10.05
2017-06-02,10.0
2017-06-05,10.0
2017-06-06,9.93
2017-06-07,10.08
2017-06-08,10.08
2017-06-09,10.08
2017-06-12,10.1
2017-06-13,10.01
2017-06-14,10.0
2017-06-15,10.01
2017-06-16,10.01
2017-06-19,10.0
2017-06-20,9.99
2017-06-21,10.04
2017-06-22,10.02
2017-06-23,10.08
2017-06-26,10.018
2017-06-27,10.2
2017-06-28,10.01
2017-06-29,10.04
2017-06-30,10.03
2017-07-03,10.01
2017-07-05,10.19
2017-07-06,10.0
2017-07-07,10.1
2017-07-10,10.04
2017-07-11,10.05
2017-07-12,10.05
2017-07-13,10.01
2017-07-14,10.01
2017-07-17,10.0
2017-07-18,10.0
2017-07-19,10.0
2017-07-20,10.047
2017-07-21,10.003
2017-07-24,10.003
2017-07-25,10.1
2017-07-26,10.05
2017-07-27,10.1
2017-07-28,10.1
2017-07-31,10.1
2017-08-01,10.001
2017-08-02,10.02
2017-08-03,10.06
2017-08-04,10.06
2017-08-07,10.06
2017-08-08,10.06
2017-08-09,10.01
2017-08-10,10.01
2017-08-11,10.02
2017-08-14,10.08
2017-08-15,10.0
2017-08-16,10.0
2017-08-17,10.0
2017-08-18,10.05
2017-08-21,10.02
2017-08-22,10.02
2017-08-23,9.96
2017-08-24,9.98
2017-08-25,9.99
2017-08-28,9.96
2017-08-29,9.96
2017-08-30,9.96
2017-08-31,9.96
2017-09-01,9.95
2017-09-05,9.95
2017-09-06,9.98
2017-09-07,9.98
2017-09-08,9.98
2017-09-11,9.96
2017-09-12,9.96
2017-09-13,9.96
2017-09-14,9.95
2017-09-15,9.96
2017-09-18,9.96
2017-09-19,9.96
2017-09-20,9.96
2017-09-21,9.95
2017-09-22,9.96
2017-09-25,9.98
2017-09-26,9.96
2017-09-27,9.96
2017-09-28,9.96
2017-09-29,9.97
2017-10-02,9.97
2017-10-03,9.97
2017-10-04,9.99
2017-10-05,9.99
2017-10-06,9.95
2017-10-09,9.95
2017-10-10,9.97
2017-10-11,9.97
2017-10-12,10.0
2017-10-13,10.01
2017-10-16,9.96
2017-10-17,9.96
2017-10-18,9.96
2017-10-19,9.97
2017-10-20,9.98
2017-10-23,9.98
2017-10-24,9.98
2017-10-25,9.96
2017-10-26,9.97
2017-10-27,9.97
2017-10-30,9.961
2017-10-31,9.97
2017-11-01,9.947
2017-11-02,9.947
2017-11-03,9.97
2017-11-06,9.95
2017-11-07,9.95
2017-11-08,9.95
2017-11-09,9.95
2017-11-10,9.99
2017-11-13,9.99
2017-11-14,9.91
2017-11-15,10.05
2017-11-16,10.0
2017-11-17,9.94
2017-11-20,9.937
2017-11-21,9.93
2017-11-22,9.94
2017-11-24,9.94
2017-11-27,9.94
2017-11-28,9.91
2017-11-29,9.9
2017-11-30,9.89
2017-12-01,9.89
2017-12-04,9.9
2017-12-05,9.89
2017-12-06,9.89
2017-12-07,9.9
2017-12-08,9.9
2017-12-11,9.9
2017-12-12,9.91
2017-12-13,9.905
2017-12-14,9.92
2017-12-15,9.92
2017-12-18,9.93
2017-12-19,9.93
2017-12-20,9.93
2017-12-21,9.93
2017-12-22,9.93
2017-12-26,9.93
2017-12-27,9.92
2017-12-28,9.92
2017-12-29,9.94
2018-01-02,9.95
2018-01-03,9.95
2018-01-04,9.97
2018-01-05,9.97
2018-01-08,9.97
2018-01-09,9.98
2018-01-10,9.97
2018-01-11,9.96
2018-01-12,9.97
2018-01-16,9.97
2018-01-17,9.97
2018-01-18,9.97
2018-01-19,9.97
2018-01-22,9.93
2018-01-23,9.97
2018-01-24,9.95
2018-01-25,9.95
2018-01-26,9.95
2018-01-29,9.92
2018-01-30,9.92
2018-01-31,9.92
2018-02-01,9.92
2018-02-02,9.92
2018-02-05,9.92
2018-02-06,9.92
2018-02-07,9.92
2018-02-08,9.93
2018-02-09,9.9
2018-02-12,9.9
2018-02-13,9.89
2018-02-14,9.89
2018-02-15,9.87
2018-02-16,9.86
2018-02-20,9.86
2018-02-21,9.88
2018-02-22,9.9
2018-02-23,9.96
2018-02-26,9.96
2018-02-27,9.96
2018-02-28,9.95
2018-03-01,9.98
2018-03-02,9.953
2018-03-05,9.95
2018-03-06,9.99
2018-03-07,9.99
2018-03-08,9.99
2018-03-09,9.98
2018-03-12,9.956
2018-03-13,9.972
2018-03-14,10.0
2018-03-15,9.99
2018-03-16,9.96
2018-03-19,9.96
2018-03-20,9.98
2018-03-21,10.0
2018-03-22,10.01
2018-03-23,10.02
2018-03-26,10.05
2018-03-27,10.05
2018-03-28,10.05
2018-03-29,10.0
2018-04-02,10.04
2018-04-03,10.04
2018-04-04,10.04
2018-04-05,10.04
2018-04-06,10.04
2018-04-09,10.05
2018-04-10,10.05
2018-04-11,10.05
2018-04-12,10.05
2018-04-13,10.05
2018-04-16,10.05
2018-04-17,10.05
2018-04-18,10.05
2018-04-19,10.02
2018-04-20,10.08
2018-04-23,10.09
2018-04-24,10.1
2018-04-25,10.09
2018-04-26,10.09
2018-04-27,10.09
2018-04-30,10.06
2018-05-01,10.06
