Date,ICO
2014-07-14,24.48
2014-07-15,24.565001000000002
2014-07-16,24.395
2014-07-17,24.33
2014-07-18,24.030001000000002
2014-07-21,23.665001
2014-07-22,23.745001000000002
2014-07-23,23.875
2014-07-24,23.875
2014-07-25,23.865
2014-07-28,24.004998999999998
2014-07-29,23.865
2014-07-30,23.995001000000002
2014-07-31,24.01
2014-08-01,23.594998999999998
2014-08-04,23.674999
2014-08-05,
2014-08-06,23.545
2014-08-07,23.545
2014-08-08,22.870001000000002
2014-08-11,23.635
2014-08-12,23.834999
2014-08-13,23.565001000000002
2014-08-14,23.4
2014-08-15,23.34
2014-08-18,23.035
2014-08-19,23.73
2014-08-20,23.465
2014-08-21,24.200001
2014-08-22,
2014-08-25,24.469998999999998
2014-08-26,24.299999
2014-08-27,24.004998999999998
2014-08-28,24.08
2014-08-29,23.965
2014-09-02,
2014-09-03,
2014-09-04,
2014-09-05,
2014-09-08,
2014-09-09,
2014-09-10,
2014-09-11,23.405001000000002
2014-09-12,23.07
2014-09-15,22.84
2014-09-16,22.264999
2014-09-17,22.6
2014-09-18,22.77
2014-09-19,22.91
2014-09-22,22.91
2014-09-23,22.24
2014-09-24,22.27
2014-09-25,22.205
2014-09-26,22.950001
2014-09-29,21.74
2014-09-30,21.575001
2014-10-01,21.535
2014-10-02,20.934998999999998
2014-10-03,21.135
2014-10-06,21.27
2014-10-07,21.025
2014-10-08,20.17
2014-10-09,20.405001000000002
2014-10-10,19.24
2014-10-13,19.415001
2014-10-14,19.280001000000002
2014-10-15,18.299999
2014-10-16,17.299999
2014-10-17,18.200001
2014-10-20,18.535
2014-10-21,19.129998999999998
2014-10-22,19.745001000000002
2014-10-23,19.9
2014-10-24,19.885
2014-10-27,20.014999
2014-10-28,20.035
2014-10-29,20.285
2014-10-30,20.035
2014-10-31,20.424999
2014-11-03,19.940001000000002
2014-11-04,19.889999
2014-11-05,19.809998999999998
2014-11-06,20.184998999999998
2014-11-07,19.955
2014-11-10,19.85
2014-11-11,19.58
2014-11-12,19.440001000000002
2014-11-13,19.139999
2014-11-14,19.42
2014-11-17,19.139999
2014-11-18,19.17
2014-11-19,19.67
2014-11-20,19.825001
2014-11-21,19.76
2014-11-24,19.815001000000002
2014-11-25,19.684998999999998
2014-11-26,19.445
2014-11-28,20.094998999999998
2014-12-01,19.715
2014-12-02,19.615
2014-12-03,19.625
2014-12-04,19.415001
2014-12-05,20.030001000000002
2014-12-08,19.780001000000002
2014-12-09,19.780001000000002
2014-12-10,19.495001000000002
2014-12-11,19.42
2014-12-12,19.385
2014-12-15,19.495001000000002
2014-12-16,19.625
2014-12-17,19.375
2014-12-18,20.030001000000002
2014-12-19,20.025
2014-12-22,19.245001000000002
2014-12-23,19.014999
2014-12-24,19.014999
2014-12-26,19.014999
2014-12-29,19.514999
2014-12-30,19.004998999999998
2014-12-31,19.004998999999998
2015-01-02,19.280001000000002
2015-01-05,19.950001
2015-01-06,19.525
2015-01-07,19.225
2015-01-08,19.295
2015-01-09,19.09
2015-01-12,18.959999
2015-01-13,19.225
2015-01-14,19.030001000000002
2015-01-15,19.174999
2015-01-16,18.98
2015-01-20,18.17
2015-01-21,18.295
2015-01-22,18.48
2015-01-23,18.610001
2015-01-26,18.91
2015-01-27,18.41
2015-01-28,18.475
2015-01-29,18.91
2015-01-30,19.01
2015-02-02,19.08
2015-02-03,19.415001
2015-02-04,19.48
2015-02-05,20.424999
2015-02-06,20.625
2015-02-09,20.49
2015-02-10,20.42
2015-02-11,20.424999
2015-02-12,20.76
2015-02-13,20.825001
2015-02-17,20.959999
2015-02-18,21.0
2015-02-19,21.225
2015-02-20,20.865
2015-02-23,21.58
2015-02-24,21.445
2015-02-25,21.9
2015-02-26,22.105
2015-02-27,21.98
2015-03-02,22.145
2015-03-03,21.875
2015-03-04,21.879998999999998
2015-03-05,21.870001000000002
2015-03-06,21.885
2015-03-09,21.879998999999998
2015-03-10,21.809998999999998
2015-03-11,21.325001
2015-03-12,21.655001000000002
2015-03-13,21.725
2015-03-16,21.844998999999998
2015-03-17,21.65
2015-03-18,21.469998999999998
2015-03-19,21.610001
2015-03-20,21.66
2015-03-23,21.594998999999998
2015-03-24,21.445
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-30,
2015-03-31,
