Date,SERV
2015-05-12,23.563295
2015-05-13,23.5499
2015-05-14,24.099129
2015-05-15,24.166109
2015-05-18,24.266576999999998
2015-05-19,24.755526
2015-05-20,24.762224
2015-05-21,24.42063
2015-05-22,24.112526000000003
2015-05-26,23.764232999999997
2015-05-27,23.007368
2015-05-28,22.551907999999997
2015-05-29,22.498325
2015-06-01,22.605492
2015-06-02,22.525118
2015-06-03,22.61219
2015-06-04,22.451441
2015-06-05,22.605492
2015-06-08,22.793034
2015-06-09,23.081045
2015-06-10,23.174816
2015-06-11,23.302076
2015-06-12,23.181513
2015-06-15,23.221701
2015-06-16,23.32217
2015-06-17,23.308775
2015-06-18,23.569994
2015-06-19,23.871399
2015-06-22,23.96517
2015-06-23,23.978567
2015-06-24,23.697254
2015-06-25,24.018755
2015-06-26,24.306765
2015-06-29,23.630274
2015-06-30,24.226389
2015-07-01,24.407234
2015-07-02,24.454119
2015-07-06,24.15941
2015-07-07,24.012056
2015-07-08,23.971869
2015-07-09,24.038849
2015-07-10,24.567984
2015-07-13,24.782318
2015-07-14,25.03014
2015-07-15,24.722036
2015-07-16,24.996651
2015-07-17,25.090422
2015-07-20,25.083725
2015-07-21,25.32485
2015-07-22,25.170797
2015-07-23,25.184193
2015-07-24,24.929672
2015-07-27,24.648359
2015-07-28,25.237776
2015-07-29,25.478901
2015-07-30,25.4856
2015-07-31,25.941059
2015-08-03,25.920965
2015-08-04,24.25988
2015-08-05,24.413930999999998
2015-08-06,24.179504
2015-08-07,24.012056
2015-08-10,23.757535999999998
2015-08-11,23.375753
2015-08-12,23.811119
2015-08-13,23.770931
2015-08-14,23.918285
2015-08-17,24.085732999999998
2015-08-18,24.567984
2015-08-19,24.32016
2015-08-20,24.012056
2015-08-21,23.281982
2015-08-24,22.705961
2015-08-25,22.719357000000002
2015-08-26,23.281982
2015-08-27,23.636972
2015-08-28,23.663764999999998
2015-08-31,23.563295
2015-09-01,22.839920000000003
2015-09-02,23.215004
2015-09-03,23.328869
2015-09-04,23.134628
2015-09-08,23.348961
2015-09-09,23.060951
2015-09-10,22.77294
2015-09-11,23.248493
2015-09-14,22.913597
2015-09-15,23.603482999999997
2015-09-16,23.422639999999998
2015-09-17,23.389149
2015-09-18,23.114534
2015-09-21,23.141327
2015-09-22,22.873409
2015-09-23,22.71266
2015-09-24,22.304087
2015-09-25,22.478231
2015-09-28,21.754856
2015-09-29,21.821835
2015-09-30,22.471535
2015-10-01,22.518419
2015-10-02,23.154722
2015-10-05,22.993973
2015-10-06,22.531814999999998
2015-10-07,22.196918
2015-10-08,22.819826000000003
2015-10-09,22.893503
2015-10-12,23.241795
2015-10-13,23.215004
2015-10-14,22.518419
2015-10-15,22.77294
2015-10-16,22.61219
2015-10-19,22.679169
2015-10-20,22.73945
2015-10-21,22.290689
2015-10-22,22.123241
2015-10-23,22.806431
2015-10-26,22.906898
2015-10-27,23.268587
2015-10-28,23.703951
2015-10-29,23.335566
2015-10-30,23.878098
2015-11-02,23.998661
2015-11-03,23.107836
2015-11-04,22.940388000000002
2015-11-05,23.174816
2015-11-06,23.09444
2015-11-09,23.188211
2015-11-10,24.306765
2015-11-11,24.1929
2015-11-12,24.326859
2015-11-13,24.413930999999998
2015-11-16,23.858004
2015-11-17,23.489618
2015-11-18,24.03215
2015-11-19,24.601473000000002
2015-11-20,24.668453
2015-11-23,25.077026
2015-11-24,25.204287
2015-11-25,24.983255
2015-11-27,25.271265
2015-11-30,25.103817000000003
2015-12-01,25.686537
2015-12-02,25.505693
2015-12-03,25.478901
2015-12-04,26.121902
2015-12-07,26.081715
2015-12-08,26.249163
2015-12-09,25.61286
2015-12-10,25.833891
2015-12-11,25.184193
2015-12-14,25.150703
2015-12-15,25.358339
2015-12-16,25.96785
2015-12-17,25.632954
2015-12-18,25.190891
2015-12-21,25.445412
2015-12-22,25.666443
2015-12-23,25.766911999999998
2015-12-24,26.054922
2015-12-28,25.787005999999998
2015-12-29,26.349632
2015-12-30,26.557268
2015-12-31,26.282652000000002
2016-01-04,26.349632
2016-01-05,26.302746000000003
2016-01-06,26.409912
2016-01-07,25.780307999999998
2016-01-08,25.646349
2016-01-11,26.068319
2016-01-12,25.880777
2016-01-13,25.043537
2016-01-14,25.813797
2016-01-15,25.344944
2016-01-19,25.941059
2016-01-20,25.4856
2016-01-21,25.820496
2016-01-22,26.630945
2016-01-25,26.557268
2016-01-26,26.858673
2016-01-27,26.691225
2016-01-28,27.166779
2016-01-29,28.271936
2016-02-01,27.689217
