Date,NYRT
2014-04-15,107.5
2014-04-16,105.5
2014-04-17,106.199997
2014-04-21,105.599998
2014-04-22,105.900002
2014-04-23,106.0
2014-04-24,105.800003
2014-04-25,106.099998
2014-04-28,107.099998
2014-04-29,107.400002
2014-04-30,107.300003
2014-05-01,107.400002
2014-05-02,107.349998
2014-05-05,105.699997
2014-05-06,106.0
2014-05-07,106.800003
2014-05-08,105.199997
2014-05-09,105.699997
2014-05-12,103.099998
2014-05-13,105.699997
2014-05-14,106.699997
2014-05-15,106.0
2014-05-16,105.900002
2014-05-19,105.199997
2014-05-20,105.400002
2014-05-21,105.5
2014-05-22,105.800003
2014-05-23,105.400002
2014-05-27,105.099998
2014-05-28,105.599998
2014-05-29,107.0
2014-05-30,108.199997
2014-06-02,110.099998
2014-06-03,113.5
2014-06-04,114.699997
2014-06-05,115.0
2014-06-06,117.199997
2014-06-09,118.0
2014-06-10,117.800003
2014-06-11,114.5
2014-06-12,116.300003
2014-06-13,115.599998
2014-06-16,116.599998
2014-06-17,116.0
2014-06-18,115.199997
2014-06-19,118.199997
2014-06-20,121.199997
2014-06-23,119.800003
2014-06-24,117.300003
2014-06-25,116.199997
2014-06-26,114.699997
2014-06-27,113.0
2014-06-30,110.599998
2014-07-01,109.900002
2014-07-02,109.0
2014-07-03,109.099998
2014-07-07,107.699997
2014-07-08,108.699997
2014-07-09,107.400002
2014-07-10,107.300003
2014-07-11,107.099998
2014-07-14,107.5
2014-07-15,108.5
2014-07-16,107.5
2014-07-17,106.699997
2014-07-18,108.5
2014-07-21,108.900002
2014-07-22,108.800003
2014-07-23,108.0
2014-07-24,107.300003
2014-07-25,107.400002
2014-07-28,107.400002
2014-07-29,107.5
2014-07-30,107.199997
2014-07-31,104.400002
2014-08-01,106.199997
2014-08-04,107.099998
2014-08-05,105.0
2014-08-06,105.099998
2014-08-07,103.800003
2014-08-08,105.400002
2014-08-11,105.800003
2014-08-12,105.900002
2014-08-13,105.900002
2014-08-14,105.0
2014-08-15,104.5
2014-08-18,104.900002
2014-08-19,103.5
2014-08-20,104.599998
2014-08-21,105.0
2014-08-22,104.900002
2014-08-25,104.199997
2014-08-26,104.300003
2014-08-27,103.900002
2014-08-28,102.099998
2014-08-29,103.099998
2014-09-02,103.5
2014-09-03,102.599998
2014-09-04,102.800003
2014-09-05,103.199997
2014-09-08,104.5
2014-09-09,105.0
2014-09-10,105.300003
2014-09-11,106.0
2014-09-12,103.599998
2014-09-15,104.0
2014-09-16,103.5
2014-09-17,104.5
2014-09-18,104.800003
2014-09-19,107.5
2014-09-22,104.099998
2014-09-23,102.5
2014-09-24,102.599998
2014-09-25,103.199997
2014-09-26,103.300003
2014-09-29,103.800003
2014-09-30,102.800003
2014-10-01,103.400002
2014-10-02,103.599998
2014-10-03,104.099998
2014-10-06,104.900002
2014-10-07,107.800003
2014-10-08,110.0
2014-10-09,108.400002
2014-10-10,108.5
2014-10-13,109.599998
2014-10-14,110.0
2014-10-15,109.800003
2014-10-16,110.099998
2014-10-17,111.400002
2014-10-20,111.300003
2014-10-21,111.5
2014-10-22,111.400002
2014-10-23,112.5
2014-10-24,112.900002
2014-10-27,112.5
2014-10-28,113.599998
2014-10-29,111.199997
2014-10-30,110.300003
2014-10-31,112.199997
2014-11-03,112.0
2014-11-04,109.0
2014-11-05,109.599998
2014-11-06,111.0
2014-11-07,110.400002
2014-11-10,110.099998
2014-11-11,111.199997
2014-11-12,110.800003
2014-11-13,108.800003
2014-11-14,109.599998
2014-11-17,109.400002
2014-11-18,108.300003
2014-11-19,107.699997
2014-11-20,106.900002
2014-11-21,106.800003
2014-11-24,106.699997
2014-11-25,107.900002
2014-11-26,107.300003
2014-11-28,107.5
2014-12-01,107.5
2014-12-02,108.5
2014-12-03,108.0
2014-12-04,108.599998
2014-12-05,108.0
2014-12-08,108.199997
2014-12-09,108.800003
2014-12-10,108.0
2014-12-11,108.300003
2014-12-12,107.5
2014-12-15,105.099998
2014-12-16,106.699997
2014-12-17,107.699997
2014-12-18,107.199997
2014-12-19,106.5
2014-12-22,107.0
2014-12-23,108.0
2014-12-24,108.199997
2014-12-26,108.5
2014-12-29,108.800003
2014-12-30,108.300003
2014-12-31,105.900002
2015-01-02,107.099998
2015-01-05,105.400002
2015-01-06,104.099998
2015-01-07,105.300003
2015-01-08,106.0
2015-01-09,107.300003
2015-01-12,107.800003
2015-01-13,107.900002
2015-01-14,106.900002
2015-01-15,106.800003
2015-01-16,107.699997
2015-01-20,107.400002
2015-01-21,106.5
2015-01-22,107.900002
2015-01-23,108.0
2015-01-26,108.5
2015-01-27,107.900002
2015-01-28,106.199997
2015-01-29,105.199997
2015-01-30,104.300003
2015-02-02,103.900002
2015-02-03,106.0
2015-02-04,104.5
2015-02-05,106.400002
2015-02-06,105.0
2015-02-09,102.599998
2015-02-10,101.400002
2015-02-11,101.0
2015-02-12,103.599998
2015-02-13,104.099998
2015-02-17,105.199997
2015-02-18,105.900002
2015-02-19,105.099998
2015-02-20,105.400002
2015-02-23,105.800003
2015-02-24,104.800003
2015-02-25,104.800003
2015-02-26,104.0
