Date,ACM
2007-05-10,21.1
2007-05-11,21.85
2007-05-14,22.299999
2007-05-15,21.0
2007-05-16,22.940001000000002
2007-05-17,23.01
2007-05-18,22.99
2007-05-21,23.65
2007-05-22,23.950001
2007-05-23,23.9
2007-05-24,23.049999
2007-05-25,23.51
2007-05-29,23.24
2007-05-30,22.889999
2007-05-31,22.9
2007-06-01,23.040001
2007-06-04,23.299999
2007-06-05,23.41
2007-06-06,23.110001
2007-06-07,22.77
2007-06-08,22.42
2007-06-11,22.73
2007-06-12,22.629998999999998
2007-06-13,23.299999
2007-06-14,23.73
2007-06-15,24.709999
2007-06-18,26.0
2007-06-19,25.51
2007-06-20,25.34
2007-06-21,24.91
2007-06-22,24.209999
2007-06-25,24.6
2007-06-26,23.93
2007-06-27,24.66
2007-06-28,24.57
2007-06-29,24.809998999999998
2007-07-02,25.379998999999998
2007-07-03,25.690001000000002
2007-07-05,26.35
2007-07-06,26.719998999999998
2007-07-09,26.68
2007-07-10,26.5
2007-07-11,26.76
2007-07-12,26.950001
2007-07-13,28.17
2007-07-16,27.76
2007-07-17,27.73
2007-07-18,27.25
2007-07-19,27.780001000000002
2007-07-20,27.25
2007-07-23,27.379998999999998
2007-07-24,26.51
2007-07-25,25.65
2007-07-26,25.24
2007-07-27,25.280001000000002
2007-07-30,26.030001000000002
2007-07-31,25.950001
2007-08-01,25.299999
2007-08-02,26.4
2007-08-03,27.0
2007-08-06,26.440001000000002
2007-08-07,26.860001
2007-08-08,27.049999
2007-08-09,26.08
2007-08-10,25.1
2007-08-13,25.15
2007-08-14,24.76
2007-08-15,24.75
2007-08-16,24.4
2007-08-17,24.43
2007-08-20,25.0
2007-08-21,26.139999
2007-08-22,27.110001
2007-08-23,27.299999
2007-08-24,27.360001
2007-08-27,27.18
2007-08-28,26.190001000000002
2007-08-29,26.51
2007-08-30,26.639999
2007-08-31,26.870001000000002
2007-09-04,27.0
2007-09-05,27.01
2007-09-06,27.0
2007-09-07,26.790001
2007-09-10,26.860001
2007-09-11,27.309998999999998
2007-09-12,27.799999
2007-09-13,27.9
2007-09-14,27.959999
2007-09-17,29.059998999999998
2007-09-18,30.23
2007-09-19,30.809998999999998
2007-09-20,29.940001000000002
2007-09-21,30.469998999999998
2007-09-24,30.190001000000002
2007-09-25,31.0
2007-09-26,33.040001000000004
2007-09-27,35.939999
2007-09-28,34.93
2007-10-01,36.040001000000004
2007-10-02,37.25
2007-10-03,35.689999
2007-10-04,33.91
2007-10-05,34.869999
2007-10-08,34.400002
2007-10-09,35.439999
2007-10-10,36.57
2007-10-11,36.130001
2007-10-12,36.330002
2007-10-15,36.669998
2007-10-16,35.580002
2007-10-17,36.75
2007-10-18,35.169998
2007-10-19,33.68
2007-10-22,32.380001
2007-10-23,34.009997999999996
2007-10-24,33.150002
