Date,AMCX
2012-05-07,41.470001
2012-05-08,40.34
2012-05-09,39.619999
2012-05-10,40.5
2012-05-11,41.700001
2012-05-14,42.349998
2012-05-15,42.43
2012-05-16,42.18
2012-05-17,40.0
2012-05-18,39.639998999999996
2012-05-21,39.799999
2012-05-22,38.709998999999996
2012-05-23,38.529999
2012-05-24,38.880001
2012-05-25,39.040001000000004
2012-05-29,39.009997999999996
2012-05-30,38.16
2012-05-31,38.59
2012-06-01,37.080002
2012-06-04,38.110001000000004
2012-06-05,38.23
2012-06-06,38.970001
2012-06-07,38.240002000000004
2012-06-08,38.27
2012-06-11,37.68
2012-06-12,37.889998999999996
2012-06-13,38.380001
2012-06-14,38.34
2012-06-15,38.470001
2012-06-18,38.310001
2012-06-19,38.599998
2012-06-20,39.619999
2012-06-21,38.060001
2012-06-22,37.639998999999996
2012-06-25,36.669998
2012-06-26,36.490002000000004
2012-06-27,36.540001000000004
2012-06-28,36.009997999999996
2012-06-29,35.549999
2012-07-02,39.200001
2012-07-03,38.990002000000004
2012-07-05,38.669998
2012-07-06,38.619999
2012-07-09,39.509997999999996
2012-07-10,39.869999
2012-07-11,40.73
2012-07-12,41.299999
2012-07-13,42.59
2012-07-16,42.490002000000004
2012-07-17,42.560001
2012-07-18,42.75
2012-07-19,43.139998999999996
2012-07-20,43.27
2012-07-23,42.849998
2012-07-24,43.07
2012-07-25,43.560001
2012-07-26,42.849998
2012-07-27,43.139998999999996
2012-07-30,43.099998
2012-07-31,43.360001000000004
2012-08-01,42.73
2012-08-02,42.799999
2012-08-03,43.290001000000004
2012-08-06,43.560001
2012-08-07,44.349998
2012-08-08,43.34
2012-08-09,44.0
2012-08-10,43.490002000000004
2012-08-13,43.110001000000004
2012-08-14,41.16
2012-08-15,41.07
2012-08-16,40.860001000000004
2012-08-17,40.619999
2012-08-20,40.060001
2012-08-21,39.630001
2012-08-22,39.400002
2012-08-23,39.009997999999996
2012-08-24,39.049999
2012-08-27,38.860001000000004
2012-08-28,38.529999
2012-08-29,38.959998999999996
2012-08-30,39.07
2012-08-31,39.34
2012-09-04,39.450001
2012-09-05,39.77
2012-09-06,40.619999
2012-09-07,40.5
2012-09-10,40.849998
2012-09-11,41.52
2012-09-12,41.509997999999996
2012-09-13,41.099998
2012-09-14,41.810001
2012-09-17,41.040001000000004
2012-09-18,40.57
2012-09-19,41.25
2012-09-20,42.009997999999996
2012-09-21,42.619999
2012-09-24,42.5
2012-09-25,42.060001
2012-09-26,42.369999
2012-09-27,43.380001
2012-09-28,43.52
