Date,TECK
2002-07-18,4.185
2002-07-19,4.005
2002-07-22,3.735
2002-07-23,3.32
2002-07-24,3.2
2002-07-25,3.2
2002-07-26,3.5
2002-07-29,3.72
2002-07-30,3.72
2002-07-31,3.72
2002-08-01,3.53
2002-08-02,3.46
2002-08-05,4.185
2002-08-06,3.25
2002-08-07,3.33
2002-08-08,3.33
2002-08-09,3.33
2002-08-12,3.325
2002-08-13,3.36
2002-08-14,3.36
2002-08-15,3.36
2002-08-16,3.36
2002-08-19,3.435
2002-08-20,3.675
2002-08-21,3.695
2002-08-22,3.695
2002-08-23,3.66
2002-08-26,3.66
2002-08-27,3.51
2002-08-28,3.51
2002-08-29,3.44
2002-08-30,3.35
2002-09-03,3.35
2002-09-04,3.31
2002-09-05,3.31
2002-09-06,3.31
2002-09-09,3.31
2002-09-10,3.24
2002-09-11,3.24
2002-09-12,3.52
2002-09-13,3.47
2002-09-16,3.525
2002-09-17,3.505
2002-09-18,3.505
2002-09-19,3.425
2002-09-20,3.335
2002-09-23,3.335
2002-09-24,3.16
2002-09-25,3.16
2002-09-26,3.34
2002-09-27,3.285
2002-09-30,3.3
2002-10-01,3.3
2002-10-02,3.3
2002-10-03,3.3
2002-10-04,3.3
2002-10-07,3.3
2002-10-08,3.21
2002-10-09,3.185
2002-10-10,3.185
2002-10-11,3.185
2002-10-14,3.185
2002-10-15,3.185
2002-10-16,3.185
2002-10-17,3.185
2002-10-18,3.65
2002-10-21,3.795
2002-10-22,3.59
2002-10-23,3.59
2002-10-24,3.59
2002-10-25,3.59
2002-10-28,3.59
2002-10-29,3.59
2002-10-30,3.59
2002-10-31,3.59
2002-11-01,3.435
2002-11-04,3.475
2002-11-05,3.475
2002-11-06,3.475
2002-11-07,3.475
2002-11-08,3.625
2002-11-11,3.625
2002-11-12,3.55
2002-11-13,3.55
2002-11-14,3.5
2002-11-15,3.45
2002-11-18,3.41
2002-11-19,3.39
2002-11-20,3.415
2002-11-21,3.535
2002-11-22,3.55
2002-11-25,3.55
2002-11-26,3.55
2002-11-27,3.49
2002-11-29,3.49
2002-12-02,3.49
2002-12-03,3.57
2002-12-04,3.57
2002-12-05,3.71
2002-12-06,3.665
2002-12-09,3.665
2002-12-10,3.585
2002-12-11,3.53
2002-12-12,3.525
2002-12-13,3.625
2002-12-16,3.625
2002-12-17,3.69
2002-12-18,3.775
2002-12-19,3.69
2002-12-20,3.625
2002-12-23,3.59
2002-12-24,3.59
2002-12-26,3.59
2002-12-27,3.735
2002-12-30,3.735
2002-12-31,3.56
2003-01-02,3.76
2003-01-03,3.76
2003-01-06,3.795
2003-01-07,3.795
2003-01-08,3.795
2003-01-09,3.81
2003-01-10,3.81
2003-01-13,4.1
2003-01-14,4.16
2003-01-15,4.275
2003-01-16,4.215
2003-01-17,4.0
2003-01-21,4.0
2003-01-22,3.965
2003-01-23,3.965
2003-01-24,4.2
2003-01-27,4.11
2003-01-28,4.11
2003-01-29,4.11
2003-01-30,4.11
2003-01-31,3.98
2003-02-03,4.06
2003-02-04,3.98
2003-02-05,3.98
2003-02-06,3.98
2003-02-07,3.98
2003-02-10,3.975
2003-02-11,4.04
2003-02-12,4.02
2003-02-13,4.02
2003-02-14,4.02
2003-02-18,4.02
2003-02-19,4.02
2003-02-20,4.02
2003-02-21,3.915
2003-02-24,3.915
2003-02-25,3.915
2003-02-26,3.935
2003-02-27,3.935
2003-02-28,3.98
2003-03-03,3.975
2003-03-04,3.9
2003-03-05,3.78
2003-03-06,3.78
2003-03-07,3.78
2003-03-10,3.71
2003-03-11,3.735
2003-03-12,3.735
2003-03-13,3.735
2003-03-14,3.735
2003-03-17,3.735
2003-03-18,3.735
2003-03-19,3.93
2003-03-20,3.985
2003-03-21,3.895
2003-03-24,3.895
2003-03-25,3.895
2003-03-26,3.565
2003-03-27,3.565
2003-03-28,3.715
2003-03-31,3.705
2003-04-01,3.705
2003-04-02,3.745
2003-04-03,3.745
2003-04-04,3.745
2003-04-07,3.745
2003-04-08,3.745
2003-04-09,3.745
2003-04-10,3.745
2003-04-11,3.745
2003-04-14,3.745
2003-04-15,3.675
2003-04-16,3.67
2003-04-17,3.675
2003-04-21,3.68
2003-04-22,3.71
2003-04-23,3.65
2003-04-24,3.565
2003-04-25,3.585
2003-04-28,3.59
2003-04-29,3.565
