Date,MAXR
2010-01-26,39.939999
2010-01-27,39.939999
2010-01-28,39.939999
2010-01-29,39.939999
2010-02-01,39.939999
2010-02-02,39.939999
2010-02-03,39.939999
2010-02-04,39.939999
2010-02-05,39.939999
2010-02-08,39.939999
2010-02-09,39.939999
2010-02-10,39.939999
2010-02-11,36.400002
2010-02-12,36.400002
2010-02-16,36.400002
2010-02-17,36.400002
2010-02-18,36.400002
2010-02-19,36.400002
2010-02-22,37.119999
2010-02-23,37.119999
2010-02-24,37.119999
2010-02-25,38.259997999999996
2010-02-26,37.360001000000004
2010-03-01,38.0
2010-03-02,40.029999
2010-03-03,40.029999
2010-03-04,40.029999
2010-03-05,40.619999
2010-03-08,40.619999
2010-03-09,40.619999
2010-03-10,40.619999
2010-03-11,40.619999
2010-03-12,40.040001000000004
2010-03-15,40.130001
2010-03-16,40.130001
2010-03-17,40.52
2010-03-18,40.869999
2010-03-19,37.990002000000004
2010-03-22,37.990002000000004
2010-03-23,37.799999
2010-03-24,37.799999
2010-03-25,37.439999
2010-03-26,37.439999
2010-03-29,37.439999
2010-03-30,37.439999
2010-03-31,36.900002
2010-04-01,36.900002
2010-04-05,37.290001000000004
2010-04-06,37.290001000000004
2010-04-07,37.290001000000004
2010-04-08,35.5
2010-04-09,35.5
2010-04-12,37.91
2010-04-13,38.040001000000004
2010-04-14,38.040001000000004
2010-04-15,38.040001000000004
2010-04-16,38.040001000000004
2010-04-19,38.040001000000004
2010-04-20,38.040001000000004
2010-04-21,38.040001000000004
2010-04-22,38.040001000000004
2010-04-23,38.040001000000004
2010-04-26,38.48
2010-04-27,38.07
2010-04-28,40.290001000000004
2010-04-29,40.290001000000004
2010-04-30,39.34
2010-05-03,39.34
2010-05-04,38.580002
2010-05-05,38.580002
2010-05-06,40.389998999999996
2010-05-07,40.389998999999996
2010-05-10,40.389998999999996
2010-05-11,40.389998999999996
2010-05-12,43.509997999999996
2010-05-13,43.509997999999996
2010-05-14,43.509997999999996
2010-05-17,43.509997999999996
2010-05-18,43.509997999999996
2010-05-19,43.509997999999996
2010-05-20,39.540001000000004
2010-05-21,40.779999
2010-05-24,40.779999
2010-05-25,39.419998
2010-05-26,40.880001
2010-05-27,40.869999
2010-05-28,41.290001000000004
2010-06-01,41.349998
2010-06-02,41.529999
2010-06-03,41.529999
2010-06-04,41.029999
2010-06-07,41.029999
2010-06-08,41.029999
2010-06-09,41.299999
2010-06-10,41.990002000000004
2010-06-11,41.75
2010-06-14,41.75
2010-06-15,41.75
2010-06-16,41.75
2010-06-17,42.139998999999996
2010-06-18,42.619999
2010-06-21,42.619999
2010-06-22,42.619999
2010-06-23,42.619999
2010-06-24,42.619999
2010-06-25,42.619999
2010-06-28,42.619999
2010-06-29,42.619999
2010-06-30,42.619999
2010-07-01,42.619999
2010-07-02,42.619999
2010-07-06,42.619999
2010-07-07,42.619999
2010-07-08,42.619999
2010-07-09,42.619999
2010-07-12,42.619999
2010-07-13,42.740002000000004
2010-07-14,42.5
2010-07-15,42.27
2010-07-16,42.27
2010-07-19,42.27
2010-07-20,43.5
2010-07-21,44.049999
2010-07-22,44.049999
2010-07-23,44.049999
2010-07-26,44.049999
2010-07-27,44.049999
2010-07-28,44.049999
2010-07-29,44.049999
2010-07-30,45.049999
2010-08-02,47.0
2010-08-03,46.939999
2010-08-04,47.09
2010-08-05,47.09
2010-08-06,47.68
2010-08-09,47.68
2010-08-10,47.68
2010-08-11,47.68
2010-08-12,47.68
2010-08-13,47.68
2010-08-16,47.68
2010-08-17,47.68
2010-08-18,46.299999
2010-08-19,46.299999
2010-08-20,46.299999
2010-08-23,46.299999
2010-08-24,46.299999
2010-08-25,46.299999
2010-08-26,46.299999
2010-08-27,46.299999
2010-08-30,46.299999
2010-08-31,46.299999
2010-09-01,46.299999
2010-09-02,46.299999
2010-09-03,46.299999
2010-09-07,45.18
2010-09-08,45.18
