Date,TCF
1988-08-02,10.360154
1988-08-03,10.360154
1988-08-04,10.486498
1988-08-05,10.486498
1988-08-08,10.360154
1988-08-09,10.486498
1988-08-10,10.360154
1988-08-11,10.360154
1988-08-12,10.360154
1988-08-15,10.612842
1988-08-16,10.107467999999999
1988-08-17,10.107467999999999
1988-08-18,10.612842
1988-08-19,10.612842
1988-08-22,10.107467999999999
1988-08-23,10.612842
1988-08-24,10.107467999999999
1988-08-25,10.107467999999999
1988-08-26,9.981125
1988-08-29,9.981125
1988-08-30,10.360154
1988-08-31,10.360154
1988-09-01,10.360154
1988-09-02,10.360154
1988-09-06,10.360154
1988-09-07,10.360154
1988-09-08,9.981125
1988-09-09,9.981125
1988-09-12,10.360154
1988-09-13,10.360154
1988-09-14,10.360154
1988-09-15,10.360154
1988-09-16,10.612842
1988-09-19,10.612842
1988-09-20,10.612842
1988-09-21,10.612842
1988-09-22,10.107467999999999
1988-09-23,10.107467999999999
1988-09-26,10.612842
1988-09-27,10.612842
1988-09-28,10.107467999999999
1988-09-29,10.107467999999999
1988-09-30,10.107467999999999
1988-10-03,10.107467999999999
1988-10-04,10.107467999999999
1988-10-05,10.107467999999999
1988-10-06,10.360154
1988-10-07,10.107467999999999
1988-10-10,10.612842
1988-10-11,10.739184
1988-10-12,10.612842
1988-10-13,10.612842
1988-10-14,10.612842
1988-10-17,10.865528
1988-10-18,10.486498
1988-10-19,10.865528
1988-10-20,10.486498
1988-10-21,10.486498
1988-10-24,10.486498
1988-10-25,10.486498
1988-10-26,10.865528
1988-10-27,10.486498
1988-10-28,10.486498
1988-10-31,10.486498
1988-11-01,10.549669
1988-11-02,10.549669
1988-11-03,10.549669
1988-11-04,10.549669
1988-11-07,10.865528
1988-11-08,10.865528
1988-11-09,10.991871000000002
1988-11-10,10.549669
1988-11-11,10.612842
1988-11-14,10.612842
1988-11-15,10.612842
1988-11-16,10.612842
1988-11-17,10.612842
1988-11-18,10.549669
1988-11-21,11.118215
1988-11-22,11.118215
1988-11-23,11.118215
1988-11-25,11.118215
1988-11-28,11.118215
1988-11-29,11.118215
1988-11-30,11.118215
1988-12-01,11.118215
1988-12-02,11.118215
1988-12-05,11.118215
1988-12-06,11.118215
1988-12-07,11.118215
1988-12-08,10.612842
1988-12-09,10.739184
1988-12-12,10.739184
1988-12-13,10.612842
1988-12-14,10.612842
1988-12-15,10.612842
1988-12-16,11.118215
1988-12-19,11.118215
1988-12-20,11.244558
1988-12-21,11.244558
1988-12-22,11.244558
1988-12-23,11.118215
1988-12-27,11.244558
1988-12-28,11.244558
1988-12-29,10.865528
1988-12-30,9.981125
