Date,NDN
2014-12-04,12422.0
2014-12-05,12422.0
2014-12-08,11913.5
2014-12-09,11041.700195
2014-12-10,11550.200195
2014-12-11,11259.700195
2014-12-12,11404.900391
2014-12-15,11550.200195
2014-12-16,11187.0
2014-12-17,10751.200195
2014-12-18,11187.0
2014-12-19,10823.799805
2014-12-22,11259.700195
2014-12-23,11622.900391
2014-12-24,12131.400391
2014-12-26,11986.099609
2014-12-29,11332.299805
2014-12-30,11622.900391
2014-12-31,11986.099609
2015-01-02,11986.099609
2015-01-05,11840.799805
2015-01-06,11986.099609
2015-01-07,11550.200195
2015-01-08,11550.200195
2015-01-09,11840.799805
2015-01-12,11477.599609
2015-01-13,11840.799805
2015-01-14,12422.0
2015-01-15,12422.0
2015-01-16,12349.299805
2015-01-20,12204.0
2015-01-21,12349.299805
2015-01-22,12349.299805
2015-01-23,12422.0
2015-01-26,13656.900391
2015-01-27,14092.700195
2015-01-28,13947.5
2015-01-29,14819.200195
2015-01-30,14238.0
2015-02-02,14020.099609
2015-02-03,12712.5
2015-02-04,13221.0
2015-02-05,13293.700195
2015-02-06,13729.5
2015-02-09,13584.200195
2015-02-10,13439.0
2015-02-11,13293.700195
2015-02-12,13439.0
2015-02-13,13584.200195
2015-02-17,
2015-02-18,13584.200195
2015-02-19,13584.200195
2015-02-20,13584.200195
2015-02-23,13584.200195
2015-02-24,13584.200195
2015-02-25,13656.900391
2015-02-26,13439.0
2015-02-27,13293.700195
2015-03-02,13293.700195
2015-03-03,14383.299805
2015-03-04,14383.299805
2015-03-05,14092.700195
2015-03-06,13802.200195
2015-03-09,14020.099609
2015-03-10,14092.700195
2015-03-11,13729.5
2015-03-12,13947.5
2015-03-13,13874.799805
2015-03-16,13293.700195
2015-03-17,13584.200195
2015-03-18,13366.299805
2015-03-19,13293.700195
2015-03-20,13075.700195
2015-03-23,12639.900391
2015-03-24,12639.900391
2015-03-25,12639.900391
2015-03-26,12639.900391
2015-03-27,12639.900391
2015-03-30,12639.900391
2015-03-31,12639.900391
2015-04-01,12639.900391
2015-04-02,12639.900391
2015-04-06,12639.900391
2015-04-07,12639.900391
2015-04-08,12639.900391
2015-04-09,12639.900391
2015-04-10,12639.900391
2015-04-13,12639.900391
2015-04-14,12639.900391
2015-04-15,12639.900391
2015-04-16,12639.900391
2015-04-17,12639.900391
2015-04-20,16053.599609
2015-04-21,16053.599609
2015-04-22,16053.599609
2015-04-23,16053.599609
2015-04-24,16053.599609
2015-04-27,16053.599609
