Date,MON
2013-05-20,108.309998
2013-05-21,106.589996
2013-05-22,104.040001
2013-05-23,104.989998
2013-05-24,104.83000200000001
2013-05-28,105.550003
2013-05-29,105.41999799999999
2013-05-30,104.970001
2013-05-31,100.639999
2013-06-03,102.08000200000001
2013-06-04,102.110001
2013-06-05,98.910004
2013-06-06,98.720001
2013-06-07,101.650002
2013-06-10,106.25
2013-06-11,104.510002
2013-06-12,103.459999
2013-06-13,105.440002
2013-06-14,105.629997
2013-06-17,104.82
2013-06-18,105.629997
2013-06-19,105.889999
2013-06-20,103.449997
2013-06-21,103.190002
2013-06-24,101.699997
2013-06-25,101.400002
2013-06-26,100.839996
2013-06-27,98.75
2013-06-28,98.800003
2013-07-01,96.970001
2013-07-02,98.41999799999999
2013-07-03,97.889999
2013-07-05,98.709999
2013-07-08,99.190002
2013-07-09,101.400002
2013-07-10,101.489998
2013-07-11,103.339996
2013-07-12,102.949997
2013-07-15,103.269997
2013-07-16,101.58000200000001
2013-07-17,102.940002
2013-07-18,103.029999
2013-07-19,104.160004
2013-07-22,103.93
2013-07-23,103.900002
2013-07-24,101.739998
2013-07-25,100.709999
2013-07-26,100.510002
2013-07-29,101.559998
2013-07-30,100.43
2013-07-31,98.779999
2013-08-01,97.370003
2013-08-02,97.459999
2013-08-05,97.25
2013-08-06,95.019997
2013-08-07,95.0
2013-08-08,97.339996
2013-08-09,96.25
2013-08-12,95.68
2013-08-13,97.099998
2013-08-14,97.019997
2013-08-15,98.050003
2013-08-16,94.989998
2013-08-19,95.279999
2013-08-20,95.879997
2013-08-21,94.809998
2013-08-22,96.25
2013-08-23,96.220001
2013-08-26,97.650002
2013-08-27,97.510002
2013-08-28,97.120003
2013-08-29,97.25
2013-08-30,97.889999
2013-09-03,99.18
2013-09-04,100.900002
2013-09-05,101.489998
2013-09-06,99.889999
2013-09-09,102.010002
2013-09-10,102.730003
2013-09-11,102.940002
2013-09-12,102.980003
2013-09-13,104.18
2013-09-16,105.699997
2013-09-17,104.43
2013-09-18,107.279999
2013-09-19,106.870003
2013-09-20,106.050003
2013-09-23,105.599998
2013-09-24,105.410004
2013-09-25,105.290001
2013-09-26,106.139999
2013-09-27,105.610001
2013-09-30,104.370003
2013-10-01,105.480003
2013-10-02,104.040001
2013-10-03,105.269997
2013-10-04,105.629997
2013-10-07,104.66999799999999
2013-10-08,103.209999
2013-10-09,103.550003
2013-10-10,105.18
2013-10-11,106.58000200000001
2013-10-14,106.709999
2013-10-15,104.910004
2013-10-16,105.339996
2013-10-17,105.599998
2013-10-18,105.739998
2013-10-21,106.050003
2013-10-22,107.480003
2013-10-23,107.620003
2013-10-24,107.309998
2013-10-25,108.0
2013-10-28,108.199997
2013-10-29,106.620003
2013-10-30,105.949997
