Date,ACF
2009-08-24,7.5
2009-08-25,7.5
2009-08-26,7.5
2009-08-27,7.5
2009-08-28,7.5
2009-08-31,7.5
2009-09-01,7.0
2009-09-02,7.0
2009-09-03,7.0
2009-09-04,7.0
2009-09-08,7.0
2009-09-09,7.0
2009-09-10,7.0
2009-09-11,7.5
2009-09-14,15.5
2009-09-15,13.5
2009-09-16,16.5
2009-09-17,20.0
2009-09-18,17.5
2009-09-21,14.5
2009-09-22,13.5
2009-09-23,13.75
2009-09-24,13.75
2009-09-25,13.5
2009-09-28,13.5
2009-09-29,13.5
2009-09-30,13.0
2009-10-01,13.75
2009-10-02,14.0
2009-10-05,14.0
2009-10-06,17.5
2009-10-07,17.5
2009-10-08,15.0
2009-10-09,14.0
2009-10-12,14.0
2009-10-13,17.0
2009-10-14,15.5
2009-10-15,15.5
2009-10-16,15.5
2009-10-19,15.75
2009-10-20,15.75
2009-10-21,15.5
2009-10-22,14.5
2009-10-23,14.5
2009-10-26,14.0
2009-10-27,13.5
2009-10-28,13.5
2009-10-29,13.5
2009-10-30,13.0
2009-11-02,13.0
2009-11-03,13.0
2009-11-04,13.0
2009-11-05,13.0
2009-11-06,13.5
2009-11-09,
2009-11-10,12.5
2009-11-11,13.5
2009-11-12,15.0
2009-11-13,14.0
2009-11-16,15.5
2009-11-17,15.0
2009-11-18,14.5
2009-11-19,15.0
2009-11-20,15.0
2009-11-23,
2009-11-24,
2009-11-25,24.5
2009-11-27,22.5
2009-11-30,22.5
2009-12-01,19.5
2009-12-02,20.0
2009-12-03,23.0
2009-12-04,19.5
2009-12-07,17.5
2009-12-08,18.0
2009-12-09,17.0
2009-12-10,18.5
2009-12-11,18.0
2009-12-14,16.5
2009-12-15,18.0
2009-12-16,18.5
2009-12-17,17.5
2009-12-18,16.5
2009-12-21,15.25
2009-12-22,15.0
2009-12-23,
2009-12-24,
2009-12-28,
2009-12-29,14.0
2009-12-30,14.0
2009-12-31,15.0
2010-01-04,15.0
2010-01-05,15.25
2010-01-06,15.0
2010-01-07,15.0
2010-01-08,
2010-01-11,15.0
2010-01-12,14.5
2010-01-13,16.75
2010-01-14,16.5
2010-01-15,19.0
2010-01-19,18.75
2010-01-20,19.25
2010-01-21,19.0
2010-01-22,17.5
2010-01-25,17.5
2010-01-26,
2010-01-27,17.5
2010-01-28,17.5
2010-01-29,17.5
2010-02-01,
2010-02-02,15.0
2010-02-03,
2010-02-04,15.5
2010-02-05,14.5
2010-02-08,14.0
2010-02-09,14.5
2010-02-10,15.75
2010-02-11,12.75
2010-02-12,14.0
2010-02-16,12.75
2010-02-17,13.5
2010-02-18,13.75
2010-02-19,13.5
2010-02-22,13.75
2010-02-23,13.25
2010-02-24,13.5
2010-02-25,12.5
2010-02-26,12.5
2010-03-01,11.5
2010-03-02,15.0
2010-03-03,15.0
2010-03-04,14.5
2010-03-05,
2010-03-08,
2010-03-09,17.5
2010-03-10,19.0
2010-03-11,18.75
2010-03-12,18.75
2010-03-15,18.0
2010-03-16,19.5
2010-03-17,20.0
2010-03-18,19.25
2010-03-19,19.25
2010-03-22,18.0
2010-03-23,18.0
2010-03-24,19.25
2010-03-25,20.0
2010-03-26,
2010-03-29,21.0
2010-03-30,20.0
2010-03-31,19.5
2010-04-01,19.5
2010-04-05,
2010-04-06,19.5
2010-04-07,19.25
2010-04-08,22.5
2010-04-09,24.25
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,21.25
2010-04-22,20.0
2010-04-23,20.0
2010-04-26,
2010-04-27,23.75
2010-04-28,24.0
2010-04-29,22.5
2010-04-30,23.5
2010-05-03,24.75
2010-05-04,23.0
2010-05-05,23.0
2010-05-06,22.25
2010-05-07,21.25
2010-05-10,22.0
2010-05-11,22.0
2010-05-12,23.0
2010-05-13,22.5
2010-05-14,22.0
2010-05-17,19.75
2010-05-18,19.5
2010-05-19,20.75
2010-05-20,18.5
2010-05-21,20.0
2010-05-24,16.0
2010-05-25,20.0
2010-05-26,20.5
2010-05-27,
2010-05-28,18.5
2010-06-01,20.0
2010-06-02,20.0
2010-06-03,17.75
2010-06-04,16.5
2010-06-07,15.5
2010-06-08,14.75
2010-06-09,15.0
2010-06-10,15.0
2010-06-11,15.5
2010-06-14,
2010-06-15,15.0
2010-06-16,14.5
2010-06-17,14.75
2010-06-18,14.75
2010-06-21,15.0
2010-06-22,14.75
2010-06-23,14.75
2010-06-24,15.0
2010-06-25,15.0
2010-06-28,15.0
2010-06-29,14.25
2010-06-30,14.25
2010-07-01,14.0
2010-07-02,14.0
2010-07-06,15.5
2010-07-07,15.25
2010-07-08,12.5
2010-07-09,12.5
2010-07-12,13.0
2010-07-13,12.5
2010-07-14,12.25
2010-07-15,12.5
2010-07-16,12.5
2010-07-19,
2010-07-20,12.5
2010-07-21,12.5
2010-07-22,12.0
2010-07-23,12.5
2010-07-26,12.5
2010-07-27,12.5
2010-07-28,13.25
2010-07-29,13.25
2010-07-30,12.0
2010-08-02,12.5
2010-08-03,12.0
2010-08-04,12.0
2010-08-05,11.75
2010-08-06,11.75
2010-08-09,11.5
2010-08-10,12.0
2010-08-11,12.0
2010-08-12,12.0
2010-08-13,11.5
2010-08-16,11.5
2010-08-17,12.75
2010-08-18,12.0
2010-08-19,12.25
2010-08-20,12.5
2010-08-23,12.5
2010-08-24,11.25
2010-08-25,12.5
2010-08-26,12.5
2010-08-27,12.5
2010-08-30,12.5
2010-08-31,12.25
2010-09-01,12.75
2010-09-02,13.25
2010-09-03,14.0
2010-09-07,15.0
2010-09-08,15.5
2010-09-09,15.25
2010-09-10,14.75
2010-09-13,15.75
2010-09-14,16.5
2010-09-15,18.5
2010-09-16,17.0
2010-09-17,17.0
2010-09-20,17.75
2010-09-21,17.75
2010-09-22,17.75
2010-09-23,17.5
2010-09-24,17.0
2010-09-27,18.0
2010-09-28,17.75
2010-09-29,17.25
2010-09-30,17.5
2010-10-01,16.25
2010-10-04,16.5
2010-10-05,16.25
2010-10-06,17.25
2010-10-07,17.5
2010-10-08,17.5
2010-10-11,18.0
2010-10-12,17.5
2010-10-13,17.75
2010-10-14,20.75
2010-10-15,20.5
2010-10-18,19.5
2010-10-19,20.25
2010-10-20,21.0
2010-10-21,20.0
2010-10-22,20.5
2010-10-25,20.5
2010-10-26,20.0
2010-10-27,20.75
2010-10-28,21.75
2010-10-29,20.0
2010-11-01,22.5
2010-11-02,22.5
2010-11-03,22.0
2010-11-04,21.0
2010-11-05,20.5
2010-11-08,
2010-11-09,
2010-11-10,22.5
2010-11-11,26.5
2010-11-12,23.75
2010-11-15,23.0
2010-11-16,23.0
2010-11-17,22.0
2010-11-18,20.75
2010-11-19,20.5
2010-11-22,21.0
2010-11-23,21.25
2010-11-24,21.75
2010-11-26,21.5
2010-11-29,21.5
2010-11-30,21.5
2010-12-01,23.25
2010-12-02,24.75
2010-12-03,23.5
2010-12-06,23.25
2010-12-07,23.25
2010-12-08,22.5
2010-12-09,22.5
2010-12-10,22.25
2010-12-13,22.5
2010-12-14,25.5
2010-12-15,24.5
2010-12-16,24.0
2010-12-17,24.75
2010-12-20,25.0
2010-12-21,25.25
2010-12-22,26.0
2010-12-23,26.0
2010-12-27,
2010-12-28,
2010-12-29,28.0
2010-12-30,28.25
2010-12-31,27.0
2011-01-03,
2011-01-04,28.0
2011-01-05,26.5
2011-01-06,27.5
2011-01-07,29.0
2011-01-10,30.5
2011-01-11,29.5
2011-01-12,32.75
2011-01-13,34.0
2011-01-14,35.5
2011-01-18,35.0
2011-01-19,32.75
2011-01-20,33.0
2011-01-21,31.5
2011-01-24,31.25
2011-01-25,31.0
2011-01-26,
2011-01-27,31.75
2011-01-28,30.0
2011-01-31,28.75
2011-02-01,29.0
2011-02-02,29.25
2011-02-03,30.5
2011-02-04,30.5
2011-02-07,30.25
2011-02-08,30.5
2011-02-09,30.25
2011-02-10,30.25
2011-02-11,30.5
2011-02-14,30.25
2011-02-15,30.5
2011-02-16,29.5
2011-02-17,32.0
2011-02-18,32.25
2011-02-22,33.5
2011-02-23,32.0
2011-02-24,33.0
2011-02-25,32.5
2011-02-28,32.25
2011-03-01,32.25
2011-03-02,32.75
2011-03-03,32.75
2011-03-04,32.75
2011-03-07,32.25
2011-03-08,32.25
2011-03-09,32.0
2011-03-10,31.25
2011-03-11,31.25
2011-03-14,29.25
2011-03-15,26.75
2011-03-16,27.5
2011-03-17,27.5
2011-03-18,29.75
2011-03-21,31.25
2011-03-22,32.25
2011-03-23,30.5
2011-03-24,31.0
2011-03-25,32.25
2011-03-28,32.25
2011-03-29,32.5
2011-03-30,32.0
2011-03-31,34.5
2011-04-01,33.25
2011-04-04,34.0
2011-04-05,34.25
2011-04-06,37.0
2011-04-07,36.75
