Date,PBR
2000-08-10,7.15625
2000-08-11,7.140625
2000-08-14,7.109375
2000-08-15,7.140625
2000-08-16,7.328125
2000-08-17,7.6875
2000-08-18,7.25
2000-08-21,7.28125
2000-08-22,7.359375
2000-08-23,7.53125
2000-08-24,7.375
2000-08-25,7.5625
2000-08-28,7.53125
2000-08-29,7.78125
2000-08-30,8.0625
2000-08-31,7.953125
2000-09-01,7.796875
2000-09-05,7.84375
2000-09-06,8.25
2000-09-07,8.34375
2000-09-08,8.1875
2000-09-11,8.328125
2000-09-12,8.046875
2000-09-13,7.71875
2000-09-14,7.59375
2000-09-15,7.5625
2000-09-18,7.34375
2000-09-19,7.390625
2000-09-20,7.53125
2000-09-21,7.328125
2000-09-22,7.25
2000-09-25,7.359375
2000-09-26,7.578125
2000-09-27,7.546875
2000-09-28,7.5
2000-09-29,7.515625
2000-10-02,7.53125
2000-10-03,7.578125
2000-10-04,7.578125
2000-10-05,7.609375
2000-10-06,7.4375
2000-10-09,7.5
2000-10-10,7.625
2000-10-11,7.625
2000-10-12,7.953125
2000-10-13,7.734375
2000-10-16,7.5
2000-10-17,7.265625
2000-10-18,7.34375
2000-10-19,7.4375
2000-10-20,7.28125
2000-10-23,7.0
2000-10-24,6.75
2000-10-25,6.578125
2000-10-26,7.0
2000-10-27,7.09375
2000-10-30,7.1875
2000-10-31,7.265625
2000-11-01,7.34375
2000-11-02,7.265625
2000-11-03,7.0625
2000-11-06,7.140625
2000-11-07,7.265625
2000-11-08,7.125
2000-11-09,7.0
2000-11-10,6.9375
2000-11-13,6.984375
2000-11-14,7.0625
2000-11-15,7.109375
2000-11-16,7.34375
2000-11-17,7.078125
2000-11-20,7.203125
2000-11-21,7.34375
2000-11-22,7.1875
2000-11-24,6.90625
2000-11-27,6.71875
2000-11-28,6.65625
2000-11-29,6.640625
2000-11-30,6.4375
2000-12-01,6.5
2000-12-04,6.46875
2000-12-05,6.59375
2000-12-06,6.078125
2000-12-07,6.15625
2000-12-08,6.171875
2000-12-11,6.171875
2000-12-12,6.09375
2000-12-13,6.28125
2000-12-14,6.515625
2000-12-15,6.4375
2000-12-18,6.421875
2000-12-19,6.34375
2000-12-20,6.21875
2000-12-21,6.15625
2000-12-22,6.21875
2000-12-26,6.125
2000-12-27,6.140625
2000-12-28,6.296875
2000-12-29,6.3125
2001-01-02,6.4375
2001-01-03,6.90625
2001-01-04,6.828125
2001-01-05,6.703125
2001-01-08,6.734375
2001-01-09,6.8125
2001-01-10,6.859375
2001-01-11,6.875
2001-01-12,6.984375
2001-01-16,7.296875
2001-01-17,7.3125
2001-01-18,7.46875
2001-01-19,7.34375
2001-01-22,7.25
2001-01-23,7.28125
2001-01-24,6.96875
2001-01-25,6.9375
2001-01-26,6.9375
2001-01-29,6.93
2001-01-30,7.08
2001-01-31,7.07
2001-02-01,6.89
2001-02-02,6.855
2001-02-05,6.85
2001-02-06,6.895
2001-02-07,6.9325
2001-02-08,7.0925
2001-02-09,7.225
2001-02-12,7.2025
2001-02-13,7.34
2001-02-14,7.515
2001-02-15,7.4125
2001-02-16,7.3975
2001-02-20,7.2375
2001-02-21,7.0
2001-02-22,7.045
2001-02-23,7.18
2001-02-26,7.425
2001-02-27,7.38
2001-02-28,7.1325
2001-03-01,7.1875
2001-03-02,7.295
2001-03-05,7.2575
2001-03-06,7.255
2001-03-07,7.2625
2001-03-08,7.2875
2001-03-09,7.2875
2001-03-12,7.0
2001-03-13,7.0375
2001-03-14,6.875
2001-03-15,6.4
2001-03-16,6.56
2001-03-19,6.4775
2001-03-20,6.53
2001-03-21,6.2625
2001-03-22,5.925
2001-03-23,5.8
2001-03-26,6.105
2001-03-27,6.275
2001-03-28,6.1275
2001-03-29,5.8875
2001-03-30,5.95
2001-04-02,5.725
2001-04-03,5.7
2001-04-04,5.825
2001-04-05,6.275
2001-04-06,6.405
2001-04-09,6.435
2001-04-10,6.4525
2001-04-11,6.3125
2001-04-12,6.1625
2001-04-16,6.02
2001-04-17,6.085
2001-04-18,6.3875
2001-04-19,6.2275
2001-04-20,5.8725
2001-04-23,6.17
2001-04-24,6.4025
2001-04-25,6.475
2001-04-26,6.7375
2001-04-27,6.7125
2001-04-30,6.75
2001-05-01,6.74
2001-05-02,6.7125
2001-05-03,6.9125
2001-05-04,6.8375
2001-05-07,6.6225
2001-05-08,6.5275
2001-05-09,6.6225
2001-05-10,6.85
2001-05-11,6.75
2001-05-14,6.675
2001-05-15,6.55
2001-05-16,6.7
2001-05-17,6.8
2001-05-18,6.91
2001-05-21,6.935
2001-05-22,6.9875
2001-05-23,7.0
2001-05-24,6.925
2001-05-25,6.8475
2001-05-29,6.8875
2001-05-30,6.925
2001-05-31,7.075
2001-06-01,7.1
2001-06-04,7.3625
2001-06-05,7.2125
2001-06-06,6.95
2001-06-07,6.825
2001-06-08,6.72
2001-06-11,6.7575
2001-06-12,6.69
2001-06-13,6.8
2001-06-14,6.7425
2001-06-15,6.6375
2001-06-18,6.5125
2001-06-19,6.4925
2001-06-20,6.665
2001-06-21,6.9
2001-06-22,6.835
2001-06-25,6.75
2001-06-26,6.73
2001-06-27,6.525
2001-06-28,6.4625
2001-06-29,6.5
2001-07-02,6.325
2001-07-03,6.2
2001-07-05,5.925
2001-07-06,6.01
2001-07-09,6.0
2001-07-10,5.9075
2001-07-11,6.0475
2001-07-12,5.9025
2001-07-13,5.8
2001-07-16,5.5375
2001-07-17,5.66
2001-07-18,5.3875
2001-07-19,5.4625
2001-07-20,5.725
2001-07-23,5.9525
2001-07-24,5.8
2001-07-25,5.82
2001-07-26,5.875
2001-07-27,5.98
2001-07-30,6.06
2001-07-31,5.8925
2001-08-01,5.775
2001-08-02,5.63
2001-08-03,5.79
2001-08-06,5.8725
2001-08-07,5.8525
2001-08-08,5.85
2001-08-09,5.775
2001-08-10,5.8125
2001-08-13,5.69
2001-08-14,5.7
2001-08-15,5.8125
2001-08-16,5.745
2001-08-17,5.38
2001-08-20,5.35
2001-08-21,5.3
2001-08-22,5.4625
2001-08-23,5.475
2001-08-24,5.7
2001-08-27,5.725
2001-08-28,5.69
2001-08-29,5.6775
2001-08-30,5.695
2001-08-31,5.625
2001-09-04,5.7275
2001-09-05,5.8625
2001-09-06,5.5875
2001-09-07,5.6875
2001-09-10,5.5025
2001-09-17,5.375
2001-09-18,5.4625
2001-09-19,5.25
2001-09-20,4.9375
2001-09-21,4.8625
2001-09-24,4.725
2001-09-25,4.6575
2001-09-26,4.535
2001-09-27,4.7475
2001-09-28,4.9375
2001-10-01,4.8125
2001-10-02,4.6775
2001-10-03,4.71
2001-10-04,4.7875
2001-10-05,4.7
2001-10-08,4.7
2001-10-09,4.725
2001-10-10,4.9375
2001-10-11,5.005
2001-10-12,5.125
2001-10-15,5.175
2001-10-16,5.155
2001-10-17,5.125
2001-10-18,4.895
2001-10-19,4.9625
2001-10-22,5.0625
2001-10-23,5.05
2001-10-24,4.97
2001-10-25,5.0125
2001-10-26,4.9875
2001-10-29,4.87
2001-10-30,4.7775
2001-10-31,5.0
2001-11-01,5.05
2001-11-02,5.0275
2001-11-05,5.0575
2001-11-06,5.005
2001-11-07,5.115
2001-11-08,5.3
2001-11-09,5.5325
2001-11-12,5.3375
2001-11-13,5.385
2001-11-14,5.08
2001-11-15,4.675
2001-11-16,4.7625
2001-11-19,4.83
2001-11-20,4.8925
2001-11-21,4.995
2001-11-23,5.1925
2001-11-26,5.25
2001-11-27,5.1875
2001-11-28,5.015
2001-11-29,4.9475
2001-11-30,5.0625
2001-12-03,5.415
2001-12-04,5.425
2001-12-05,5.5875
2001-12-06,5.425
2001-12-07,5.3625
2001-12-10,5.4
2001-12-11,5.2325
2001-12-12,5.2625
2001-12-13,5.09
2001-12-14,5.1875
2001-12-17,5.175
2001-12-18,5.46
2001-12-19,5.55
2001-12-20,5.32
2001-12-21,5.41
2001-12-24,5.565
2001-12-26,5.4975
2001-12-27,5.6225
2001-12-28,5.7275
2001-12-31,5.825
2002-01-02,5.7975
2002-01-03,5.8425
2002-01-04,5.765
2002-01-07,5.8
2002-01-08,5.6375
2002-01-09,5.55
2002-01-10,5.425
2002-01-11,5.39
2002-01-14,5.1225
2002-01-15,5.215
2002-01-16,5.155
2002-01-17,5.3025
2002-01-18,5.3125
2002-01-22,5.1125
2002-01-23,5.1625
2002-01-24,5.1225
2002-01-25,5.165
2002-01-28,5.205
2002-01-29,5.05
2002-01-30,5.075
2002-01-31,5.2375
2002-02-01,5.1875
2002-02-04,5.0875
2002-02-05,5.0625
2002-02-06,5.115
2002-02-07,5.08
2002-02-08,5.0575
2002-02-11,5.0
2002-02-12,5.17
2002-02-13,5.245
2002-02-14,5.3
2002-02-15,5.3075
2002-02-19,5.2825
2002-02-20,5.2825
2002-02-21,5.3975
2002-02-22,5.5675
2002-02-25,5.77
2002-02-26,5.8125
2002-02-27,6.0475
2002-02-28,6.125
2002-03-01,6.4125
2002-03-04,6.53
2002-03-05,6.425
2002-03-06,6.265
2002-03-07,6.2875
2002-03-08,6.225
2002-03-11,6.3075
2002-03-12,6.375
2002-03-13,6.395
2002-03-14,6.54
2002-03-15,6.77
2002-03-18,6.775
2002-03-19,6.7425
2002-03-20,6.4375
2002-03-21,6.4125
2002-03-22,6.3
2002-03-25,6.2975
2002-03-26,6.4875
2002-03-27,6.635
2002-03-28,6.6175
2002-04-01,6.825
2002-04-02,6.7625
2002-04-03,6.6125
2002-04-04,6.7125
2002-04-05,6.6025
2002-04-08,6.6625
2002-04-09,6.475
2002-04-10,6.5625
2002-04-11,6.41
2002-04-12,6.3025
2002-04-15,6.35
2002-04-16,6.4275
2002-04-17,6.5025
2002-04-18,6.445
2002-04-19,6.385
2002-04-22,6.4125
2002-04-23,6.3575
2002-04-24,6.345
2002-04-25,6.25
2002-04-26,6.15
2002-04-29,6.1525
2002-04-30,6.15
2002-05-01,6.185
2002-05-02,5.9375
2002-05-03,5.9625
2002-05-06,5.8125
2002-05-07,5.775
2002-05-08,5.9
2002-05-09,5.695
2002-05-10,5.6425
2002-05-13,5.445
2002-05-14,5.5
2002-05-15,5.4475
2002-05-16,5.725
2002-05-17,5.77
2002-05-20,5.875
2002-05-21,5.92
2002-05-22,5.9075
2002-05-23,5.9625
2002-05-24,5.9825
2002-05-28,5.95
2002-05-29,5.93
2002-05-30,5.9125
2002-05-31,5.9525
2002-06-03,5.8
2002-06-04,5.8
2002-06-05,5.77
2002-06-06,5.5375
2002-06-07,5.45
2002-06-10,5.4875
2002-06-11,5.2625
2002-06-12,5.125
2002-06-13,5.1
2002-06-14,4.9475
2002-06-17,5.04
2002-06-18,4.95
2002-06-19,4.8575
2002-06-20,4.475
2002-06-21,4.045
2002-06-24,4.37
2002-06-25,4.5025
2002-06-26,4.685
2002-06-27,4.7225
2002-06-28,4.715
2002-07-01,4.5225
2002-07-02,4.4275
2002-07-03,4.4875
2002-07-05,4.3675
2002-07-08,4.305
2002-07-09,4.4625
2002-07-10,4.355
2002-07-11,4.3375
2002-07-12,4.33
2002-07-15,4.2275
2002-07-16,4.2375
2002-07-17,4.3
2002-07-18,4.2675
2002-07-19,4.05
2002-07-22,3.71
2002-07-23,3.5625
2002-07-24,3.7625
2002-07-25,3.625
2002-07-26,3.4375
2002-07-29,3.21
2002-07-30,3.1375
2002-07-31,3.3
2002-08-01,3.4625
2002-08-02,3.8475
2002-08-05,3.525
2002-08-06,3.5625
2002-08-07,3.68
2002-08-08,4.2225
2002-08-09,4.1625
2002-08-12,3.8475
2002-08-13,3.5425
2002-08-14,3.4825
2002-08-15,3.55
2002-08-16,3.5575
2002-08-19,3.5625
2002-08-20,3.475
2002-08-21,3.5875
2002-08-22,3.6225
2002-08-23,3.6125
2002-08-26,3.77
2002-08-27,3.8375
2002-08-28,3.795
2002-08-29,3.88
2002-08-30,3.9875
2002-09-03,3.975
2002-09-04,4.07
2002-09-05,3.965
2002-09-06,4.01
2002-09-09,4.1175
2002-09-10,4.2125
2002-09-11,4.275
2002-09-12,4.2325
2002-09-13,4.2275
2002-09-16,4.1375
2002-09-17,3.835
2002-09-18,3.71
2002-09-19,3.4475
2002-09-20,3.555
2002-09-23,3.3
2002-09-24,3.05
2002-09-25,2.9425
2002-09-26,2.86
2002-09-27,2.5
2002-09-30,2.6825
2002-10-01,3.1
2002-10-02,2.9925
2002-10-03,3.1
2002-10-04,3.13
2002-10-07,2.885
2002-10-08,2.9225
2002-10-09,2.75
2002-10-10,2.655
2002-10-11,2.665
2002-10-14,2.45
2002-10-15,2.45
2002-10-16,2.3875
2002-10-17,2.6575
2002-10-18,2.74
2002-10-21,2.75
2002-10-22,2.765
2002-10-23,2.965
2002-10-24,3.145
2002-10-25,3.275
2002-10-28,3.1125
2002-10-29,2.93
2002-10-30,3.2
2002-10-31,3.3075
2002-11-01,3.3625
2002-11-04,3.26
2002-11-05,3.2075
2002-11-06,3.1425
2002-11-07,3.2025
2002-11-08,3.1925
2002-11-11,3.295
2002-11-12,3.2025
2002-11-13,3.1875
2002-11-14,3.29
2002-11-15,3.38
2002-11-18,3.4475
2002-11-19,3.4
2002-11-20,3.5
2002-11-21,3.5575
2002-11-22,3.4825
2002-11-25,3.375
2002-11-26,3.2175
2002-11-27,3.26
2002-11-29,3.275
2002-12-02,3.4
2002-12-03,3.35
2002-12-04,3.2775
2002-12-05,3.1775
2002-12-06,3.31
2002-12-09,3.21
2002-12-10,3.19
2002-12-11,3.2625
2002-12-12,3.3125
2002-12-13,3.3125
2002-12-16,3.4625
2002-12-17,3.4775
2002-12-18,3.5825
2002-12-19,3.8325
2002-12-20,4.0075
2002-12-23,3.91
2002-12-24,3.89
2002-12-26,3.7625
2002-12-27,3.6975
2002-12-30,3.68
2002-12-31,3.735
2003-01-02,3.775
2003-01-03,3.775
2003-01-06,4.0875
2003-01-07,4.0925
2003-01-08,4.015
2003-01-09,4.1975
2003-01-10,4.3875
2003-01-13,4.3925
2003-01-14,4.485
2003-01-15,4.3575
2003-01-16,4.3825
2003-01-17,4.03
2003-01-21,3.9175
2003-01-22,3.7
2003-01-23,3.7
2003-01-24,3.4675
2003-01-27,3.43
2003-01-28,3.425
2003-01-29,3.615
2003-01-30,3.6125
2003-01-31,3.7075
2003-02-03,3.7525
2003-02-04,3.6325
2003-02-05,3.585
2003-02-06,3.4675
2003-02-07,3.45
2003-02-10,3.55
2003-02-11,3.575
2003-02-12,3.58
2003-02-13,3.445
2003-02-14,3.45
2003-02-18,3.57
2003-02-19,3.5075
2003-02-20,3.4525
2003-02-21,3.4825
2003-02-24,3.4175
2003-02-25,3.2925
2003-02-26,3.235
2003-02-27,3.2525
2003-02-28,3.3425
2003-03-03,3.3725
2003-03-04,3.305
2003-03-05,3.25
2003-03-06,3.3525
2003-03-07,3.4525
2003-03-10,3.375
2003-03-11,3.535
2003-03-12,3.6875
2003-03-13,3.755
2003-03-14,3.7475
2003-03-17,3.7125
2003-03-18,3.8275
2003-03-19,3.85
2003-03-20,3.9
2003-03-21,3.955
2003-03-24,3.8625
2003-03-25,3.8375
2003-03-26,3.74
2003-03-27,3.745
2003-03-28,3.82
2003-03-31,3.7875
2003-04-01,3.975
2003-04-02,4.065
2003-04-03,4.1325
2003-04-04,4.1875
2003-04-07,4.125
2003-04-08,3.905
2003-04-09,3.91
2003-04-10,3.8575
2003-04-11,3.93
2003-04-14,3.9725
2003-04-15,4.1
2003-04-16,4.1275
2003-04-17,4.2625
2003-04-21,4.2575
2003-04-22,4.2725
2003-04-23,4.3825
2003-04-24,4.3375
2003-04-25,4.3125
2003-04-28,4.38
2003-04-29,4.4825
2003-04-30,4.6375
2003-05-01,4.59
2003-05-02,4.655
2003-05-05,4.6375
2003-05-06,4.6375
