Date,MSGN
2010-01-25,6.571947
2010-01-26,6.441959
2010-01-27,6.181983
2010-01-28,6.166868
2010-01-29,5.9250300000000005
2010-02-01,5.940144999999999
2010-02-02,5.9250300000000005
2010-02-03,5.834341
2010-02-04,5.592503
2010-02-05,5.465538
2010-02-08,5.7134220000000004
2010-02-09,5.50786
2010-02-10,5.290205
2010-02-11,5.356711
2010-02-12,5.973398
2010-02-16,6.045949
2010-02-17,6.00665
2010-02-18,5.952237
2010-02-19,5.894801
2010-02-22,5.8434099999999995
2010-02-23,5.728537
2010-02-24,5.734583
2010-02-25,5.828295
2010-02-26,5.894801
2010-03-01,6.121523000000001
2010-03-02,6.197098
2010-03-03,6.142684
2010-03-04,6.033857
2010-03-05,5.9250300000000005
2010-03-08,5.894801
2010-03-09,5.8555019999999995
2010-03-10,5.740629
2010-03-11,5.710399
2010-03-12,5.864571
2010-03-15,5.7376059999999995
2010-03-16,5.897823000000001
2010-03-17,6.0550180000000005
2010-03-18,6.064087000000001
2010-03-19,6.070133
2010-03-22,6.0792019999999996
2010-03-23,6.345224
2010-03-24,6.296856
2010-03-25,6.523579
2010-03-26,6.650544
2010-03-29,6.620315
2010-03-30,6.623336999999999
2010-03-31,6.568924000000001
2010-04-01,6.593108
2010-04-05,6.5870619999999995
2010-04-06,6.668682
2010-04-07,6.65659
2010-04-08,6.659613
2010-04-09,6.698912
2010-04-12,6.7503020000000005
2010-04-13,6.620315
2010-04-14,6.647521
2010-04-15,6.644498
2010-04-16,6.593108
2010-04-19,6.5991539999999995
2010-04-20,6.626360000000001
2010-04-21,6.629383
2010-04-22,6.553808999999999
2010-04-23,6.526602
2010-04-26,6.550786
2010-04-27,6.46312
2010-04-28,6.333132
2010-04-29,6.348247
2010-04-30,6.272672
2010-05-03,6.275695
2010-05-04,6.17896
2010-05-05,6.033857
2010-05-06,5.894801
2010-05-07,6.142684
2010-05-10,6.393591000000001
2010-05-11,6.559855000000001
2010-05-12,6.674728
2010-05-13,6.692866
2010-05-14,6.650544
2010-05-17,6.659613
2010-05-18,6.617291000000001
2010-05-19,6.5991539999999995
2010-05-20,6.254534
2010-05-21,6.318017
2010-05-24,6.2787180000000005
2010-05-25,6.133615
2010-05-26,6.124547
2010-05-27,6.357316
2010-05-28,6.369408
2010-06-01,6.3512699999999995
2010-06-02,6.387544999999999
2010-06-03,6.360339
2010-06-04,6.045949
2010-06-07,5.958283
2010-06-08,5.795043
2010-06-09,5.861548
2010-06-10,6.045949
2010-06-11,6.191052
2010-06-14,6.272672
2010-06-15,6.363361
2010-06-16,6.417775
2010-06-17,6.487304
2010-06-18,6.49335
2010-06-21,6.451028
2010-06-22,6.272672
2010-06-23,6.20919
2010-06-24,6.058041
2010-06-25,6.048972
2010-06-28,6.082225
2010-06-29,6.015719
2010-06-30,5.946191000000001
2010-07-01,6.082225
2010-07-02,6.0550180000000005
2010-07-06,6.1275699999999995
2010-07-07,6.520556
2010-07-08,6.1608220000000005
2010-07-09,5.876663
2010-07-12,5.864571
