Date,KIN
2013-12-12,11.95
2013-12-13,12.2
2013-12-16,12.0
2013-12-17,12.12
2013-12-18,11.93
2013-12-19,12.32
2013-12-20,12.37
2013-12-23,12.28
2013-12-24,12.15
2013-12-26,11.85
2013-12-27,11.61
2013-12-30,11.0
2013-12-31,11.17
2014-01-02,10.95
2014-01-03,10.79
2014-01-06,10.39
2014-01-07,10.7
2014-01-08,10.63
2014-01-09,11.14
2014-01-10,12.75
2014-01-13,13.3
2014-01-14,13.41
2014-01-15,15.56
2014-01-16,16.049999
2014-01-17,15.77
2014-01-21,16.129998999999998
2014-01-22,16.43
2014-01-23,16.110001
2014-01-24,15.3
2014-01-27,14.66
2014-01-28,15.68
2014-01-29,15.83
2014-01-30,16.5
2014-01-31,15.53
2014-02-03,15.41
2014-02-04,16.52
2014-02-05,16.58
2014-02-06,16.48
2014-02-07,17.26
2014-02-10,19.629998999999998
2014-02-11,19.5
2014-02-12,19.32
2014-02-13,19.299999
2014-02-14,19.23
2014-02-18,19.200001
2014-02-19,19.360001
2014-02-20,20.290001
2014-02-21,21.42
2014-02-24,22.120001000000002
2014-02-25,24.940001000000002
2014-02-26,26.5
2014-02-27,26.4
2014-02-28,22.559998999999998
2014-03-03,25.09
2014-03-04,25.42
2014-03-05,25.0
2014-03-06,24.58
2014-03-07,24.58
2014-03-10,24.4
2014-03-11,24.32
2014-03-12,25.09
2014-03-13,24.719998999999998
2014-03-14,24.24
2014-03-17,24.280001000000002
2014-03-18,25.01
2014-03-19,24.459999
2014-03-20,23.309998999999998
2014-03-21,21.48
2014-03-24,22.18
2014-03-25,21.309998999999998
2014-03-26,20.620001000000002
2014-03-27,19.790001
2014-03-28,18.91
2014-03-31,18.530001000000002
2014-04-01,20.48
2014-04-02,19.959999
2014-04-03,18.17
2014-04-04,18.940001000000002
2014-04-07,17.440001000000002
2014-04-08,17.799999
2014-04-09,17.85
2014-04-10,15.45
2014-04-11,14.66
2014-04-14,16.389999
2014-04-15,16.440001000000002
2014-04-16,16.17
2014-04-17,15.69
2014-04-21,16.389999
2014-04-22,17.719998999999998
2014-04-23,17.049999
2014-04-24,17.280001000000002
2014-04-25,16.57
2014-04-28,15.38
2014-04-29,15.33
2014-04-30,15.89
2014-05-01,15.42
2014-05-02,14.96
2014-05-05,15.31
2014-05-06,14.43
2014-05-07,15.07
2014-05-08,14.38
2014-05-09,14.57
2014-05-12,16.629998999999998
2014-05-13,15.03
2014-05-14,15.29
2014-05-15,15.06
2014-05-16,15.2
2014-05-19,15.68
2014-05-20,16.75
2014-05-21,16.889999
2014-05-22,16.91
2014-05-23,18.110001
2014-05-27,17.209999
2014-05-28,16.73
2014-05-29,16.889999
2014-05-30,16.9
2014-06-02,16.24
2014-06-03,15.77
2014-06-04,15.41
2014-06-05,15.41
2014-06-06,16.530001000000002
2014-06-09,17.57
2014-06-10,19.48
2014-06-11,18.969998999999998
2014-06-12,18.82
2014-06-13,18.75
2014-06-16,18.51
2014-06-17,18.85
2014-06-18,18.85
2014-06-19,18.735001
2014-06-20,18.93
2014-06-23,18.82
2014-06-24,18.700001
2014-06-25,18.950001
2014-06-26,18.92
2014-06-27,18.84
2014-06-30,18.639999
2014-07-01,19.35
2014-07-02,19.379998999999998
2014-07-03,18.790001
2014-07-07,17.24
2014-07-08,16.719998999999998
