Date,INT
1986-08-28,0.347222
1986-08-29,0.361111
1986-09-02,0.347222
1986-09-03,0.347222
1986-09-04,0.347222
1986-09-05,0.347222
1986-09-08,0.347222
1986-09-09,0.347222
1986-09-10,0.347222
1986-09-11,0.347222
1986-09-12,0.347222
1986-09-15,0.347222
1986-09-16,0.347222
1986-09-17,0.347222
1986-09-18,0.347222
1986-09-19,0.347222
1986-09-22,0.347222
1986-09-23,0.347222
1986-09-24,0.347222
1986-09-25,0.361111
1986-09-26,0.361111
1986-09-29,0.319444
1986-09-30,0.277778
1986-10-01,0.270833
1986-10-02,0.263889
1986-10-03,0.263889
1986-10-06,0.22222199999999998
1986-10-07,0.229167
1986-10-08,0.22222199999999998
1986-10-09,0.194444
1986-10-10,0.180556
1986-10-13,0.208333
1986-10-14,0.23611100000000002
1986-10-15,0.23611100000000002
1986-10-16,0.23611100000000002
1986-10-17,0.305556
1986-10-20,0.319444
1986-10-21,0.305556
1986-10-22,0.305556
1986-10-23,0.291667
1986-10-24,0.277778
1986-10-27,0.263889
1986-10-28,0.263889
1986-10-29,0.263889
1986-10-30,0.263889
1986-10-31,0.25
1986-11-03,0.25
1986-11-04,0.25
1986-11-05,0.25
1986-11-06,0.25
1986-11-07,0.22222199999999998
1986-11-10,0.23611100000000002
1986-11-11,0.23611100000000002
1986-11-12,0.23611100000000002
1986-11-13,0.277778
1986-11-14,0.291667
1986-11-17,0.291667
1986-11-18,0.305556
1986-11-19,0.291667
1986-11-20,0.277778
1986-11-21,0.277778
1986-11-24,0.263889
1986-11-25,0.263889
1986-11-26,0.263889
1986-11-28,0.263889
1986-12-01,0.263889
1986-12-02,0.277778
1986-12-03,0.263889
1986-12-04,0.263889
1986-12-05,0.263889
1986-12-08,0.263889
1986-12-09,0.25
1986-12-10,0.263889
1986-12-11,0.291667
1986-12-12,0.305556
1986-12-15,0.291667
1986-12-16,0.291667
1986-12-17,0.291667
1986-12-18,0.291667
1986-12-19,0.291667
1986-12-22,0.291667
1986-12-23,0.291667
1986-12-24,0.305556
1986-12-26,0.291667
1986-12-29,0.305556
1986-12-30,0.277778
1986-12-31,0.291667
1987-01-02,0.263889
1987-01-05,0.263889
1987-01-06,0.263889
1987-01-07,0.25
1987-01-08,0.25
1987-01-09,0.25
1987-01-12,0.263889
1987-01-13,0.263889
1987-01-14,0.25
1987-01-15,0.25
1987-01-16,0.25
1987-01-19,0.25
1987-01-20,0.25
1987-01-21,0.277778
1987-01-22,0.263889
1987-01-23,0.263889
1987-01-26,0.263889
1987-01-27,0.263889
1987-01-28,0.270833
1987-01-29,0.263889
1987-01-30,0.305556
1987-02-02,0.291667
1987-02-03,0.319444
1987-02-04,0.305556
1987-02-05,0.291667
1987-02-06,0.291667
1987-02-09,0.291667
1987-02-10,0.291667
1987-02-11,0.291667
1987-02-12,0.298611
1987-02-13,0.347222
1987-02-17,0.326389
1987-02-18,0.333333
1987-02-19,0.333333
1987-02-20,0.326389
1987-02-23,0.347222
1987-02-24,0.388889
1987-02-25,0.40972200000000003
1987-02-26,0.42361099999999996
1987-02-27,0.416667
1987-03-02,0.48611099999999996
1987-03-03,0.5
1987-03-04,0.513889
1987-03-05,0.458333
1987-03-06,0.48611099999999996
1987-03-09,0.44444399999999995
1987-03-10,0.44444399999999995
1987-03-11,0.43055600000000005
1987-03-12,0.416667
1987-03-13,0.416667
1987-03-16,0.416667
1987-03-17,0.402778
1987-03-18,0.375
1987-03-19,0.375
1987-03-20,0.375
1987-03-23,0.375
1987-03-24,0.402778
1987-03-25,0.416667
1987-03-26,0.48611099999999996
1987-03-27,0.458333
1987-03-30,0.47222200000000003
1987-03-31,0.5
1987-04-01,0.541667
1987-04-02,0.583333
1987-04-03,0.583333
1987-04-06,0.541667
1987-04-07,0.541667
1987-04-08,0.569444
1987-04-09,0.583333
1987-04-10,0.583333
1987-04-13,0.555556
1987-04-14,0.541667
1987-04-15,0.555556
1987-04-16,0.541667
1987-04-20,0.555556
1987-04-21,0.569444
1987-04-22,0.555556
1987-04-23,0.555556
1987-04-24,0.5625
1987-04-27,0.576389
1987-04-28,0.576389
1987-04-29,0.590278
1987-04-30,0.638889
1987-05-01,0.645833
1987-05-04,0.590278
1987-05-05,0.583333
1987-05-06,0.597222
1987-05-07,0.666667
1987-05-08,0.659722
1987-05-11,0.666667
1987-05-12,0.666667
1987-05-13,0.666667
1987-05-14,0.708333
1987-05-15,0.680556
1987-05-18,0.673611
1987-05-19,0.673611
1987-05-20,0.659722
1987-05-21,0.631944
1987-05-22,0.625
1987-05-26,0.611111
1987-05-27,0.645833
1987-05-28,0.680556
1987-05-29,0.694444
1987-06-01,0.708333
1987-06-02,0.659722
1987-06-03,0.659722
1987-06-04,0.736111
1987-06-05,0.895833
1987-06-08,0.8611110000000001
1987-06-09,0.8472219999999999
1987-06-10,0.8472219999999999
1987-06-11,0.9444440000000001
1987-06-12,0.9722219999999999
1987-06-15,1.0
1987-06-16,1.0
1987-06-17,1.027778
1987-06-18,1.0
1987-06-19,0.9722219999999999
1987-06-22,1.0
1987-06-23,0.9861110000000001
1987-06-24,0.9861110000000001
1987-06-25,1.013889
1987-06-26,1.055556
1987-06-29,1.069444
1987-06-30,1.041667
