Date,TMDX
2019-05-02,22.360001
2019-05-03,24.799999
2019-05-06,27.41
2019-05-07,26.290001
2019-05-08,25.0
2019-05-09,25.190001000000002
2019-05-10,26.73
2019-05-13,26.99
2019-05-14,27.18
2019-05-15,27.049999
2019-05-16,28.84
2019-05-17,29.610001
2019-05-20,29.68
2019-05-21,30.0
2019-05-22,30.41
2019-05-23,28.870001000000002
2019-05-24,28.879998999999998
2019-05-28,30.139999
2019-05-29,26.5
2019-05-30,27.34
2019-05-31,27.190001000000002
2019-06-03,27.639999
2019-06-04,27.950001
2019-06-05,26.82
2019-06-06,26.469998999999998
2019-06-07,26.5
2019-06-10,26.58
2019-06-11,26.51
2019-06-12,25.969998999999998
2019-06-13,24.92
2019-06-14,26.02
2019-06-17,26.49
2019-06-18,28.0
2019-06-19,27.23
2019-06-20,27.99
2019-06-21,27.02
2019-06-24,28.16
2019-06-25,28.0
2019-06-26,27.860001
2019-06-27,27.74
2019-06-28,28.99
2019-07-01,28.93
2019-07-02,26.93
2019-07-03,26.530001000000002
2019-07-05,26.059998999999998
2019-07-08,25.9
2019-07-09,25.5
2019-07-10,25.559998999999998
2019-07-11,25.5
2019-07-12,25.5
2019-07-15,25.299999
2019-07-16,23.790001
2019-07-17,23.25
2019-07-18,24.85
2019-07-19,25.93
2019-07-22,25.690001000000002
2019-07-23,26.860001
2019-07-24,26.67
2019-07-25,26.83
2019-07-26,25.9
2019-07-29,25.559998999999998
2019-07-30,25.139999
2019-07-31,23.73
2019-08-01,23.65
2019-08-02,23.26
2019-08-05,21.889999
2019-08-06,21.959999
2019-08-07,22.4
2019-08-08,21.030001000000002
2019-08-09,20.48
2019-08-12,20.940001000000002
2019-08-13,20.809998999999998
2019-08-14,20.27
2019-08-15,20.35
2019-08-16,20.5
2019-08-19,21.0
2019-08-20,21.5
2019-08-21,21.790001
2019-08-22,23.200001
2019-08-23,23.280001000000002
2019-08-26,24.129998999999998
2019-08-27,23.889999
2019-08-28,24.17
2019-08-29,23.950001
2019-08-30,23.950001
2019-09-03,23.969998999999998
2019-09-04,23.959999
2019-09-05,23.5
2019-09-06,23.84
2019-09-09,23.950001
2019-09-10,23.35
2019-09-11,24.719998999999998
2019-09-12,24.75
2019-09-13,23.98
2019-09-16,24.0
2019-09-17,23.799999
2019-09-18,24.34
2019-09-19,25.27
2019-09-20,24.73
2019-09-23,24.66
2019-09-24,23.799999
2019-09-25,23.200001
2019-09-26,23.35
2019-09-27,23.690001000000002
2019-09-30,23.75
2019-10-01,21.639999
2019-10-02,20.07
2019-10-03,18.83
2019-10-04,18.09
2019-10-07,17.32
2019-10-08,17.01
2019-10-09,17.58
2019-10-10,19.43
2019-10-11,18.469998999999998
2019-10-14,17.75
2019-10-15,17.809998999999998
2019-10-16,17.9
2019-10-17,18.209999
2019-10-18,17.74
2019-10-21,17.73
2019-10-22,17.82
2019-10-23,17.799999
2019-10-24,18.049999
2019-10-25,17.85
2019-10-28,18.299999
2019-10-29,17.99
2019-10-30,17.809998999999998
2019-10-31,17.940001000000002
2019-11-01,19.51
2019-11-04,20.07
2019-11-05,19.35
2019-11-06,17.25
2019-11-07,16.610001
2019-11-08,16.950001
2019-11-11,16.84
2019-11-12,17.440001000000002
2019-11-13,17.23
2019-11-14,17.870001000000002
2019-11-15,18.309998999999998
2019-11-18,18.190001000000002
2019-11-19,17.98
2019-11-20,17.85
2019-11-21,17.290001
2019-11-22,18.0
2019-11-25,18.73
2019-11-26,18.92
2019-11-27,18.969998999999998
2019-11-29,18.75
2019-12-02,17.49
2019-12-03,17.709999
2019-12-04,17.700001
2019-12-05,18.66
2019-12-06,19.030001000000002
2019-12-09,20.0
2019-12-10,20.01
2019-12-11,19.379998999999998
2019-12-12,17.58
2019-12-13,18.75
2019-12-16,18.799999
2019-12-17,18.879998999999998
2019-12-18,19.16
2019-12-19,18.469998999999998
2019-12-20,18.620001000000002
2019-12-23,19.139999
2019-12-24,19.059998999999998
2019-12-26,19.120001000000002
2019-12-27,18.59
2019-12-30,18.790001
2019-12-31,19.01
2020-01-02,19.07
2020-01-03,18.84
2020-01-06,17.809998999999998
2020-01-07,17.98
2020-01-08,17.809998999999998
2020-01-09,17.959999
2020-01-10,18.719998999999998
2020-01-13,19.059998999999998
2020-01-14,19.43
2020-01-15,18.9
2020-01-16,19.200001
2020-01-17,19.709999
2020-01-21,20.200001
2020-01-22,19.59
2020-01-23,20.0
2020-01-24,19.950001
2020-01-27,19.75
2020-01-28,20.030001000000002
2020-01-29,18.799999
2020-01-30,17.860001
2020-01-31,17.51
2020-02-03,17.76
2020-02-04,17.299999
2020-02-05,17.82
2020-02-06,17.440001000000002
2020-02-07,17.49
2020-02-10,18.059998999999998
2020-02-11,18.34
2020-02-12,18.83
2020-02-13,19.09
2020-02-14,19.190001000000002
2020-02-18,19.700001
2020-02-19,20.07
2020-02-20,19.08
