Date,PK
2017-01-04,29.9
2017-01-05,28.4
2017-01-06,28.870001000000002
2017-01-09,29.33
2017-01-10,29.219998999999998
2017-01-11,29.690001000000002
2017-01-12,29.18
2017-01-13,29.09
2017-01-17,26.35
2017-01-18,26.190001000000002
2017-01-19,26.01
2017-01-20,26.049999
2017-01-23,26.0
2017-01-24,26.83
2017-01-25,27.23
2017-01-26,27.530001000000002
2017-01-27,27.77
2017-01-30,27.059998999999998
2017-01-31,27.139999
2017-02-01,26.48
2017-02-02,26.49
2017-02-03,26.969998999999998
2017-02-06,26.6
2017-02-07,26.719998999999998
2017-02-08,27.120001000000002
2017-02-09,27.530001000000002
2017-02-10,27.34
2017-02-13,27.66
2017-02-14,27.549999
2017-02-15,27.709999
2017-02-16,27.73
2017-02-17,27.02
2017-02-21,26.879998999999998
2017-02-22,26.73
2017-02-23,26.219998999999998
2017-02-24,25.92
2017-02-27,26.0
2017-02-28,25.540001
2017-03-01,26.030001000000002
2017-03-02,26.799999
2017-03-03,27.01
2017-03-06,27.1
2017-03-07,26.370001000000002
2017-03-08,26.26
2017-03-09,26.02
2017-03-10,26.0
2017-03-13,25.75
2017-03-14,25.780001000000002
2017-03-15,26.459999
2017-03-16,26.59
2017-03-17,26.629998999999998
2017-03-20,26.450001
2017-03-21,26.18
2017-03-22,26.17
2017-03-23,26.25
2017-03-24,26.219998999999998
2017-03-27,26.17
2017-03-28,26.139999
2017-03-29,25.68
2017-03-30,25.709999
2017-03-31,25.67
2017-04-03,25.780001000000002
2017-04-04,26.129998999999998
2017-04-05,25.83
2017-04-06,26.290001
2017-04-07,26.43
2017-04-10,26.379998999999998
2017-04-11,26.440001000000002
2017-04-12,26.370001000000002
2017-04-13,26.209999
2017-04-17,26.32
2017-04-18,26.389999
2017-04-19,26.68
2017-04-20,26.5
2017-04-21,26.43
2017-04-24,26.59
2017-04-25,26.610001
2017-04-26,26.790001
2017-04-27,26.790001
2017-04-28,25.67
2017-05-01,25.75
2017-05-02,26.209999
2017-05-03,26.129998999999998
2017-05-04,26.040001
2017-05-05,26.17
2017-05-08,25.32
2017-05-09,25.66
2017-05-10,25.610001
2017-05-11,25.34
2017-05-12,24.92
2017-05-15,25.389999
2017-05-16,25.77
2017-05-17,25.15
2017-05-18,25.440001000000002
2017-05-19,25.360001
2017-05-22,25.5
2017-05-23,25.690001000000002
2017-05-24,25.77
2017-05-25,25.469998999999998
2017-05-26,25.620001000000002
2017-05-30,25.5
2017-05-31,25.74
2017-06-01,26.07
2017-06-02,27.290001
2017-06-05,27.24
2017-06-06,27.049999
2017-06-07,26.98
2017-06-08,26.83
2017-06-09,27.290001
2017-06-12,27.74
2017-06-13,27.84
2017-06-14,27.860001
2017-06-15,27.77
2017-06-16,27.799999
2017-06-19,27.799999
2017-06-20,27.6
2017-06-21,27.559998999999998
2017-06-22,27.299999
2017-06-23,27.49
2017-06-26,27.389999
2017-06-27,27.34
2017-06-28,27.18
2017-06-29,26.98
2017-06-30,26.959999
2017-07-03,27.549999
2017-07-05,27.02
2017-07-06,26.73
2017-07-07,26.85
2017-07-10,26.84
2017-07-11,27.01
2017-07-12,27.0
2017-07-13,26.73
2017-07-14,26.870001000000002
2017-07-17,27.23
2017-07-18,27.200001
