Date,PII
1987-09-16,1.677083
1987-09-17,1.677083
1987-09-18,1.666667
1987-09-21,1.666667
1987-09-22,1.677083
1987-09-23,1.6875
1987-09-24,1.6875
1987-09-25,1.6875
1987-09-28,1.6875
1987-09-29,1.708333
1987-09-30,1.708333
1987-10-01,1.708333
1987-10-02,1.708333
1987-10-05,1.739583
1987-10-06,1.71875
1987-10-07,1.729167
1987-10-08,1.729167
1987-10-09,1.708333
1987-10-12,1.708333
1987-10-13,1.708333
1987-10-14,1.708333
1987-10-15,1.666667
1987-10-16,1.645833
1987-10-19,1.364583
1987-10-20,1.21875
1987-10-21,1.520833
1987-10-22,1.5
1987-10-23,1.479167
1987-10-26,1.395833
1987-10-27,1.395833
1987-10-28,1.364583
1987-10-29,1.385417
1987-10-30,1.40625
1987-11-02,1.395833
1987-11-03,1.354167
1987-11-04,1.333333
1987-11-05,1.322917
1987-11-06,1.354167
1987-11-09,1.34375
1987-11-10,1.302083
1987-11-11,1.322917
1987-11-12,1.354167
1987-11-13,1.3125
1987-11-16,1.333333
1987-11-17,1.333333
1987-11-18,1.333333
1987-11-19,1.34375
1987-11-20,1.40625
1987-11-23,1.40625
1987-11-24,1.416667
1987-11-25,1.4375
1987-11-27,1.40625
1987-11-30,1.375
1987-12-01,1.40625
1987-12-02,1.416667
1987-12-03,1.385417
1987-12-04,1.34375
1987-12-07,1.354167
1987-12-08,1.385417
1987-12-09,1.364583
1987-12-10,1.333333
1987-12-11,1.302083
1987-12-14,1.364583
1987-12-15,1.3125
1987-12-16,1.302083
1987-12-17,1.302083
1987-12-18,1.28125
1987-12-21,1.229167
1987-12-22,1.3125
1987-12-23,1.3125
1987-12-24,1.333333
1987-12-28,1.25
1987-12-29,1.302083
1987-12-30,1.395833
1987-12-31,1.333333
1988-01-04,1.416667
1988-01-05,1.4375
1988-01-06,1.520833
1988-01-07,1.510417
1988-01-08,1.479167
1988-01-11,1.4375
1988-01-12,1.385417
1988-01-13,1.354167
1988-01-14,1.354167
1988-01-15,1.395833
1988-01-18,1.395833
1988-01-19,1.40625
1988-01-20,1.375
1988-01-21,1.34375
1988-01-22,1.364583
1988-01-25,1.385417
1988-01-26,1.375
1988-01-27,1.385417
1988-01-28,1.395833
1988-01-29,1.354167
1988-02-01,1.385417
1988-02-02,1.395833
1988-02-03,1.395833
1988-02-04,1.395833
1988-02-05,1.416667
1988-02-08,1.4375
1988-02-09,1.46875
1988-02-10,1.489583
1988-02-11,1.458333
1988-02-12,1.416667
1988-02-16,1.4375
1988-02-17,1.447917
1988-02-18,1.4375
1988-02-19,1.4375
1988-02-22,1.427083
1988-02-23,1.427083
1988-02-24,1.4375
